Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1363,17,47000.0,97673.80548957831,27.361959000018032,1311166.6258949998,2553.7461482024946,0.7443408414274494,0.009283781587869874,47000,67000,106000,161000,245000,325000,506000,999000,1263000,1311000,1311000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,11.386425000011968,11.386425000011968,11.386425000011968,11.386425000011968,205.0,0.0005461047992864632,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-1/EPE/1,1,0,15.433932999997069,15.433932999997069,15.433932999997069,15.433932999997069,129.0,0.0005461047992864632,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,27.207759999953396,27.207759999953396,27.207759999953396,27.207759999953396,121.0,0.0005461047992864632,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/cart/add/anonymous-10/Watson/1,1,0,47.37650399999893,47.37650399999893,47.37650399999893,47.37650399999893,193.0,0.0005461047992864632,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,254.97863599997572,254.97863599997572,254.97863599997572,254.97863599997572,209.0,0.0005461047992864632,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-100/Watson/1,1,0,947.4712990000285,947.4712990000285,947.4712990000285,947.4712990000285,106.0,0.0005461047992864632,0.0,950,950,950,950,950,950,950,950,950,950,950
GET,/api/cart/add/anonymous-1003/STAN-1/1,1,0,23072.818094000013,23072.818094000013,23072.818094000013,23072.818094000013,111.0,0.0005461047992864632,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1003/Watson/1,1,0,108828.71662100001,108828.71662100001,108828.71662100001,108828.71662100001,182.0,0.0005461047992864632,0.0,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,22899.784478999893,22899.784478999893,22899.784478999893,22899.784478999893,121.0,0.0005461047992864632,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1006/RED/1,1,0,44330.29725799998,44330.29725799998,44330.29725799998,44330.29725799998,132.0,0.0005461047992864632,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/api/cart/add/anonymous-1006/UHJ/1,1,0,51342.66666400003,51342.66666400003,51342.66666400003,51342.66666400003,209.0,0.0005461047992864632,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,1859.291115000019,1859.291115000019,1859.291115000019,1859.291115000019,229.0,0.0005461047992864632,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/cart/add/anonymous-101/SHCE/1,1,0,880.9463639999535,880.9463639999535,880.9463639999535,880.9463639999535,124.0,0.0005461047992864632,0.0,880,880,880,880,880,880,880,880,880,880,880
GET,/api/cart/add/anonymous-102/EMM/1,1,0,1869.2827369999918,1869.2827369999918,1869.2827369999918,1869.2827369999918,221.0,0.0005461047992864632,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/cart/add/anonymous-102/RED/1,1,0,860.9704209999904,860.9704209999904,860.9704209999904,860.9704209999904,132.0,0.0005461047992864632,0.0,860,860,860,860,860,860,860,860,860,860,860
GET,/api/cart/add/anonymous-1023/STAN-1/1,1,0,44683.026223000066,44683.026223000066,44683.026223000066,44683.026223000066,111.0,0.0005461047992864632,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
