Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-300,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/cart/anonymous-300,1
GET,/api/cart/update/anonymous-6286/EMM/2,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/HPTD,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/ratings/api/fetch/HPTD,21
GET,/api/cart/cart/anonymous-338,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/cart/anonymous-338,1
GET,/api/cart/add/anonymous-315/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-3774/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-308/RED/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-308/RED/1,1
GET,/api/cart/cart/anonymous-208,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-159/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-6350/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-4077/SHCE/1,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-372/EMM/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-372/EMM/1,1
GET,/api/cart/add/anonymous-379/Watson/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-379/Watson/1,1
GET,/api/cart/add/anonymous-369/EMM/1,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-262/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-337/Watson/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-337/Watson/1,1
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,43
PUT,/api/ratings/api/rate/Watson/2,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/ratings/api/rate/Watson/2,2
GET,/api/cart/add/anonymous-6122/STAN-1/1,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-405/Watson/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-405/Watson/1,1
GET,/api/cart/add/anonymous-416/STAN-1/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-416/STAN-1/1,1
GET,/api/cart/add/anonymous-220/RED/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-220/RED/1,1
PUT,/api/ratings/api/rate/Watson/1,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-230/EPE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,500 Server Error: Internal Server Error for url: http://20.117.92.248/api/catalogue/product/SHCE,1
GET,/api/cart/add/anonymous-303/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-5110/EMM/1,[Errno 110] Connection timed out,1
GET,/api/cart/cart/anonymous-169,[Errno 110] Connection timed out,1
GET,/api/cart/cart/anonymous-236,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/products,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/catalogue/products,24
PUT,/api/ratings/api/rate/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-159/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-254/RED/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-463,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-3184/STAN-1/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EMM/5,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/ratings/api/rate/EMM/5,1
GET,/api/cart/add/anonymous-304/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-249,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-6362/SHCE/1,Remote end closed connection without response,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/shipping/cities/us,1
GET,/api/cart/add/anonymous-190/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-207,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/cart/anonymous-207,1
GET,/api/cart/add/anonymous-403/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-271/HPTD/1,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-202/RMC/1,500 Server Error: Internal Server Error for url: http://20.117.92.248/api/cart/add/anonymous-202/RMC/1,1
GET,/api/cart/update/anonymous-6263/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-267/SHCE/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-267/SHCE/1,1
GET,/api/cart/cart/anonymous-294,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/cart/anonymous-294,1
GET,/api/cart/cart/anonymous-149,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-230,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-395/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-463/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-283,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-221/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-279/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-211,[Errno 104] Connection reset by peer,1
GET,/api/user/uniqueid,[Errno 110] Connection timed out,1045
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/shipping/cities/dk,5
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,62
GET,/api/catalogue/product/SHCE,[Errno 104] Connection reset by peer,9
PUT,/api/ratings/api/rate/SHCE/3,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RMC,[Errno 110] Connection timed out,7
GET,/api/cart/add/anonymous-238/SHCE/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,[Errno 110] Connection timed out,9
GET,/api/cart/update/anonymous-6842/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/shipping/cities/tr,2
GET,/api/cart/cart/anonymous-6021,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-3960/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/EMM,[Errno 104] Connection reset by peer,4
GET,/api/cart/add/anonymous-6322/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-227,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/UHJ,[Errno 104] Connection reset by peer,12
PUT,/api/ratings/api/rate/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-6343/Watson/1,[Errno 110] Connection timed out,1
POST,/api/user/login,Remote end closed connection without response,247
GET,/api/cart/cart/anonymous-396,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/cart/anonymous-396,1
GET,/api/cart/update/anonymous-6843/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-3898/RMC/1,[Errno 110] Connection timed out,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/shipping/cities/de,3
GET,/api/cart/update/anonymous-6878/UHJ/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-466,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-243/SHCE/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-243/SHCE/1,1
GET,/api/cart/add/anonymous-244/STAN-1/1,Remote end closed connection without response,1
GET,/api/user/uniqueid,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/user/uniqueid,190
POST,/api/user/login,500 Server Error: Internal Server Error for url: http://20.117.92.248/api/user/login,62
GET,/api/cart/cart/anonymous-395,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-6714/RED/1,[Errno 110] Connection timed out,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/shipping/cities/at,4
GET,/api/catalogue/categories,Remote end closed connection without response,28
GET,/api/cart/add/anonymous-319/EMM/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-319/EMM/1,1
GET,/api/cart/add/anonymous-368/SHCE/1,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-6793/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,6
GET,/api/cart/add/anonymous-376/STAN-1/1,504 Server Error: Gateway Time-out for url: http://20.117.92.248/api/cart/add/anonymous-376/STAN-1/1,1
GET,/api/cart/cart/anonymous-290,[Errno 104] Connection reset by peer,1
