Method,Name,Error,Occurrences
GET,/api/cart/add/anonymous-8770/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-2151/RMC/2,500 Server Error: Internal Server Error for url: http://13.87.64.112/api/cart/update/anonymous-2151/RMC/2,1
GET,/api/cart/add/anonymous-9454/RMC/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-2621/RED/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-8773,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-789,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-8316/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1285,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-6269/Watson/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-4424,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-5608/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-5139,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-9666,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-8530/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://13.87.64.112/api/shipping/cities/es,1
GET,/api/cart/add/anonymous-4205/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-5288/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-2273,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-4185/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-2894/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-847,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1317/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-5404/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-2084/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1445,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,238
GET,/api/cart/add/anonymous-7208/EMM/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/3,[Errno 104] Connection reset by peer,2
GET,/api/cart/add/anonymous-8369/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-967/EPE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-4491,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-5236/RED/2,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/RMC,500 Server Error: Internal Server Error for url: http://13.87.64.112/api/ratings/api/fetch/RMC,1
GET,/api/cart/update/anonymous-9354/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-7518/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-3277/EMM/1,[Errno 104] Connection reset by peer,1
