Method,Name,Error,Occurrences
GET,/api/shipping/calc/3196027,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/3196027,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/it,1
GET,/api/shipping/calc/3201394,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/3201394,1
GET,/api/shipping/calc/3186806,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/3186806,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/codes,9992
POST,/api/user/login,Remote end closed connection without response,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/hu,2
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/at,2
GET,/api/user/uniqueid,[Errno 104] Connection reset by peer,2
GET,/api/shipping/calc/3962764,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/3962764,1
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/in,1
POST,/api/shipping/confirm/anonymous-32,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/confirm/anonymous-32,1
POST,/api/shipping/confirm/anonymous-26,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/confirm/anonymous-26,1
GET,/api/shipping/calc/4581527,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/4581527,1
GET,/,Remote end closed connection without response,3
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/cz,1
GET,/api/shipping/calc/3995107,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/3995107,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/pt,2
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/jp,5
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/es,5
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/bg,1
GET,/api/shipping/calc/5373326,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/5373326,1
GET,/api/shipping/cities/us,"(""Connection broken: InvalidChunkLength(got length b'', 0 bytes read)"", InvalidChunkLength(got length b'', 0 bytes read))",1
GET,/api/shipping/calc/5076149,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/calc/5076149,1
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/fi,2
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/tr,3
GET,/api/shipping/cities/se,"(""Connection broken: InvalidChunkLength(got length b'', 0 bytes read)"", InvalidChunkLength(got length b'', 0 bytes read))",1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/ca,2
GET,/api/cart/add/anonymous-7379/RED/1,Remote end closed connection without response,1
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.108.191.252/api/shipping/cities/se,1
