Method,Name,Error,Occurrences
GET,/api/cart/add/anonymous-758/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-998,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1555/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-5862,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-809,504 Server Error: Gateway Time-out for url: http://20.108.164.88/api/cart/cart/anonymous-809,1
GET,/api/cart/cart/anonymous-2862,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-5353/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-3855/SHCE/2,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/Watson/3,504 Server Error: Gateway Time-out for url: http://20.108.164.88/api/ratings/api/rate/Watson/3,5
GET,/api/cart/cart/anonymous-2430,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1879/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1722/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1055/Watson/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-5444/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-4968,[Errno 110] Connection timed out,1
GET,/api/cart/update/anonymous-4711/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1110/RMC/1,504 Server Error: Gateway Time-out for url: http://20.108.164.88/api/cart/add/anonymous-1110/RMC/1,1
GET,/api/cart/cart/anonymous-820,504 Server Error: Gateway Time-out for url: http://20.108.164.88/api/cart/cart/anonymous-820,1
GET,/api/cart/add/anonymous-893/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-387/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-5451,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-4664/EMM/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-2859/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-950/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-922/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1124,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-272/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-578/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-4550/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.164.88/api/shipping/cities/us,1
GET,/api/cart/add/anonymous-2275/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-695/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-426/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1223/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-5217,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-465/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-277/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1660/EMM/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1831,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-5748/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-151/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1790,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-122/RED/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-4035/Watson/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-2110,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1732/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1096/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-3595/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-208,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-5866/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1485/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-557/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-3541/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-4037/Watson/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1159,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-5024/EMM/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-5504,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/4,504 Server Error: Gateway Time-out for url: http://20.108.164.88/api/ratings/api/rate/RED/4,1
GET,/api/cart/cart/anonymous-4258,Remote end closed connection without response,1
