Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7671,1929,13000.0,35226.72927955241,18.64962499894318,228336.53033999872,1936.2341285360449,4.186957061678597,1.0528796991237144,13000,25000,41000,65000,131000,135000,146000,159000,219000,228000,228000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,490.3559699996549,490.3559699996549,490.3559699996549,490.3559699996549,137.0,0.0005458163292502408,0.0,490,490,490,490,490,490,490,490,490,490,490
GET,/api/cart/add/anonymous-1/RED/1,1,0,189.52220299979672,189.52220299979672,189.52220299979672,189.52220299979672,221.0,0.0005458163292502408,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-10/RED/1,1,0,934.1563130001305,934.1563130001305,934.1563130001305,934.1563130001305,202.0,0.0005458163292502408,0.0,930,930,930,930,930,930,930,930,930,930,930
GET,/api/cart/add/anonymous-10/Watson/1,1,0,303.9146789997176,303.9146789997176,303.9146789997176,303.9146789997176,106.0,0.0005458163292502408,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,6529.77210500103,6529.77210500103,6529.77210500103,6529.77210500103,121.0,0.0005458163292502408,0.0,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,5664.623048000067,5664.623048000067,5664.623048000067,5664.623048000067,213.0,0.0005458163292502408,0.0,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
GET,/api/cart/add/anonymous-1000/SHCE/1,1,0,308.0073109995283,308.0073109995283,308.0073109995283,308.0073109995283,124.0,0.0005458163292502408,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/api/cart/add/anonymous-1000/STAN-1/1,1,0,9697.98770700072,9697.98770700072,9697.98770700072,9697.98770700072,203.0,0.0005458163292502408,0.0,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
GET,/api/cart/add/anonymous-1001/SHCE/1,1,0,823.2118150008318,823.2118150008318,823.2118150008318,823.2118150008318,124.0,0.0005458163292502408,0.0,820,820,820,820,820,820,820,820,820,820,820
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,9918.320652999682,9918.320652999682,9918.320652999682,9918.320652999682,203.0,0.0005458163292502408,0.0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
