Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1640988925,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1640988926,10,,Aggregated,0.000000,0.000000,160,190,220,230,260,290,390,390,390,390,390,24,0,160.0,180.71050220881565,105.59658900092472,385.68565500099794,1036.0833333333333
1640988927,20,,Aggregated,0.000000,0.000000,160,210,240,280,350,480,490,490,490,490,490,58,0,160.0,192.77490815536646,34.488834000512725,490.3559699996549,570.0172413793103
1640988928,30,,Aggregated,24.000000,0.000000,160,210,250,280,350,430,480,490,490,490,490,103,5,160.0,193.63264594181442,34.488834000512725,490.3559699996549,523.4077669902913
1640988929,40,,Aggregated,27.000000,0.000000,160,220,260,290,410,480,680,690,820,820,820,140,6,160.0,209.61618087141167,34.488834000512725,821.8113639995863,455.7
1640988930,50,,Aggregated,33.666667,1.666667,160,220,280,310,410,480,680,690,820,820,820,163,9,160.0,217.53290355214642,34.488834000512725,821.8113639995863,491.9447852760736
1640988931,60,,Aggregated,34.250000,1.500000,170,230,290,310,440,500,680,690,820,820,820,198,9,170.0,227.18553892412854,28.294353000092087,821.8113639995863,472.0050505050505
1640988932,70,,Aggregated,32.200000,1.800000,190,270,300,330,440,580,690,750,930,930,930,221,9,190.0,243.0780372351817,28.294353000092087,934.1563130001305,519.4660633484162
1640988933,80,,Aggregated,32.333333,1.500000,210,300,380,440,630,840,960,1100,1200,1200,1200,267,13,210.0,300.797089160972,28.294353000092087,1236.8302989998483,556.6704119850187
1640988934,90,,Aggregated,31.428571,1.285714,240,340,440,500,750,930,1200,1200,2200,2200,2200,325,13,240.0,340.58426235688296,28.294353000092087,2189.723128998594,580.3476923076923
1640988935,100,,Aggregated,31.428571,1.285714,260,370,470,540,820,1000,1300,1600,3400,3400,3400,355,13,260.0,372.65860354644656,28.294353000092087,3420.59522999989,564.3352112676056
1640988936,110,,Aggregated,35.444444,1.444444,280,420,520,680,1100,1300,1600,2200,3400,3400,3400,399,15,280.0,432.5684319147583,28.294353000092087,3420.59522999989,569.8997493734336
1640988937,120,,Aggregated,35.500000,1.300000,290,440,620,810,1100,1300,1600,2000,3400,3400,3400,452,17,290.0,457.1371846216696,28.294353000092087,3420.59522999989,569.2610619469026
1640988938,130,,Aggregated,36.500000,1.400000,310,490,680,840,1100,1300,1500,1600,3400,3400,3400,514,17,310.0,472.2551350097173,28.294353000092087,3420.59522999989,584.2120622568093
1640988939,140,,Aggregated,38.600000,1.700000,310,510,720,870,1100,1300,1500,1900,3400,3400,3400,570,17,310.0,487.3534363525993,28.294353000092087,3420.59522999989,581.1368421052632
1640988940,150,,Aggregated,40.200000,1.200000,320,550,810,950,1200,1400,1700,2000,3400,3400,3400,614,20,320.0,514.7964076481629,27.410861999669578,3420.59522999989,594.228013029316
1640988941,160,,Aggregated,42.000000,1.100000,340,620,890,1000,1300,1600,2000,2300,3600,3600,3600,670,23,340.0,559.2602477342973,27.376193000236526,3572.8127629990922,597.7567164179104
1640988942,170,,Aggregated,44.200000,1.100000,370,680,960,1100,1400,1700,2200,2300,4500,4500,4500,724,25,370.0,598.4736955579691,27.376193000236526,4453.107985002134,612.7348066298342
1640988943,180,,Aggregated,46.500000,1.300000,390,720,970,1100,1500,1900,2400,2800,4500,4500,4500,774,25,390.0,635.972584988318,27.376193000236526,4453.107985002134,606.3023255813954
1640988944,190,,Aggregated,49.400000,1.600000,410,760,1000,1100,1600,2000,2700,3200,4500,4500,4500,811,26,410.0,672.7343316374141,27.376193000236526,4453.107985002134,620.0493218249076
1640988945,200,,Aggregated,51.800000,1.200000,430,820,1000,1100,1600,2300,3000,3500,4500,4500,4500,856,28,430.0,703.6630317475999,27.376193000236526,4453.107985002134,621.9135514018692
1640988946,210,,Aggregated,48.700000,1.300000,450,840,1100,1200,1700,2600,3600,3800,4500,4500,4500,921,31,450.0,760.412151811023,27.376193000236526,4453.107985002134,620.2920738327905
1640988947,220,,Aggregated,49.000000,1.300000,490,890,1100,1200,2000,3500,4300,4500,5700,5700,5700,968,31,490.0,847.3586042458254,27.376193000236526,5676.503065998986,628.00826446281
1640988948,230,,Aggregated,51.800000,1.700000,500,890,1100,1200,2000,3400,4300,4500,5100,5700,5700,1010,32,500.0,846.1512240494626,27.376193000236526,5676.503065998986,624.5148514851485
1640988949,240,,Aggregated,51.300000,1.400000,520,920,1100,1300,2300,4100,4800,5300,6400,6900,6900,1059,32,520.0,947.6781975476409,27.376193000236526,6881.707742999424,615.4164305949008
1640988950,250,,Aggregated,49.100000,1.500000,540,960,1100,1300,3000,4300,5100,5500,6900,8000,8000,1117,32,540.0,1017.6477435353202,27.376193000236526,8040.530444002798,622.6087735004477
1640988951,260,,Aggregated,48.000000,1.500000,580,980,1200,1400,3600,4600,5300,5700,6900,8000,8000,1171,33,580.0,1103.2413433910758,27.376193000236526,8040.530444002798,636.0333048676345
1640988952,270,,Aggregated,47.500000,1.200000,620,1000,1300,1600,4100,4800,5500,5700,6900,8000,8000,1237,33,620.0,1187.7620132521783,27.376193000236526,8040.530444002798,626.2926434923202
1640988953,280,,Aggregated,49.400000,1.000000,600,1000,1300,1600,4200,4900,5500,5800,6900,8000,8000,1279,38,600.0,1196.2644065754082,27.376193000236526,8040.530444002798,623.3878029710711
1640988954,290,,Aggregated,49.200000,0.800000,610,1000,1200,1600,4200,4900,5500,5800,6900,8000,8000,1305,38,610.0,1188.8928483693162,27.376193000236526,8040.530444002798,631.3471264367817
1640988955,300,,Aggregated,49.200000,1.000000,630,1000,1300,1900,4400,5200,5800,6200,6900,8000,8000,1372,40,630.0,1280.4500501960683,27.376193000236526,8040.530444002798,644.0225947521866
1640988956,310,,Aggregated,48.300000,1.200000,640,1000,1300,1800,4400,5200,5800,6200,7000,8000,8000,1410,41,630.0,1287.2280593347573,27.376193000236526,8040.530444002798,653.5943262411347
1640988957,320,,Aggregated,49.600000,1.200000,680,1100,1500,2100,4600,5600,6400,7100,8000,16000,16000,1473,41,680.0,1406.2807333625417,27.376193000236526,15585.400795000169,657.4324507807196
1640988958,330,,Aggregated,47.800000,0.900000,730,1200,1700,2300,5000,6100,7200,7600,8000,16000,16000,1550,42,720.0,1538.213997502601,27.376193000236526,15585.400795000169,674.2451612903226
1640988959,340,,Aggregated,47.300000,1.000000,770,1300,1900,3400,5400,6900,7400,7700,8600,16000,16000,1607,42,770.0,1699.3892397909317,27.376193000236526,15585.400795000169,679.5706285003112
1640988960,350,,Aggregated,52.600000,1.000000,820,1300,2000,3300,5500,6900,7400,7800,8600,16000,16000,1671,43,820.0,1728.8035082908457,27.376193000236526,15585.400795000169,665.4703770197486
1640988961,360,,Aggregated,51.700000,1.000000,840,1400,2100,3600,5600,6900,7400,7700,8600,16000,16000,1749,43,840.0,1774.430572069189,27.376193000236526,15585.400795000169,661.2475700400229
1640988962,370,,Aggregated,56.000000,1.000000,810,1400,2100,3700,5700,6900,7400,7700,8600,16000,16000,1812,46,810.0,1775.808708239517,27.376193000236526,15585.400795000169,656.1495584988962
