Method,Name,Error,Occurrences
GET,/api/cart/add/anonymous-10136/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-5531/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-698,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-3679/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1611/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-799/STAN-1/1,500 Server Error: Internal Server Error for url: http://20.117.166.184/api/cart/add/anonymous-799/STAN-1/1,1
GET,/api/cart/add/anonymous-7419/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-5828/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-8324/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-4412/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-7662/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-2066/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-4432/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-2358/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-961/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-557/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-10085/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-7219/RED/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-9077,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/SHCE/5,500 Server Error: Internal Server Error for url: http://20.117.166.184/api/ratings/api/rate/SHCE/5,1
GET,/api/cart/update/anonymous-759/EMM/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-2849/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-3696/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-8341,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-9034/Watson/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-9411/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-7684/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/user/uniqueid,500 Server Error: Internal Server Error for url: http://20.117.166.184/api/user/uniqueid,40
GET,/api/cart/add/anonymous-7212/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1347/EPE/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-6960,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-2008,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1931/EMM/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-6421/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-9464/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-2375/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-8497/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,204
PUT,/api/ratings/api/rate/EPE/3,[Errno 104] Connection reset by peer,3
GET,/api/cart/update/anonymous-1555/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-9078,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-3429/SHCE/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-9179/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-9287,500 Server Error: Internal Server Error for url: http://20.117.166.184/api/cart/cart/anonymous-9287,1
GET,/api/cart/add/anonymous-8086/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-6669/RED/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EMM/5,[Errno 104] Connection reset by peer,2
GET,/api/cart/add/anonymous-1403/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-8608/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-8148/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1150/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-2084/RMC/2,500 Server Error: Internal Server Error for url: http://20.117.166.184/api/cart/update/anonymous-2084/RMC/2,1
GET,/api/cart/add/anonymous-8334/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-5951/RED/1,Remote end closed connection without response,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.117.166.184/api/shipping/cities/ca,7
GET,/api/cart/add/anonymous-948/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-2255/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-3978/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-4905/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-2244/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1795/Watson/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-5732/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-9679/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-747/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-7388/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-6128/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1278/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-9909/EMM/2,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/EPE/1,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-755/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1513/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-7456/EMM/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RMC/2,500 Server Error: Internal Server Error for url: http://20.117.166.184/api/ratings/api/rate/RMC/2,1
GET,/api/cart/add/anonymous-5686/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1747/EMM/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1276/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1415/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-8279/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-8068/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-3416/EMM/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-6780/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1455/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1358/RED/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-3989,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-6357/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-6809/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-5361/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-8196,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-5312/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-4668/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-3942/UHJ/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-9546,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-6682/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-9305/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-9513/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-7423/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-5620/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/user/uniqueid,502 Server Error: Bad Gateway for url: http://20.117.166.184/api/user/uniqueid,14
PUT,/api/ratings/api/rate/HPTD/5,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-6868/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-5797,404 Client Error: Not Found for url: http://20.117.166.184/api/cart/cart/anonymous-5797,1
GET,/api/cart/add/anonymous-3673/UHJ/1,[Errno 104] Connection reset by peer,2
GET,/api/cart/cart/anonymous-8041,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-6520,Remote end closed connection without response,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.117.166.184/api/shipping/cities/ru,5
GET,/api/cart/update/anonymous-2890/EPE/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-7995/EPE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-3995/HPTD/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-9175/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.117.166.184/api/shipping/cities/dk,5
GET,/api/cart/update/anonymous-8875/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1175/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-9171/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-9959/RMC/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1393,404 Client Error: Not Found for url: http://20.117.166.184/api/cart/cart/anonymous-1393,1
GET,/api/cart/add/anonymous-9793/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-9280/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,245
GET,/api/cart/add/anonymous-3687/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1760/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-5468/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/SHCE,[Errno 104] Connection reset by peer,38
PUT,/api/ratings/api/rate/SHCE/3,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-9312/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1578/EPE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1644/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-3499/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-9715,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-8563/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1116/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1099/HPTD/1,Remote end closed connection without response,1
GET,/api/catalogue/product/EMM,[Errno 104] Connection reset by peer,35
GET,/api/cart/update/anonymous-1808/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1749/UHJ/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-3482/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1108/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-4490/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1481,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/UHJ,[Errno 104] Connection reset by peer,47
GET,/api/cart/add/anonymous-644/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-732/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-8430/SHCE/1,[Errno 104] Connection reset by peer,1
