Method,Name,Error,Occurrences
GET,/api/shipping/calc/3849885,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3849885,1
GET,/api/shipping/calc/4379703,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4379703,1
GET,/api/cart/update/anonymous-6843/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5833913,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5833913,1
GET,/api/cart/cart/anonymous-2772,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/no,36
GET,/api/shipping/calc/3957199,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3957199,1
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/se,31
GET,/api/cart/update/anonymous-7864/UHJ/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4392304,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4392304,1
GET,/api/shipping/calc/3844255,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3844255,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/at,34
POST,/api/user/login,Remote end closed connection without response,9
GET,/api/shipping/calc/3194491,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3194491,1
GET,/api/shipping/calc/4567294,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4567294,1
GET,/api/shipping/calc/3923260,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3923260,1
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,2
GET,/api/user/uniqueid,[Errno 104] Connection reset by peer,10
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/cz,16
GET,/api/shipping/calc/4582096,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4582096,1
GET,/,Remote end closed connection without response,4
GET,/api/shipping/calc/3437096,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3437096,1
GET,/api/cart/update/anonymous-8118/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/it,45
GET,/api/shipping/calc/3297970,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3297970,1
GET,/api/cart/update/anonymous-6787/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3926866,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3926866,1
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/au,23
GET,/api/shipping/calc/4376116,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4376116,1
GET,/api/ratings/api/fetch/RMC,Remote end closed connection without response,1
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/gb,42
GET,/api/shipping/calc/5382719,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5382719,1
GET,/api/shipping/calc/3199409,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3199409,1
GET,/api/cart/cart/anonymous-9108,[Errno 104] Connection reset by peer,1
GET,/api/shipping/calc/3203472,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3203472,1
GET,/api/cart/update/anonymous-7882/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/br,30
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/in,37
POST,/api/user/login,[Errno 104] Connection reset by peer,6
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/bg,21
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/fi,34
GET,/api/shipping/calc/3437834,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3437834,1
GET,/api/cart/update/anonymous-8105/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/EMM,Remote end closed connection without response,2
GET,/api/shipping/calc/4587522,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4587522,1
GET,/api/ratings/api/fetch/SHCE,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-6769/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/de,28
GET,/api/shipping/calc/3905310,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3905310,1
GET,/api/shipping/calc/4566801,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4566801,1
GET,/api/cart/add/anonymous-2766/EMM/1,500 Server Error: Internal Server Error for url: http://20.108.53.44/api/cart/add/anonymous-2766/EMM/1,1
GET,/api/shipping/calc/5392245,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5392245,1
GET,/api/cart/update/anonymous-2664/RMC/2,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,4
POST,/api/user/login,500 Server Error: Internal Server Error for url: http://20.108.53.44/api/user/login,3
GET,/api/shipping/calc/3347394,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3347394,1
GET,/api/cart/cart/anonymous-6888,[Errno 104] Connection reset by peer,1
GET,/api/shipping/calc/4570939,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/4570939,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/nl,33
GET,/api/shipping/calc/5076040,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5076040,1
GET,/api/cart/cart/anonymous-2766,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,1
GET,/api/shipping/calc/5668691,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5668691,1
GET,/api/shipping/calc/5075855,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5075855,1
GET,/api/shipping/calc/3923023,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3923023,1
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/fr,34
GET,/api/shipping/calc/5091297,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5091297,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/3,Remote end closed connection without response,1
GET,/api/catalogue/product/UHJ,Remote end closed connection without response,1
GET,/api/shipping/calc/5665539,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5665539,1
GET,/api/shipping/calc/3437629,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/3437629,1
GET,/api/shipping/calc/5082478,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5082478,1
GET,/api/shipping/calc/5651131,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5651131,1
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/dk,37
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/es,37
GET,/api/shipping/calc/5076202,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/calc/5076202,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.108.53.44/api/shipping/cities/jp,41
