Method,Name,Error,Occurrences
GET,/api/shipping/calc/3440028,504 Server Error: Gateway Time-out for url: http://20.117.83.247/api/shipping/calc/3440028,1
GET,/api/cart/update/anonymous-631/EMM/2,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/update/anonymous-631/EMM/2,1
GET,/api/catalogue/product/RED,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/catalogue/product/RED,17
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.117.83.247/api/shipping/cities/gb,7
GET,/api/cart/add/anonymous-658/RED/1,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/add/anonymous-658/RED/1,1
GET,/api/cart/add/anonymous-86/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-734/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/add/anonymous-734/HPTD/1,1
POST,/api/payment/pay/anonymous-756,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.83.247/api/payment/pay/anonymous-756,1
GET,/api/shipping/calc/3362786,504 Server Error: Gateway Time-out for url: http://20.117.83.247/api/shipping/calc/3362786,1
GET,/api/cart/add/anonymous-787/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-872/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/add/anonymous-872/STAN-1/1,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
GET,/api/cart/cart/anonymous-581,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/cart/anonymous-581,1
PUT,/api/ratings/api/rate/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/ratings/api/rate/EPE/1,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.117.83.247/api/shipping/cities/hu,11
GET,/api/cart/cart/anonymous-844,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/cart/anonymous-844,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.117.83.247/api/shipping/cities/jp,18
GET,/api/cart/add/anonymous-577/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/add/anonymous-577/HPTD/1,1
GET,/api/cart/update/anonymous-627/Watson/2,404 Client Error: Not Found for url: http://20.117.83.247/api/cart/update/anonymous-627/Watson/2,1
GET,/api/shipping/calc/5661987,504 Server Error: Gateway Time-out for url: http://20.117.83.247/api/shipping/calc/5661987,1
GET,/api/cart/add/anonymous-703/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/add/anonymous-703/Watson/1,1
POST,/api/payment/pay/anonymous-667,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.83.247/api/payment/pay/anonymous-667,1
GET,/api/cart/update/anonymous-540/HPTD/2,502 Server Error: Bad Gateway for url: http://20.117.83.247/api/cart/update/anonymous-540/HPTD/2,1
POST,/api/payment/pay/anonymous-50,Remote end closed connection without response,1
