Method,Name,Error,Occurrences
GET,/api/cart/add/anonymous-646/RED/1,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/add/anonymous-646/RED/1,1
GET,/api/ratings/api/fetch/UHJ,500 Server Error: Internal Server Error for url: http://20.117.86.121/api/ratings/api/fetch/UHJ,4
GET,/api/cart/cart/anonymous-545,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/cart/anonymous-545,1
GET,/api/shipping/calc/5352824,504 Server Error: Gateway Time-out for url: http://20.117.86.121/api/shipping/calc/5352824,1
GET,/api/cart/update/anonymous-460/HPTD/2,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/update/anonymous-460/HPTD/2,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,8
GET,/api/cart/add/anonymous-807/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/add/anonymous-807/EMM/1,2
GET,/api/cart/add/anonymous-712/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-857/SHCE/2,404 Client Error: Not Found for url: http://20.117.86.121/api/cart/update/anonymous-857/SHCE/2,1
GET,/api/cart/add/anonymous-657/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/add/anonymous-657/EMM/1,1
POST,/api/payment/pay/anonymous-78,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.86.121/api/payment/pay/anonymous-78,1
GET,/api/cart/add/anonymous-702/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/add/anonymous-702/Watson/1,1
GET,/api/cart/update/anonymous-522/HPTD/2,404 Client Error: Not Found for url: http://20.117.86.121/api/cart/update/anonymous-522/HPTD/2,1
GET,/api/cart/add/anonymous-1037/Watson/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/5,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/ratings/api/rate/Watson/5,1
GET,/api/cart/add/anonymous-605/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/add/anonymous-605/UHJ/1,1
POST,/api/payment/pay/anonymous-663,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.86.121/api/payment/pay/anonymous-663,1
GET,/api/cart/add/anonymous-624/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/add/anonymous-624/EPE/1,1
GET,/api/cart/add/anonymous-603/RED/1,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/add/anonymous-603/RED/1,1
GET,/api/cart/cart/anonymous-676,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/cart/anonymous-676,1
POST,/api/payment/pay/anonymous-943,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.86.121/api/payment/pay/anonymous-943,1
GET,/api/cart/cart/anonymous-804,502 Server Error: Bad Gateway for url: http://20.117.86.121/api/cart/cart/anonymous-804,1
GET,/api/cart/update/anonymous-49/UHJ/2,404 Client Error: Not Found for url: http://20.117.86.121/api/cart/update/anonymous-49/UHJ/2,1
GET,/api/cart/update/anonymous-116/EPE/2,404 Client Error: Not Found for url: http://20.117.86.121/api/cart/update/anonymous-116/EPE/2,1
