Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2853,433,25000.0,143899.99338649787,2.689037999971333,1510075.497212,2218.018927444795,0.786204811455894,0.11932235659320088,25000,61000,79000,97000,277000,1183000,1351000,1438000,1508000,1510000,1510000
GET,/api/cart/add/anonymous-1/RED/1,1,0,30.05552400003353,30.05552400003353,30.05552400003353,30.05552400003353,210.0,0.00027557126233995587,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/cart/add/anonymous-1/RMC/1,2,0,48,31083.571448000013,47.99427799997602,62119.14861800005,163.5,0.0005511425246799117,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1/UHJ/1,3,0,57,7701.657529333298,27.334886000005554,23020.201589999942,139.0,0.0008267137870198675,0.0,57,57,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1/Watson/1,2,0,48001.24368200022,696803.4692620002,48001.24368200022,1345605.694842,197.5,0.0005511425246799117,0.0,1346000,1346000,1346000,1346000,1346000,1346000,1346000,1346000,1346000,1346000,1346000
GET,/api/cart/add/anonymous-10/EMM/1,1,0,67275.35814400017,67275.35814400017,67275.35814400017,67275.35814400017,214.0,0.00027557126233995587,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-10/RMC/1,3,0,220.0,32548.64626999993,157.2603040000331,97272.39695699973,144.0,0.0008267137870198675,0.0,220,220,97000,97000,97000,97000,97000,97000,97000,97000,97000
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,19683.29669600007,19683.29669600007,19683.29669600007,19683.29669600007,111.0,0.00027557126233995587,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-10/UHJ/1,2,0,253.46925299999157,31774.30763000015,253.46925299999157,63295.14600700031,138.0,0.0005511425246799117,0.0,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000
GET,/api/cart/add/anonymous-10/Watson/1,1,0,112.26478300000053,112.26478300000053,112.26478300000053,112.26478300000053,184.0,0.00027557126233995587,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-100/EPE/1,2,0,42,137.56851299996242,41.53077999995958,233.60624599996527,129.0,0.0005511425246799117,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/cart/add/anonymous-100/RMC/1,1,0,50888.04803499988,50888.04803499988,50888.04803499988,50888.04803499988,289.0,0.00027557126233995587,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-100/UHJ/1,3,0,320.0,7667.934657999903,42.06998699999076,22646.33970499972,246.66666666666666,0.0008267137870198675,0.0,320,320,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1000/SHCE/1,1,0,20281.904076000046,20281.904076000046,20281.904076000046,20281.904076000046,124.0,0.00027557126233995587,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1000/Watson/1,1,0,20916.583181999613,20916.583181999613,20916.583181999613,20916.583181999613,198.0,0.00027557126233995587,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/cart/add/anonymous-1001/RED/1,1,0,20301.35958300025,20301.35958300025,20301.35958300025,20301.35958300025,132.0,0.00027557126233995587,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
