Method,Name,Error,Occurrences
GET,/api/shipping/calc/5093320,504 Server Error: Gateway Time-out for url: http://20.117.97.38/api/shipping/calc/5093320,1
GET,/api/cart/cart/anonymous-722,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-722,1
GET,/api/cart/cart/anonymous-790,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-790,1
POST,/api/payment/pay/anonymous-702,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.97.38/api/payment/pay/anonymous-702,1
GET,/api/shipping/cities/de,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/shipping/cities/de,1
GET,/api/cart/update/anonymous-685/HPTD/2,404 Client Error: Not Found for url: http://20.117.97.38/api/cart/update/anonymous-685/HPTD/2,1
GET,/api/cart/add/anonymous-801/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-801/STAN-1/1,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-766/RMC/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-766/RMC/1,1
POST,/api/shipping/confirm/anonymous-913,404 Client Error:  for url: http://20.117.97.38/api/shipping/confirm/anonymous-913,1
GET,/api/cart/cart/anonymous-834,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-834,1
GET,/api/cart/add/anonymous-698/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-698/EPE/1,1
GET,/api/cart/cart/anonymous-620,404 Client Error: Not Found for url: http://20.117.97.38/api/cart/cart/anonymous-620,1
POST,/api/payment/pay/anonymous-20,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-691,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-691,1
GET,/api/shipping/cities/nl,"('Connection broken: IncompleteRead(7238 bytes read, 954 more expected)', IncompleteRead(7238 bytes read, 954 more expected))",1
GET,/api/shipping/cities/cz,"('Connection broken: IncompleteRead(4693 bytes read, 3499 more expected)', IncompleteRead(4693 bytes read, 3499 more expected))",1
GET,/api/cart/add/anonymous-589/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-589/HPTD/1,1
GET,/api/shipping/codes,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/shipping/codes,69
GET,/api/cart/cart/anonymous-572,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-572,1
GET,/api/cart/cart/anonymous-925,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-549,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/payment/pay/anonymous-549,1
GET,/api/cart/update/anonymous-611/RED/2,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/update/anonymous-611/RED/2,1
GET,/api/cart/update/anonymous-1011/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/cities/hu,"('Connection broken: IncompleteRead(9268 bytes read, 972 more expected)', IncompleteRead(9268 bytes read, 972 more expected))",1
GET,/api/shipping/cities/ro,"('Connection broken: IncompleteRead(310 bytes read, 7882 more expected)', IncompleteRead(310 bytes read, 7882 more expected))",1
GET,/api/shipping/calc/3361060,504 Server Error: Gateway Time-out for url: http://20.117.97.38/api/shipping/calc/3361060,1
GET,/api/shipping/calc/3759875,504 Server Error: Gateway Time-out for url: http://20.117.97.38/api/shipping/calc/3759875,1
GET,/api/cart/add/anonymous-692/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-692/Watson/1,1
GET,/api/cart/add/anonymous-721/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-721/Watson/1,1
GET,/api/cart/cart/anonymous-535,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-535,1
PUT,/api/ratings/api/rate/Watson/3,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/ratings/api/rate/Watson/3,3
GET,/api/cart/update/anonymous-885/RMC/2,404 Client Error: Not Found for url: http://20.117.97.38/api/cart/update/anonymous-885/RMC/2,1
GET,/api/cart/cart/anonymous-621,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-621,1
GET,/api/ratings/api/fetch/STAN-1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/ratings/api/fetch/STAN-1,19
GET,/api/cart/update/anonymous-662/SHCE/2,404 Client Error: Not Found for url: http://20.117.97.38/api/cart/update/anonymous-662/SHCE/2,1
GET,/api/cart/cart/anonymous-592,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-592,1
GET,/api/cart/add/anonymous-742/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-742/EMM/1,1
GET,/api/cart/add/anonymous-616/RMC/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-616/RMC/1,1
GET,/api/shipping/cities/cz,"('Connection broken: IncompleteRead(3389 bytes read, 4803 more expected)', IncompleteRead(3389 bytes read, 4803 more expected))",1
GET,/api/cart/update/anonymous-641/Watson/2,404 Client Error: Not Found for url: http://20.117.97.38/api/cart/update/anonymous-641/Watson/2,1
GET,/api/cart/cart/anonymous-569,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-569,2
GET,/api/cart/add/anonymous-696/RMC/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-696/RMC/1,1
GET,/api/cart/cart/anonymous-777,404 Client Error: Not Found for url: http://20.117.97.38/api/cart/cart/anonymous-777,1
GET,/api/cart/add/anonymous-921/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-921/Watson/1,1
GET,/api/cart/cart/anonymous-705,Remote end closed connection without response,1
GET,/api/shipping/cities/ru,"('Connection broken: IncompleteRead(7957 bytes read, 2283 more expected)', IncompleteRead(7957 bytes read, 2283 more expected))",1
GET,/api/cart/cart/anonymous-563,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/cart/anonymous-563,1
GET,/api/cart/add/anonymous-875/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.97.38/api/cart/add/anonymous-875/EPE/1,1
