Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2789,334,28000.0,120935.64106175219,2.9256209999743987,1523423.06693,2295.561133022589,0.768654033653216,0.09205107466481684,28000,58000,85000,103000,185000,943000,1271000,1407000,1523000,1523000,1523000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,64448.19762300039,64448.19762300039,64448.19762300039,64448.19762300039,229.0,0.0002756020199545414,0.0,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,59.33824899994988,59.33824899994988,59.33824899994988,59.33824899994988,129.0,0.0002756020199545414,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-1/RED/1,1,0,60.18736600003649,60.18736600003649,60.18736600003649,60.18736600003649,132.0,0.0002756020199545414,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/cart/add/anonymous-1/SHCE/1,2,0,20.248454000011407,21178.02923249997,20.248454000011407,42335.81001099992,173.0,0.0005512040399090828,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,44.740346000025966,44.740346000025966,44.740346000025966,44.740346000025966,209.0,0.0002756020199545414,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-10/EMM/1,1,0,638.0189810001866,638.0189810001866,638.0189810001866,638.0189810001866,137.0,0.0002756020199545414,0.0,640,640,640,640,640,640,640,640,640,640,640
GET,/api/cart/add/anonymous-10/RED/1,1,0,74.32427199995573,74.32427199995573,74.32427199995573,74.32427199995573,210.0,0.0002756020199545414,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/api/cart/add/anonymous-10/RMC/1,3,0,110.0,8332.451378333399,103.77589900002704,24787.151632000132,179.66666666666666,0.0008268060598636243,0.0,110,110,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,72.86565100002917,72.86565100002917,72.86565100002917,72.86565100002917,138.0,0.0002756020199545414,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/api/cart/add/anonymous-100/RED/1,1,0,45.03332900003443,45.03332900003443,45.03332900003443,45.03332900003443,202.0,0.0002756020199545414,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,88.30284999999094,88.30284999999094,88.30284999999094,88.30284999999094,124.0,0.0002756020199545414,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,146.63917899997614,146.63917899997614,146.63917899997614,146.63917899997614,230.0,0.0002756020199545414,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/cart/add/anonymous-100/Watson/1,1,0,47.93305099997269,47.93305099997269,47.93305099997269,47.93305099997269,106.0,0.0002756020199545414,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,1292.4761470003432,1292.4761470003432,1292.4761470003432,1292.4761470003432,129.0,0.0002756020199545414,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-1000/RMC/1,1,0,46525.00228400004,46525.00228400004,46525.00228400004,46525.00228400004,207.0,0.0002756020199545414,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-1001/RMC/1,1,0,28931.40931800008,28931.40931800008,28931.40931800008,28931.40931800008,190.0,0.0002756020199545414,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,30781.383324000217,30781.383324000217,30781.383324000217,30781.383324000217,111.0,0.0002756020199545414,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1002/RMC/1,2,0,1303.940189000059,16011.191756000017,1303.940189000059,30718.443322999974,108.0,0.0005512040399090828,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1002/SHCE/1,1,0,59816.19733699972,59816.19733699972,59816.19733699972,59816.19733699972,202.0,0.0002756020199545414,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1002/STAN-1/1,1,0,46375.94692399989,46375.94692399989,46375.94692399989,46375.94692399989,190.0,0.0002756020199545414,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/api/cart/add/anonymous-1004/EPE/1,1,0,59816.45263899963,59816.45263899963,59816.45263899963,59816.45263899963,217.0,0.0002756020199545414,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1004/HPTD/1,2,0,21000.0,25878.80647099996,20974.06279400002,30783.550147999904,121.0,0.0005512040399090828,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1004/SHCE/1,1,0,31463.39432700006,31463.39432700006,31463.39432700006,31463.39432700006,213.0,0.0002756020199545414,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
