Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-616,502 Server Error: Bad Gateway for url: http://20.117.88.213/api/cart/cart/anonymous-616,1
GET,/api/cart/update/anonymous-942/RED/2,404 Client Error: Not Found for url: http://20.117.88.213/api/cart/update/anonymous-942/RED/2,1
GET,/api/cart/update/anonymous-967/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-842/SHCE/1,502 Server Error: Bad Gateway for url: http://20.117.88.213/api/cart/add/anonymous-842/SHCE/1,1
POST,/api/payment/pay/anonymous-1043,404 Client Error: NOT FOUND for url: http://20.117.88.213/api/payment/pay/anonymous-1043,1
GET,/api/cart/update/anonymous-899/Watson/2,502 Server Error: Bad Gateway for url: http://20.117.88.213/api/cart/update/anonymous-899/Watson/2,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.117.88.213/api/shipping/cities/pt,13
GET,/api/shipping/calc/5858773,504 Server Error: Gateway Time-out for url: http://20.117.88.213/api/shipping/calc/5858773,1
GET,/api/cart/cart/anonymous-956,404 Client Error: Not Found for url: http://20.117.88.213/api/cart/cart/anonymous-956,2
GET,/api/cart/add/anonymous-583/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.88.213/api/cart/add/anonymous-583/EMM/1,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
GET,/api/ratings/api/fetch/EPE,502 Server Error: Bad Gateway for url: http://20.117.88.213/api/ratings/api/fetch/EPE,15
POST,/api/payment/pay/anonymous-171,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.213/api/payment/pay/anonymous-171,1
PUT,/api/ratings/api/rate/RMC/3,502 Server Error: Bad Gateway for url: http://20.117.88.213/api/ratings/api/rate/RMC/3,1
GET,/api/shipping/calc/3962856,504 Server Error: Gateway Time-out for url: http://20.117.88.213/api/shipping/calc/3962856,1
GET,/api/cart/add/anonymous-143/STAN-1/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-25,404 Client Error:  for url: http://20.117.88.213/api/shipping/confirm/anonymous-25,1
GET,/api/cart/add/anonymous-701/RMC/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-925,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-629,404 Client Error: Not Found for url: http://20.117.88.213/api/cart/cart/anonymous-629,1
GET,/api/cart/update/anonymous-657/RMC/2,404 Client Error: Not Found for url: http://20.117.88.213/api/cart/update/anonymous-657/RMC/2,1
GET,/api/shipping/calc/4001525,504 Server Error: Gateway Time-out for url: http://20.117.88.213/api/shipping/calc/4001525,1
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.117.88.213/api/shipping/cities/gb,6
GET,/api/cart/cart/anonymous-586,502 Server Error: Bad Gateway for url: http://20.117.88.213/api/cart/cart/anonymous-586,1
GET,/api/cart/add/anonymous-981/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-19/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-447/SHCE/2,Remote end closed connection without response,1
