Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645842212,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1645842213,10,,Aggregated,0.000000,0.000000,59,130,150,150,160,340,340,340,340,340,340,20,0,38,81.43017784999813,4.322370000011233,339.9890599999935,386.9
1645842214,20,,Aggregated,0.000000,0.000000,30,57,85,98,140,150,160,340,340,340,340,53,0,30,57.271192339617045,4.322370000011233,339.9890599999935,423.54716981132077
1645842215,30,,Aggregated,0.000000,0.000000,31,50,61,88,130,150,160,340,340,340,340,70,0,31,52.812295242853224,4.322370000011233,339.9890599999935,415.4714285714286
1645842216,40,,Aggregated,26.500000,0.000000,31,46,57,60,130,160,380,460,1000,1000,1000,126,0,31,59.90749981745758,4.322370000011233,1031.2955610000358,465.53968253968253
1645842217,50,,Aggregated,23.333333,0.000000,31,45,50,59,98,150,340,460,1000,1000,1000,155,0,31,55.448328516126416,4.322370000011233,1031.2955610000358,459.16129032258067
1645842218,60,,Aggregated,23.333333,0.000000,30,41,49,58,86,130,210,380,1000,1000,1000,221,0,30,49.41800474207967,4.322370000011233,1031.2955610000358,460.07239819004525
1645842219,70,,Aggregated,30.800000,0.000000,30,41,49,58,83,120,170,340,1000,1000,1000,313,0,30,46.044216638977,4.006263000007948,1031.2955610000358,460.185303514377
1645842220,80,,Aggregated,36.833333,0.000000,33,47,55,60,88,130,440,1500,1900,1900,1900,388,0,32,66.85188481701012,4.006263000007948,1889.3538049999847,466.6829896907216
1645842221,90,,Aggregated,42.285714,0.000000,38,49,59,69,95,130,340,1000,1900,1900,1900,473,0,38,66.07915280338193,4.006263000007948,1889.3538049999847,470.35306553911204
1645842222,100,,Aggregated,47.875000,0.000000,36,49,59,69,96,130,210,680,1900,1900,1900,527,0,36,63.4876023149898,3.9191619999883187,1889.3538049999847,461.3187855787476
1645842223,110,,Aggregated,49.777778,0.000000,33,48,58,66,98,140,460,1800,6900,6900,6900,607,0,33,106.07486650576537,3.0773490000228776,6940.001730999995,3423.800658978583
1645842224,120,,Aggregated,52.300000,0.000000,37,49,60,69,100,150,680,4100,8200,8200,8200,705,0,37,125.35607593616915,3.0773490000228776,8226.377493000029,6085.234042553191
1645842225,130,,Aggregated,56.700000,0.000000,38,50,63,74,110,170,4000,5100,12000,12000,12000,881,0,38,189.8528627582282,3.0773490000228776,12319.117441000002,11173.896708286038
1645842226,140,,Aggregated,61.500000,0.000000,40,55,70,84,140,260,4100,5300,12000,12000,12000,980,0,40,227.31975761224362,3.0773490000228776,12319.117441000002,16680.414285714287
1645842227,150,,Aggregated,75.400000,0.000000,39,54,69,83,140,220,4000,5300,10000,12000,12000,1104,0,39,207.9661879094188,3.0773490000228776,12319.117441000002,14855.292572463768
1645842228,160,,Aggregated,80.200000,0.000000,39,55,68,82,140,210,4000,5300,10000,12000,12000,1214,0,39,204.43794544892788,3.0773490000228776,12319.117441000002,14824.197693574959
1645842229,170,,Aggregated,89.300000,0.000000,38,52,65,77,120,190,3900,5300,10000,12000,12000,1334,0,38,192.18109437406193,3.0773490000228776,12319.117441000002,14319.850824587706
1645842230,180,,Aggregated,92.600000,0.000000,38,51,64,76,120,180,3700,5100,10000,12000,12000,1406,0,38,183.90558913086667,3.0773490000228776,12319.117441000002,13612.022759601707
1645842231,190,,Aggregated,96.200000,0.000000,37,50,62,71,110,180,3400,5100,12000,12000,12000,1540,0,37,178.9369692045441,3.0773490000228776,12319.117441000002,14745.305844155844
1645842232,200,,Aggregated,98.600000,0.000000,38,51,65,78,120,300,4900,7700,12000,12000,12000,1674,0,38,246.81179016427592,3.0773490000228776,12319.117441000002,16398.057347670252
1645842233,210,,Aggregated,100.300000,0.000000,39,52,66,79,120,220,4200,7500,12000,12000,12000,1806,0,39,237.41405390808316,3.0773490000228776,12319.117441000002,16644.428017718714
1645842234,220,,Aggregated,101.800000,0.000000,38,52,66,78,120,210,4100,7500,12000,12000,12000,1888,0,38,228.64993566790164,3.0773490000228776,12319.117441000002,15940.891419491525
1645842235,230,,Aggregated,110.400000,0.000000,38,52,66,77,120,200,4000,7300,12000,12000,12000,2015,0,38,224.9146141166245,3.0773490000228776,12319.117441000002,16380.977667493797
1645842237,240,,Aggregated,106.400000,0.000000,38,51,64,77,120,190,4100,7700,12000,12000,12000,2104,0,38,238.04782869058852,3.0773490000228776,12319.117441000002,17160.868821292777
1645842238,250,,Aggregated,109.300000,0.000000,37,50,64,75,110,190,4000,7600,12000,12000,12000,2214,0,37,228.04700758581674,3.0773490000228776,12319.117441000002,16328.440831074977
1645842239,260,,Aggregated,105.400000,0.000000,37,50,64,76,120,190,4300,8300,12000,13000,13000,2285,0,37,248.8919581715528,3.0773490000228776,12678.225887999986,18361.113347921226
1645842240,270,,Aggregated,105.800000,0.000000,37,50,64,76,120,200,4200,8300,13000,14000,14000,2385,0,37,246.7130933446533,3.0773490000228776,14217.664248999994,18180.723270440252
1645842241,280,,Aggregated,102.100000,0.000000,37,51,65,77,120,220,5000,9000,16000,18000,18000,2476,0,37,274.28129699919117,3.0773490000228776,18132.486552999977,20589.41195476575
1645842242,290,,Aggregated,101.200000,0.000000,38,56,71,84,140,440,8800,12000,18000,25000,25000,2667,0,38,409.63299152755786,3.0773490000228776,24726.599046999978,20653.46644169479
1645842243,300,,Aggregated,101.800000,0.000000,39,56,71,85,140,400,8700,12000,18000,25000,25000,2833,0,39,395.3808924616996,3.0773490000228776,24726.599046999978,21457.85598305683
