Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3007,355,27000.0,140518.40775771462,2.473820999966847,1690805.439563,2298.194213501829,0.821231284364521,0.09695281208826238,27000,56000,81000,99000,260000,1181000,1456000,1542000,1619000,1691000,1691000
GET,/api/cart/add/anonymous-1/STAN-1/1,3,0,19000.0,534883.8303583333,17.236600999979146,1585391.9898520003,137.66666666666666,0.0008193195387740483,0.0,19000,19000,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1585000,1585000
GET,/api/cart/add/anonymous-1/UHJ/1,2,0,10.299115999998776,13.69670799999767,10.299115999998776,17.094299999996565,173.5,0.0005462130258493655,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-1/Watson/1,1,0,33.96068600000035,33.96068600000035,33.96068600000035,33.96068600000035,106.0,0.00027310651292468277,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/api/cart/add/anonymous-10/EMM/1,1,0,87.36187400000972,87.36187400000972,87.36187400000972,87.36187400000972,221.0,0.00027310651292468277,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/api/cart/add/anonymous-10/RED/1,1,0,57.0485360000248,57.0485360000248,57.0485360000248,57.0485360000248,132.0,0.00027310651292468277,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/cart/add/anonymous-10/SHCE/1,2,0,38.82454299997562,38.79879299998379,38.77304299999196,38.82454299997562,124.5,0.0005462130258493655,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,29815.842899000017,29815.842899000017,29815.842899000017,29815.842899000017,111.0,0.00027310651292468277,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,58168.29620699991,58168.29620699991,58168.29620699991,58168.29620699991,121.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-100/RMC/1,1,0,58.72508499999185,58.72508499999185,58.72508499999185,58.72508499999185,108.0,0.00027310651292468277,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-100/SHCE/1,2,0,53,59.91964400001848,52.78962100004492,67.04966699999204,216.0,0.0005462130258493655,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,58135.41357199983,58135.41357199983,58135.41357199983,58135.41357199983,281.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,93.32992100002002,93.32992100002002,93.32992100002002,93.32992100002002,138.0,0.00027310651292468277,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,58104.444705999864,58104.444705999864,58104.444705999864,58104.444705999864,179.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1000/STAN-1/1,1,0,22703.69224099977,22703.69224099977,22703.69224099977,22703.69224099977,111.0,0.00027310651292468277,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1001/EMM/1,1,0,22685.668852999697,22685.668852999697,22685.668852999697,22685.668852999697,137.0,0.00027310651292468277,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1001/RED/1,1,0,78428.63620700018,78428.63620700018,78428.63620700018,78428.63620700018,221.0,0.00027310651292468277,0.0,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
GET,/api/cart/add/anonymous-1001/Watson/1,2,0,23000.0,50896.67319899991,22703.32024399977,79090.02615400005,105.0,0.0005462130258493655,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1002/SHCE/1,1,0,58102.98558500017,58102.98558500017,58102.98558500017,58102.98558500017,230.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1002/UHJ/1,1,0,22702.327017999778,22702.327017999778,22702.327017999778,22702.327017999778,138.0,0.00027310651292468277,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1003/RED/1,1,0,31074.359007000112,31074.359007000112,31074.359007000112,31074.359007000112,202.0,0.00027310651292468277,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,82706.133185,82706.133185,82706.133185,82706.133185,124.0,0.00027310651292468277,0.0,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000
GET,/api/cart/add/anonymous-1003/Watson/1,2,0,24249.123521,39165.30256500005,24249.123521,54081.4816090001,106.0,0.0005462130258493655,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1004/EPE/1,1,0,25543.908626000302,25543.908626000302,25543.908626000302,25543.908626000302,217.0,0.00027310651292468277,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1004/HPTD/1,1,0,54085.71667800016,54085.71667800016,54085.71667800016,54085.71667800016,121.0,0.00027310651292468277,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1005/EPE/1,1,0,54066.36716399998,54066.36716399998,54066.36716399998,54066.36716399998,129.0,0.00027310651292468277,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,25170.940339000026,25170.940339000026,25170.940339000026,25170.940339000026,213.0,0.00027310651292468277,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1005/SHCE/1,2,0,25465.556401999947,39766.42419049994,25465.556401999947,54067.29197899994,173.0,0.0005462130258493655,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1006/EMM/1,1,0,58133.54814200011,58133.54814200011,58133.54814200011,58133.54814200011,215.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1006/EPE/1,1,0,25179.481772000145,25179.481772000145,25179.481772000145,25179.481772000145,283.0,0.00027310651292468277,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1006/RMC/1,1,0,54093.30270200007,54093.30270200007,54093.30270200007,54093.30270200007,108.0,0.00027310651292468277,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1007/STAN-1/1,1,0,58221.82524100026,58221.82524100026,58221.82524100026,58221.82524100026,182.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1007/Watson/1,1,0,58124.75890199994,58124.75890199994,58124.75890199994,58124.75890199994,106.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1008/EPE/1,1,0,57889.71825199996,57889.71825199996,57889.71825199996,57889.71825199996,201.0,0.00027310651292468277,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1008/RED/1,1,0,50480.39067699983,50480.39067699983,50480.39067699983,50480.39067699983,132.0,0.00027310651292468277,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1008/SHCE/1,1,0,49574.54921199997,49574.54921199997,49574.54921199997,49574.54921199997,124.0,0.00027310651292468277,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1009/EMM/1,1,0,25340.97559499969,25340.97559499969,25340.97559499969,25340.97559499969,229.0,0.00027310651292468277,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
