Method,Name,Error,Occurrences
GET,/api/shipping/calc/4592662,504 Server Error: Gateway Time-out for url: http://20.108.180.19/api/shipping/calc/4592662,1
GET,/api/cart/update/anonymous-414/EMM/2,502 Server Error: Bad Gateway for url: http://20.108.180.19/api/cart/update/anonymous-414/EMM/2,1
GET,/api/cart/add/anonymous-886/EMM/1,502 Server Error: Bad Gateway for url: http://20.108.180.19/api/cart/add/anonymous-886/EMM/1,1
GET,/api/cart/add/anonymous-551/SHCE/1,502 Server Error: Bad Gateway for url: http://20.108.180.19/api/cart/add/anonymous-551/SHCE/1,1
GET,/api/cart/update/anonymous-70/RED/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-660/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-384,502 Server Error: Bad Gateway for url: http://20.108.180.19/api/cart/cart/anonymous-384,1
GET,/api/cart/cart/anonymous-984,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-514/Watson/1,502 Server Error: Bad Gateway for url: http://20.108.180.19/api/cart/add/anonymous-514/Watson/1,1
GET,/api/cart/add/anonymous-727/RMC/1,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,8
POST,/api/payment/pay/anonymous-915,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.180.19/api/payment/pay/anonymous-915,1
GET,/api/cart/cart/anonymous-986,404 Client Error: Not Found for url: http://20.108.180.19/api/cart/cart/anonymous-986,1
GET,/api/cart/update/anonymous-394/HPTD/2,404 Client Error: Not Found for url: http://20.108.180.19/api/cart/update/anonymous-394/HPTD/2,1
GET,/api/cart/add/anonymous-572/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.180.19/api/cart/add/anonymous-572/EPE/1,1
GET,/api/cart/add/anonymous-720/RED/1,502 Server Error: Bad Gateway for url: http://20.108.180.19/api/cart/add/anonymous-720/RED/1,1
GET,/api/cart/add/anonymous-1120/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-430/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-634,404 Client Error: Not Found for url: http://20.108.180.19/api/cart/cart/anonymous-634,1
