Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-889,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/cart/anonymous-889,1
GET,/api/shipping/calc/4590713,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,13
GET,/api/cart/update/anonymous-800/EPE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-408,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-408,1
GET,/api/shipping/calc/3211052,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/shipping/calc/3211052,1
GET,/api/cart/add/anonymous-486/Watson/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-1000,Remote end closed connection without response,1
GET,/api/shipping/calc/3849382,Remote end closed connection without response,1
GET,/api/shipping/calc/3305076,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-559,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-559,1
POST,/api/payment/pay/anonymous-756,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.89.65/api/payment/pay/anonymous-756,1
GET,/api/cart/add/anonymous-615/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-836,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.89.65/api/payment/pay/anonymous-836,1
GET,/api/cart/add/anonymous-690/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-690/Watson/1,1
GET,/api/shipping/cities/nl,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/shipping/cities/nl,1
GET,/api/cart/add/anonymous-517/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-517/UHJ/1,1
GET,/api/cart/add/anonymous-596/RMC/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-596/RMC/1,1
POST,/api/shipping/confirm/anonymous-472,404 Client Error:  for url: http://20.117.89.65/api/shipping/confirm/anonymous-472,1
GET,/api/cart/cart/anonymous-603,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/cart/anonymous-603,1
GET,/api/shipping/calc/5838519,504 Server Error: Gateway Time-out for url: http://20.117.89.65/api/shipping/calc/5838519,1
GET,/api/cart/add/anonymous-539/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-539/STAN-1/1,1
GET,/api/cart/update/anonymous-56/EMM/2,Remote end closed connection without response,1
GET,/api/catalogue/product/STAN-1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/catalogue/product/STAN-1,7
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.89.65/api/shipping/cities/bg,13
GET,/api/cart/cart/anonymous-165,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-603/RED/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-603/RED/1,1
GET,/api/shipping/calc/6065899,504 Server Error: Gateway Time-out for url: http://20.117.89.65/api/shipping/calc/6065899,1
GET,/api/cart/cart/anonymous-776,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/cart/anonymous-776,1
POST,/api/payment/pay/anonymous-873,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.89.65/api/payment/pay/anonymous-873,1
GET,/api/cart/update/anonymous-488/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3192150,504 Server Error: Gateway Time-out for url: http://20.117.89.65/api/shipping/calc/3192150,1
GET,/api/cart/cart/anonymous-435,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/cart/anonymous-435,1
GET,/api/cart/add/anonymous-668/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-668/STAN-1/1,1
GET,/api/cart/add/anonymous-577/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3813092,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-541,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-541,1
GET,/api/catalogue/product/Watson,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/catalogue/product/Watson,8
GET,/api/cart/cart/anonymous-614,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/cart/anonymous-614,1
GET,/api/shipping/calc/3396976,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-171/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-800/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-800/EPE/1,1
POST,/api/shipping/confirm/anonymous-684,404 Client Error:  for url: http://20.117.89.65/api/shipping/confirm/anonymous-684,1
GET,/api/cart/cart/anonymous-510,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-510,1
GET,/api/catalogue/product/RED,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/catalogue/product/RED,16
GET,/api/cart/add/anonymous-560/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-560/EMM/1,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,10
POST,/api/payment/pay/anonymous-587,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.89.65/api/payment/pay/anonymous-587,1
GET,/api/cart/update/anonymous-503/EPE/2,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/update/anonymous-503/EPE/2,1
GET,/api/cart/add/anonymous-629/SHCE/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/5,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-943/EMM/2,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/update/anonymous-943/EMM/2,1
GET,/api/cart/add/anonymous-1070/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-569,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-569,1
PUT,/api/ratings/api/rate/EMM/4,Remote end closed connection without response,2
GET,/api/shipping/calc/3820419,504 Server Error: Gateway Time-out for url: http://20.117.89.65/api/shipping/calc/3820419,1
GET,/api/shipping/calc/5346373,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-36,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-371/HPTD/2,Remote end closed connection without response,1
GET,/api/catalogue/product/HPTD,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/catalogue/product/HPTD,12
GET,/api/cart/cart/anonymous-508,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-508,1
POST,/api/payment/pay/anonymous-976,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.89.65/api/payment/pay/anonymous-976,1
POST,/api/shipping/confirm/anonymous-321,504 Server Error: Gateway Time-out for url: http://20.117.89.65/api/shipping/confirm/anonymous-321,1
GET,/api/ratings/api/fetch/UHJ,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/ratings/api/fetch/UHJ,14
POST,/api/shipping/confirm/anonymous-559,Remote end closed connection without response,1
GET,/api/shipping/calc/5347827,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/shipping/calc/5347827,1
GET,/api/cart/update/anonymous-493/EPE/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-58,504 Server Error: Gateway Time-out for url: http://20.117.89.65/api/shipping/confirm/anonymous-58,1
GET,/api/cart/add/anonymous-494/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-494/UHJ/1,1
GET,/api/cart/add/anonymous-570/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-570/STAN-1/1,1
GET,/api/cart/add/anonymous-696/RMC/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-696/RMC/1,1
GET,/api/cart/update/anonymous-21/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-489/RED/2,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/update/anonymous-489/RED/2,1
GET,/api/cart/cart/anonymous-572,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-572,2
GET,/api/cart/add/anonymous-543/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-543/EPE/1,1
GET,/api/cart/add/anonymous-667/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-667/EPE/1,1
GET,/api/cart/add/anonymous-511/RED/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-511/RED/1,2
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-870/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4032006,Remote end closed connection without response,1
GET,/api/shipping/cities/at,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/shipping/cities/at,2
GET,/api/cart/add/anonymous-690/SHCE/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-690/SHCE/1,1
GET,/api/cart/update/anonymous-477/EMM/2,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/update/anonymous-477/EMM/2,1
GET,/api/cart/update/anonymous-931/HPTD/2,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/update/anonymous-931/HPTD/2,1
GET,/api/cart/add/anonymous-443/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-443/EMM/1,1
GET,/,Remote end closed connection without response,56
GET,/api/cart/add/anonymous-638/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/add/anonymous-638/EMM/1,1
GET,/api/shipping/calc/4409097,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-359,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/cart/anonymous-359,1
POST,/api/payment/pay/anonymous-723,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.89.65/api/payment/pay/anonymous-723,1
GET,/api/cart/update/anonymous-1048/RMC/2,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/update/anonymous-1048/RMC/2,1
GET,/api/catalogue/product/EPE,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/catalogue/product/EPE,8
GET,/api/cart/add/anonymous-817/Watson/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-517/RED/2,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/update/anonymous-517/RED/2,1
GET,/api/cart/update/anonymous-388/RMC/2,404 Client Error: Not Found for url: http://20.117.89.65/api/cart/update/anonymous-388/RMC/2,1
POST,/api/shipping/confirm/anonymous-571,404 Client Error:  for url: http://20.117.89.65/api/shipping/confirm/anonymous-571,1
GET,/api/cart/cart/anonymous-529,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-529,1
GET,/api/cart/add/anonymous-929/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3440055,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-392,502 Server Error: Bad Gateway for url: http://20.117.89.65/api/cart/cart/anonymous-392,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,5
