Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-694/EPE/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-918,404 Client Error:  for url: http://20.108.160.114/api/shipping/confirm/anonymous-918,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,7
POST,/api/shipping/confirm/anonymous-1068,404 Client Error:  for url: http://20.108.160.114/api/shipping/confirm/anonymous-1068,1
GET,/api/cart/cart/anonymous-1226,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/cart/anonymous-1226,1
GET,/api/cart/add/anonymous-1031/RED/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1134,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/cart/anonymous-1134,1
GET,/api/cart/cart/anonymous-699,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/cart/anonymous-699,1
GET,/api/cart/add/anonymous-780/HPTD/1,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/add/anonymous-780/HPTD/1,1
GET,/api/cart/add/anonymous-208/STAN-1/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-564,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.160.114/api/payment/pay/anonymous-564,1
GET,/api/cart/update/anonymous-1029/RMC/2,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/update/anonymous-1029/RMC/2,1
GET,/api/cart/update/anonymous-997/Watson/2,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/update/anonymous-997/Watson/2,1
PUT,/api/ratings/api/rate/UHJ/2,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/ratings/api/rate/UHJ/2,1
GET,/api/catalogue/product/Watson,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/catalogue/product/Watson,8
GET,/api/cart/add/anonymous-1096/UHJ/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/3,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/ratings/api/rate/Watson/3,1
GET,/api/cart/cart/anonymous-1051,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/cart/anonymous-1051,1
GET,/api/cart/add/anonymous-976/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-640/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/add/anonymous-640/EPE/1,1
GET,/api/cart/add/anonymous-713/EMM/1,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/add/anonymous-713/EMM/1,1
POST,/api/payment/pay/anonymous-43,429 Client Error: TOO MANY REQUESTS for url: http://20.108.160.114/api/payment/pay/anonymous-43,1
GET,/api/cart/cart/anonymous-690,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/cart/anonymous-690,1
GET,/api/cart/add/anonymous-1117/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-752,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-643,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/cart/anonymous-643,1
POST,/api/payment/pay/anonymous-17,429 Client Error: TOO MANY REQUESTS for url: http://20.108.160.114/api/payment/pay/anonymous-17,1
GET,/api/cart/add/anonymous-1071/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-742,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-710/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/add/anonymous-710/EPE/1,1
PUT,/api/ratings/api/rate/EMM/5,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/ratings/api/rate/EMM/5,1
GET,/api/shipping/calc/3398351,504 Server Error: Gateway Time-out for url: http://20.108.160.114/api/shipping/calc/3398351,1
POST,/api/payment/pay/anonymous-6,429 Client Error: TOO MANY REQUESTS for url: http://20.108.160.114/api/payment/pay/anonymous-6,1
GET,/api/cart/update/anonymous-924/EMM/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-679,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/cart/anonymous-679,1
GET,/api/cart/cart/anonymous-1156,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/cart/anonymous-1156,1
GET,/api/cart/cart/anonymous-782,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/cart/anonymous-782,1
GET,/api/cart/add/anonymous-863/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/add/anonymous-863/STAN-1/1,1
POST,/api/payment/pay/anonymous-1057,404 Client Error: NOT FOUND for url: http://20.108.160.114/api/payment/pay/anonymous-1057,1
GET,/api/cart/cart/anonymous-13,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/cart/anonymous-13,1
POST,/api/payment/pay/anonymous-556,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.160.114/api/payment/pay/anonymous-556,1
GET,/api/cart/add/anonymous-143/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-642,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/cart/anonymous-642,1
GET,/api/shipping/calc/6086892,504 Server Error: Gateway Time-out for url: http://20.108.160.114/api/shipping/calc/6086892,1
GET,/api/cart/cart/anonymous-1097,404 Client Error: Not Found for url: http://20.108.160.114/api/cart/cart/anonymous-1097,1
POST,/api/payment/pay/anonymous-978,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-759/RED/1,502 Server Error: Bad Gateway for url: http://20.108.160.114/api/cart/add/anonymous-759/RED/1,1
GET,/api/cart/add/anonymous-1076/SHCE/1,Remote end closed connection without response,1
