Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2737,50,29000.0,96866.36603765473,2.8981049999856623,1568619.0693839998,2538.7584947022287,0.7583454000298293,0.013853587870475508,29000,51000,69000,85000,140000,349000,1319000,1465000,1568000,1569000,1569000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,38.141244999962964,38.141244999962964,38.141244999962964,38.141244999962964,137.0,0.00027707175740951016,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/api/cart/add/anonymous-1/RED/1,1,0,9.132010000030277,9.132010000030277,9.132010000030277,9.132010000030277,210.0,0.00027707175740951016,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/cart/add/anonymous-1/RMC/1,1,0,31.632334000050832,31.632334000050832,31.632334000050832,31.632334000050832,108.0,0.00027707175740951016,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,21.65792600004579,21.65792600004579,21.65792600004579,21.65792600004579,201.0,0.00027707175740951016,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/cart/add/anonymous-10/EPE/1,1,0,51.15326200001391,51.15326200001391,51.15326200001391,51.15326200001391,129.0,0.00027707175740951016,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,8.473409999965043,8.473409999965043,8.473409999965043,8.473409999965043,213.0,0.00027707175740951016,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/add/anonymous-10/RMC/1,1,0,65.87137999997594,65.87137999997594,65.87137999997594,65.87137999997594,207.0,0.00027707175740951016,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,13.23541499999692,13.23541499999692,13.23541499999692,13.23541499999692,124.0,0.00027707175740951016,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-100/EPE/1,1,0,559.6449580000353,559.6449580000353,559.6449580000353,559.6449580000353,207.0,0.00027707175740951016,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/api/cart/add/anonymous-100/RMC/1,1,0,306.5550669999766,306.5550669999766,306.5550669999766,306.5550669999766,108.0,0.00027707175740951016,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/api/cart/add/anonymous-100/Watson/1,2,0,940.0,1127.1715294999751,935.1757069999849,1319.1673519999654,105.0,0.0005541435148190203,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,25357.23298999983,25357.23298999983,25357.23298999983,25357.23298999983,129.0,0.00027707175740951016,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1000/SHCE/1,1,0,37117.243535000394,37117.243535000394,37117.243535000394,37117.243535000394,233.0,0.00027707175740951016,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-1000/UHJ/1,2,0,29929.848358000072,29847.809637500177,29765.77091700028,29929.848358000072,139.5,0.0005541435148190203,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1001/HPTD/1,2,0,43378.16039900008,51375.9852080002,43378.16039900008,59373.81001700032,121.0,0.0005541435148190203,0.0,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
GET,/api/cart/add/anonymous-1001/RED/1,1,0,23765.945217999615,23765.945217999615,23765.945217999615,23765.945217999615,219.0,0.00027707175740951016,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1001/UHJ/1,1,0,56974.625939999896,56974.625939999896,56974.625939999896,56974.625939999896,226.0,0.00027707175740951016,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1002/EPE/1,1,0,22000.689300999966,22000.689300999966,22000.689300999966,22000.689300999966,129.0,0.00027707175740951016,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1002/RED/1,1,0,23754.943164999986,23754.943164999986,23754.943164999986,23754.943164999986,210.0,0.00027707175740951016,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
