Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645849367,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1645849368,10,,Aggregated,0.000000,0.000000,31,45,93,110,110,330,330,330,330,330,330,18,0,17,56.19389438889281,3.993626999999833,331.9159309999691,416.1666666666667
1645849369,20,,Aggregated,0.000000,0.000000,21,28,37,45,110,110,540,540,540,540,540,49,0,21,45.93283497959243,3.993626999999833,543.7183509999954,14492.959183673469
1645849371,30,,Aggregated,0.000000,0.000000,27,37,45,50,72,100,110,330,540,540,540,127,0,27,39.71135491338725,3.993626999999833,543.7183509999954,5924.307086614173
1645849372,40,,Aggregated,16.333333,0.000000,26,35,48,54,77,110,780,1400,2700,2700,2700,172,0,26,69.54975866860586,3.993626999999833,2658.800251999992,23372.78488372093
1645849373,50,,Aggregated,31.750000,0.000000,32,58,80,150,210,880,1800,2700,3400,3400,3400,219,0,32,158.76469326484147,3.993626999999833,3377.1648170000503,94589.43378995433
1645849374,60,,Aggregated,33.800000,0.000000,36,54,77,140,270,550,1700,2700,3400,3400,3400,372,0,35,142.05830441397916,3.961625999977514,3377.1648170000503,73886.5376344086
1645849375,70,,Aggregated,35.833333,0.000000,32,51,77,130,280,560,1700,2700,3400,3400,3400,392,0,32,147.159430140307,3.196420999984184,3377.1648170000503,79741.71683673469
1645849376,80,,Aggregated,50.857143,0.000000,32,54,83,120,270,560,1700,2700,3400,3400,3400,463,0,32,149.52619519870498,3.196420999984184,3377.1648170000503,83452.33477321814
1645849377,90,,Aggregated,47.250000,0.000000,37,61,120,180,320,810,2500,3200,4500,4500,4500,537,0,37,187.07629498882827,3.196420999984184,4517.756679999991,107612.49348230913
1645849378,100,,Aggregated,50.777778,0.000000,39,67,120,170,330,790,2500,3300,4500,4500,4500,638,0,39,188.85241494044016,3.196420999984184,4517.756679999991,119043.66927899687
1645849380,110,,Aggregated,52.000000,0.000000,49,87,140,190,330,950,2500,3300,6600,6600,6600,801,0,49,211.11373551560652,3.196420999984184,6558.860084000003,111806.64419475655
1645849381,120,,Aggregated,63.800000,0.000000,59,100,150,200,390,930,2500,3300,6900,6900,6900,924,0,59,223.89487125216496,3.196420999984184,6915.855101000034,108542.21320346321
1645849382,130,,Aggregated,75.200000,0.000000,67,120,200,280,550,950,2500,3400,6900,8000,8000,1018,0,67,259.05296637622797,3.196420999984184,8006.0924570000225,114249.14636542239
1645849383,140,,Aggregated,78.700000,0.000000,72,150,240,320,590,970,2700,3400,8000,9100,9100,1088,0,71,279.3896251773901,3.196420999984184,9133.598637000034,121055.01470588235
1645849384,150,,Aggregated,80.500000,0.000000,80,190,280,340,610,990,2700,4300,9100,10000,10000,1152,0,80,304.84352949132,3.196420999984184,10130.560352999964,128132.00260416667
1645849385,160,,Aggregated,85.100000,0.000000,90,200,290,360,620,990,2700,4500,10000,11000,11000,1262,0,90,323.402073908875,3.196420999984184,11236.087743999975,129052.17194928684
1645849387,170,,Aggregated,77.000000,0.000000,110,250,330,430,760,1000,2900,4500,11000,12000,12000,1388,0,110.0,363.6319985821325,3.196420999984184,11917.902208999976,127816.18731988473
1645849388,180,,Aggregated,82.900000,0.000000,150,280,390,460,740,1000,2900,5600,11000,12000,12000,1547,0,150.0,387.8260701661277,3.196420999984184,11917.902208999976,119027.30898513252
1645849389,190,,Aggregated,86.800000,0.000000,150,260,340,430,650,970,2600,4500,11000,12000,12000,1806,2,150.0,367.1435088039864,3.196420999984184,11917.902208999976,103803.03045404208
1645849390,200,,Aggregated,89.400000,0.000000,130,220,320,400,630,950,2600,5600,12000,12000,12000,2024,5,130.0,357.5444538033595,3.196420999984184,12378.96656999999,93428.63290513834
1645849391,210,,Aggregated,109.900000,0.200000,120,210,300,380,620,940,2600,6300,12000,13000,13000,2164,7,110.0,348.24889734889103,3.196420999984184,13116.327429000023,87411.51109057301
1645849392,220,,Aggregated,117.700000,0.400000,120,210,320,400,680,1200,2800,6400,12000,14000,14000,2272,9,120.0,372.18303315845094,3.196420999984184,13857.541501000014,89759.42033450704
1645849393,230,,Aggregated,122.500000,0.700000,110,210,320,420,720,1300,3300,6600,14000,15000,15000,2404,13,110.0,399.7970279467552,3.196420999984184,15159.652595999944,89540.77828618968
1645849394,240,,Aggregated,128.200000,0.900000,110,210,320,430,750,1600,3500,6700,15000,16000,16000,2533,16,110.0,427.2647758772207,3.196420999984184,15623.734195999987,89090.4638768259
1645849396,250,,Aggregated,129.300000,1.400000,110,210,320,430,730,1600,3500,6900,15000,16000,16000,2708,19,110.0,428.09324485192013,3.196420999984184,15949.858607999999,86293.10487444609
1645849397,260,,Aggregated,130.600000,1.600000,100,200,310,410,740,1500,3500,7100,15000,16000,16000,2855,21,100,425.81586915691685,3.196420999984184,15949.858607999999,82023.20560420315
1645849398,270,,Aggregated,141.300000,1.800000,96,200,290,390,720,1500,3600,7400,15000,16000,16000,2981,23,96,422.2100362247554,3.196420999984184,15949.858607999999,79908.34216705803
1645849399,280,,Aggregated,143.900000,2.100000,98,200,290,390,720,1600,3800,8000,15000,16000,16000,3059,26,98,435.6278155809075,3.196420999984184,15949.858607999999,81043.72213141549
1645849400,290,,Aggregated,145.300000,2.300000,89,180,270,360,660,1400,3700,7100,15000,16000,16000,3304,28,89,415.0030912832913,3.196420999984184,15949.858607999999,75062.3813559322
1645849401,300,,Aggregated,127.000000,2.300000,89,180,270,360,660,1500,4000,8000,15000,16000,16000,3400,30,89,421.21901031440996,3.196420999984184,16186.57765200004,77336.275
1645849402,310,,Aggregated,122.400000,2.400000,83,170,260,340,650,1400,4100,8000,16000,17000,17000,3588,35,83,421.651102730768,2.489916000001813,17305.833043000006,73302.14130434782
1645849404,320,,Aggregated,124.500000,2.300000,83,170,260,340,650,1500,4500,8300,16000,17000,17000,3629,35,83,438.03060705428373,2.489916000001813,17305.833043000006,79005.62358776522
1645849405,330,,Aggregated,131.000000,2.400000,88,160,260,330,650,1600,5800,8700,17000,19000,19000,3861,40,88,459.09409878192054,2.489916000001813,18979.995223,74408.75420875421
1645849406,340,,Aggregated,121.000000,2.100000,89,160,240,320,630,1400,5700,9000,17000,20000,20000,4153,44,89,451.101013498675,2.489916000001813,20103.30239000001,69201.47941247291
1645849408,350,,Aggregated,117.600000,2.300000,89,160,230,310,620,1400,5800,9100,19000,21000,21000,4343,46,89,452.68376829104227,2.489916000001813,21088.685793000026,66947.78517154041
1645849409,360,,Aggregated,132.600000,2.300000,85,150,220,290,610,1400,6600,9900,19000,22000,22000,4561,49,85,465.6699030795871,2.489916000001813,22104.99147600001,64834.75772856829
1645849410,370,,Aggregated,132.600000,2.300000,81,150,210,290,610,1400,6700,10000,20000,23000,23000,4685,51,81,471.3732648689427,2.489916000001813,22559.768775999997,63367.87278548559
1645849411,380,,Aggregated,150.300000,2.300000,78,140,210,280,600,1400,6900,11000,21000,23000,23000,4891,53,78,475.5861955223866,2.489916000001813,23364.57985200002,61198.71703128194
1645849412,390,,Aggregated,148.300000,2.300000,75,130,200,270,580,1300,6700,11000,21000,24000,24000,5066,54,75,468.2917539800616,2.489916000001813,24222.750900999985,59099.12080536913
