Method,Name,Error,Occurrences
GET,/api/shipping/codes,502 Server Error: Bad Gateway for url: http://20.90.154.41/api/shipping/codes,27
POST,/api/payment/pay/anonymous-754,404 Client Error: NOT FOUND for url: http://20.90.154.41/api/payment/pay/anonymous-754,1
PUT,/api/ratings/api/rate/RMC/1,502 Server Error: Bad Gateway for url: http://20.90.154.41/api/ratings/api/rate/RMC/1,1
GET,/api/shipping/calc/3959882,504 Server Error: Gateway Time-out for url: http://20.90.154.41/api/shipping/calc/3959882,1
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.90.154.41/api/shipping/cities/au,2
GET,/api/cart/add/anonymous-660/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3848885,504 Server Error: Gateway Time-out for url: http://20.90.154.41/api/shipping/calc/3848885,1
POST,/api/payment/pay/anonymous-50,429 Client Error: TOO MANY REQUESTS for url: http://20.90.154.41/api/payment/pay/anonymous-50,1
GET,/api/cart/cart/anonymous-829,404 Client Error: Not Found for url: http://20.90.154.41/api/cart/cart/anonymous-829,1
GET,/api/cart/add/anonymous-659/RMC/1,502 Server Error: Bad Gateway for url: http://20.90.154.41/api/cart/add/anonymous-659/RMC/1,1
GET,/api/cart/add/anonymous-382/RED/1,502 Server Error: Bad Gateway for url: http://20.90.154.41/api/cart/add/anonymous-382/RED/1,2
GET,/api/cart/cart/anonymous-550,502 Server Error: Bad Gateway for url: http://20.90.154.41/api/cart/cart/anonymous-550,2
GET,/api/catalogue/product/Watson,Remote end closed connection without response,12
POST,/api/shipping/confirm/anonymous-496,404 Client Error:  for url: http://20.90.154.41/api/shipping/confirm/anonymous-496,1
GET,/api/cart/cart/anonymous-786,404 Client Error: Not Found for url: http://20.90.154.41/api/cart/cart/anonymous-786,1
POST,/api/payment/pay/anonymous-450,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.154.41/api/payment/pay/anonymous-450,1
GET,/api/cart/cart/anonymous-766,404 Client Error: Not Found for url: http://20.90.154.41/api/cart/cart/anonymous-766,1
GET,/api/cart/cart/anonymous-756,502 Server Error: Bad Gateway for url: http://20.90.154.41/api/cart/cart/anonymous-756,1
GET,/api/cart/add/anonymous-640/UHJ/1,502 Server Error: Bad Gateway for url: http://20.90.154.41/api/cart/add/anonymous-640/UHJ/1,1
GET,/api/shipping/calc/5963585,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-34,429 Client Error: TOO MANY REQUESTS for url: http://20.90.154.41/api/payment/pay/anonymous-34,2
GET,/api/cart/cart/anonymous-522,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-963,404 Client Error: Not Found for url: http://20.90.154.41/api/cart/cart/anonymous-963,1
