Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2591,319,35000.0,126868.04006841868,3.270492000012837,1929067.0226669998,2285.808568120417,0.714037660724633,0.08791123649986798,35000,60000,81000,93000,180000,746000,1618000,1656000,1898000,1929000,1929000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,15.6630600000085,15.6630600000085,15.6630600000085,15.6630600000085,137.0,0.00027558381347920997,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,55.27545699999337,55.27545699999337,55.27545699999337,55.27545699999337,121.0,0.00027558381347920997,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/api/cart/add/anonymous-1/RED/1,1,0,11.840269999993325,11.840269999993325,11.840269999993325,11.840269999993325,221.0,0.00027558381347920997,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-1/RMC/1,1,0,28.945525000040107,28.945525000040107,28.945525000040107,28.945525000040107,199.0,0.00027558381347920997,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,65600.24388700003,65600.24388700003,65600.24388700003,65600.24388700003,111.0,0.00027558381347920997,0.0,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000
GET,/api/cart/add/anonymous-10/EPE/1,1,0,28475.43307299975,28475.43307299975,28475.43307299975,28475.43307299975,129.0,0.00027558381347920997,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-10/RED/1,2,0,41.101197000045886,44.59498650004434,41.101197000045886,48.0887760000428,202.5,0.0005511676269584199,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-10/STAN-1/1,2,0,88.2792720000225,18052.922846500052,88.2792720000225,36017.56642100008,201.0,0.0005511676269584199,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,345.9080330000006,345.9080330000006,345.9080330000006,345.9080330000006,138.0,0.00027558381347920997,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/api/cart/add/anonymous-100/EMM/1,1,0,30.172628000002533,30.172628000002533,30.172628000002533,30.172628000002533,223.0,0.00027558381347920997,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/cart/add/anonymous-100/HPTD/1,2,0,6.274285000017699,27.009285500014357,6.274285000017699,47.744286000011016,121.0,0.0005511676269584199,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-100/RED/1,1,0,80470.93650099987,80470.93650099987,80470.93650099987,80470.93650099987,132.0,0.00027558381347920997,0.0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
GET,/api/cart/add/anonymous-100/RMC/1,1,0,6.9519839999543365,6.9519839999543365,6.9519839999543365,6.9519839999543365,199.0,0.00027558381347920997,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,34528.525078999795,34528.525078999795,34528.525078999795,34528.525078999795,368.0,0.00027558381347920997,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,/api/cart/add/anonymous-1000/HPTD/1,1,0,938.5209880001639,938.5209880001639,938.5209880001639,938.5209880001639,121.0,0.00027558381347920997,0.0,940,940,940,940,940,940,940,940,940,940,940
GET,/api/cart/add/anonymous-1000/Watson/1,1,0,37065.371748999954,37065.371748999954,37065.371748999954,37065.371748999954,193.0,0.00027558381347920997,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,45.25919200000317,45.25919200000317,45.25919200000317,45.25919200000317,215.0,0.00027558381347920997,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-101/EPE/1,1,0,7.6587819999645035,7.6587819999645035,7.6587819999645035,7.6587819999645035,129.0,0.00027558381347920997,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/add/anonymous-101/RMC/1,1,0,42.3609989999818,42.3609989999818,42.3609989999818,42.3609989999818,108.0,0.00027558381347920997,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/api/cart/add/anonymous-101/SHCE/1,3,0,51000.0,35146.557462666824,8.135481000010714,54925.61018000015,157.0,0.0008267514404376299,0.0,51000,51000,55000,55000,55000,55000,55000,55000,55000,55000,55000
