Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2367,62,43000.0,86779.31875588889,15.27409000004809,1690041.2454700004,2518.2636248415715,0.6532981176034051,0.017112160241407316,43000,62000,73000,82000,124000,234000,925000,1544000,1667000,1690000,1690000
GET,/api/cart/add/anonymous-1/EMM/1,2,0,18,174.06104400004097,17.80200500002138,330.32008300006055,213.5,0.0005520051690776552,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/api/cart/add/anonymous-1/RED/1,1,0,24.89564799998334,24.89564799998334,24.89564799998334,24.89564799998334,132.0,0.0002760025845388276,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/cart/add/anonymous-1/Watson/1,1,0,1848.5768629999484,1848.5768629999484,1848.5768629999484,1848.5768629999484,106.0,0.0002760025845388276,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/cart/add/anonymous-10/EMM/1,1,0,1359.533574000011,1359.533574000011,1359.533574000011,1359.533574000011,137.0,0.0002760025845388276,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-10/EPE/1,1,0,19.499614999972437,19.499614999972437,19.499614999972437,19.499614999972437,129.0,0.0002760025845388276,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-10/UHJ/1,2,0,18.438208999896233,190.33287499996732,18.438208999896233,362.2275410000384,217.0,0.0005520051690776552,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/api/cart/add/anonymous-100/EMM/1,1,0,917.0096990000047,917.0096990000047,917.0096990000047,917.0096990000047,137.0,0.0002760025845388276,0.0,920,920,920,920,920,920,920,920,920,920,920
GET,/api/cart/add/anonymous-100/EPE/1,1,0,1713.8999349999722,1713.8999349999722,1713.8999349999722,1713.8999349999722,129.0,0.0002760025845388276,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,740.6644430000142,740.6644430000142,740.6644430000142,740.6644430000142,179.0,0.0002760025845388276,0.0,740,740,740,740,740,740,740,740,740,740,740
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,5514.206972000011,5514.206972000011,5514.206972000011,5514.206972000011,214.0,0.0002760025845388276,0.0,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
GET,/api/cart/add/anonymous-1001/Watson/1,1,1,74585.80781500041,74585.80781500041,74585.80781500041,74585.80781500041,0.0,0.0002760025845388276,0.0002760025845388276,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
GET,/api/cart/add/anonymous-1002/EPE/1,1,1,46226.567379999775,46226.567379999775,46226.567379999775,46226.567379999775,0.0,0.0002760025845388276,0.0002760025845388276,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/api/cart/add/anonymous-1002/HPTD/1,1,0,88878.65164300002,88878.65164300002,88878.65164300002,88878.65164300002,121.0,0.0002760025845388276,0.0,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000
GET,/api/cart/add/anonymous-1003/STAN-1/1,2,0,25170.065109999996,48909.26026550005,25170.065109999996,72648.45542100011,111.0,0.0005520051690776552,0.0,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000
GET,/api/cart/add/anonymous-1004/EMM/1,1,0,46640.24885799972,46640.24885799972,46640.24885799972,46640.24885799972,201.0,0.0002760025845388276,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-1004/STAN-1/1,1,0,38209.273851000034,38209.273851000034,38209.273851000034,38209.273851000034,111.0,0.0002760025845388276,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,/api/cart/add/anonymous-1005/RED/1,1,0,1617.0776419994581,1617.0776419994581,1617.0776419994581,1617.0776419994581,132.0,0.0002760025845388276,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/cart/add/anonymous-1005/STAN-1/1,1,0,78044.98712700023,78044.98712700023,78044.98712700023,78044.98712700023,111.0,0.0002760025845388276,0.0,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
GET,/api/cart/add/anonymous-1006/HPTD/1,1,0,44859.15661300032,44859.15661300032,44859.15661300032,44859.15661300032,213.0,0.0002760025845388276,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
GET,/api/cart/add/anonymous-1006/SHCE/1,1,0,38199.71305399986,38199.71305399986,38199.71305399986,38199.71305399986,124.0,0.0002760025845388276,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
