Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,2
GET,/api/cart/cart/anonymous-977,404 Client Error: Not Found for url: http://20.117.82.90/api/cart/cart/anonymous-977,1
GET,/api/cart/update/anonymous-414/UHJ/2,404 Client Error: Not Found for url: http://20.117.82.90/api/cart/update/anonymous-414/UHJ/2,1
POST,/api/shipping/confirm/anonymous-778,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-778,1
POST,/api/payment/pay/anonymous-331,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-331,1
POST,/api/payment/pay/anonymous-540,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-540,1
GET,/api/cart/update/anonymous-521/STAN-1/2,404 Client Error: Not Found for url: http://20.117.82.90/api/cart/update/anonymous-521/STAN-1/2,1
GET,/api/cart/add/anonymous-1076/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-11,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-11,1
POST,/api/payment/pay/anonymous-339,404 Client Error: NOT FOUND for url: http://20.117.82.90/api/payment/pay/anonymous-339,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,13
GET,/api/shipping/calc/4594652,504 Server Error: Gateway Time-out for url: http://20.117.82.90/api/shipping/calc/4594652,1
GET,/api/cart/add/anonymous-793/Watson/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-391,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-372,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-372,1
POST,/api/shipping/confirm/anonymous-429,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-101,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-101,1
POST,/api/shipping/confirm/anonymous-170,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-627,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-627,1
GET,/api/cart/add/anonymous-985/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-458,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-458,1
GET,/api/cart/add/anonymous-955/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-43,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-43,1
GET,/api/shipping/calc/5819143,504 Server Error: Gateway Time-out for url: http://20.117.82.90/api/shipping/calc/5819143,1
POST,/api/payment/pay/anonymous-691,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-691,1
GET,/api/cart/add/anonymous-886/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-97,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-97,1
POST,/api/payment/pay/anonymous-98,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-98,1
POST,/api/payment/pay/anonymous-652,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-652,1
POST,/api/payment/pay/anonymous-157,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-157,1
POST,/api/shipping/confirm/anonymous-787,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-787,1
GET,/api/cart/update/anonymous-602/UHJ/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4164297,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-1041,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-1041,1
GET,/api/cart/update/anonymous-491/RMC/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-824/HPTD/2,404 Client Error: Not Found for url: http://20.117.82.90/api/cart/update/anonymous-824/HPTD/2,1
POST,/api/payment/pay/anonymous-382,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-382,1
POST,/api/shipping/confirm/anonymous-382,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-382,1
POST,/api/payment/pay/anonymous-778,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-778,1
POST,/api/shipping/confirm/anonymous-594,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-594,1
GET,/api/cart/add/anonymous-747/STAN-1/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-114,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-114,1
POST,/api/shipping/confirm/anonymous-555,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-555,1
POST,/api/shipping/confirm/anonymous-557,404 Client Error:  for url: http://20.117.82.90/api/shipping/confirm/anonymous-557,1
GET,/api/cart/update/anonymous-539/SHCE/2,404 Client Error: Not Found for url: http://20.117.82.90/api/cart/update/anonymous-539/SHCE/2,1
GET,/api/cart/add/anonymous-325/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-723/RED/2,404 Client Error: Not Found for url: http://20.117.82.90/api/cart/update/anonymous-723/RED/2,1
POST,/api/payment/pay/anonymous-417,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.90/api/payment/pay/anonymous-417,1
POST,/api/payment/pay/anonymous-79,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.90/api/payment/pay/anonymous-79,1
