Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645856524,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1645856525,10,,Aggregated,0.000000,0.000000,21,27,36,48,100,160,180,530,530,530,530,72,0,20,42.35939794443766,4.254387000059978,529.2942739999944,15196.125
1645856526,20,,Aggregated,0.000000,0.000000,20,27,40,67,180,260,530,680,800,800,800,157,0,20,66.98092878980334,4.254387000059978,795.9256489999689,45932.71337579618
1645856527,30,,Aggregated,5.000000,0.000000,20,27,39,48,180,310,530,680,1300,1300,1300,216,0,20,68.09498742592376,4.254387000059978,1287.677269000028,52329.63888888889
1645856528,40,,Aggregated,36.500000,0.000000,19,26,34,41,170,310,530,800,1300,1300,1300,263,0,19,65.93973325094755,3.728888000068764,1287.677269000028,43064.37262357414
1645856529,50,,Aggregated,52.333333,0.000000,21,29,35,40,160,290,530,940,2400,2400,2400,358,0,21,70.0092362597747,3.728888000068764,2445.1756959999784,38688.71787709497
1645856530,60,,Aggregated,54.000000,0.000000,20,28,31,37,160,260,530,940,3400,3400,3400,405,0,20,71.75408266172563,3.728888000068764,3409.6337999999378,34251.75061728395
1645856532,70,,Aggregated,52.600000,0.000000,21,28,31,37,93,180,530,940,4400,4400,4400,509,0,21,71.19372138506588,3.728888000068764,4439.308562000065,27344.461689587428
1645856533,80,,Aggregated,59.666667,0.000000,20,27,30,36,59,180,530,1300,5400,5400,5400,599,0,20,72.21250990150045,3.728888000068764,5448.163133999969,23306.21202003339
1645856534,90,,Aggregated,57.857143,0.000000,20,27,30,35,58,170,470,1300,6000,6000,6000,729,0,20,80.1108958367616,3.728888000068764,6026.121066999963,21471.48010973937
1645856535,100,,Aggregated,66.555556,0.000000,20,28,31,38,68,180,590,1300,6000,6000,6000,814,0,20,82.81429679483907,3.728888000068764,6026.121066999963,33805.12162162162
1645856536,110,,Aggregated,72.900000,0.000000,20,28,32,39,120,280,900,2100,6700,6700,6700,825,0,20,103.68307964484755,3.728888000068764,6732.638893000058,59741.42303030303
1645856537,120,,Aggregated,80.800000,0.000000,26,36,42,51,170,510,1600,2100,6700,6700,6700,994,0,26,126.75001847384239,3.728888000068764,6732.638893000058,55374.08953722334
1645856538,130,,Aggregated,74.700000,0.000000,27,37,47,57,170,510,1600,2100,6000,6700,6700,1076,0,27,127.07196746375415,3.728888000068764,6732.638893000058,64130.86152416357
1645856539,140,,Aggregated,68.600000,0.000000,27,38,49,66,220,640,1600,2100,6000,6700,6700,1130,0,27,137.15216657345115,3.728888000068764,6732.638893000058,71755.98053097345
1645856540,150,,Aggregated,82.200000,0.000000,29,39,50,66,190,580,1400,2100,6000,6700,6700,1270,0,29,131.25217161810912,3.728888000068764,6732.638893000058,68676.21417322835
1645856542,160,,Aggregated,77.500000,0.000000,29,39,52,69,240,640,1600,2300,6000,6700,6700,1285,0,29,142.1603459385203,3.728888000068764,6732.638893000058,86559.55953307393
1645856543,170,,Aggregated,86.500000,0.000000,36,51,60,78,290,690,1600,2100,6000,6700,6700,1514,0,36,153.51585488969556,3.728888000068764,6732.638893000058,76223.63342140027
1645856544,180,,Aggregated,77.400000,0.000000,38,56,69,100,290,690,1600,2100,6600,6700,6700,1618,0,38,157.28139146229853,3.728888000068764,6732.638893000058,77795.15636588381
1645856546,190,,Aggregated,78.600000,0.000000,40,59,89,130,360,780,1600,2300,7800,8400,8400,1739,0,40,177.43898077975774,3.728888000068764,8428.23977599994,82133.37032777458
1645856547,200,,Aggregated,83.300000,0.000000,46,69,110,150,480,840,1600,2300,8400,9600,9600,1843,0,46,196.81711348399244,3.728888000068764,9642.750776999947,82685.74389582203
1645856548,210,,Aggregated,83.300000,0.000000,46,73,110,160,500,900,1600,2400,8400,9600,9600,1860,0,46,201.77391905645055,3.728888000068764,9642.750776999947,91747.1747311828
1645856549,220,,Aggregated,94.500000,0.000000,48,85,140,230,690,1200,1700,2800,10000,11000,11000,1938,0,48,251.04472110319824,3.728888000068764,10834.10643100001,92325.43550051599
1645856553,230,,Aggregated,81.400000,0.000000,49,87,150,260,750,1400,2000,3500,11000,11000,11000,1966,0,49,282.91553526805575,3.728888000068764,11356.002090999937,121010.9018311292
1645856554,240,,Aggregated,68.200000,0.000000,51,100,210,370,1000,2000,4400,15000,24000,26000,26000,2052,0,51,584.260012908381,3.728888000068764,25573.13403899991,121372.84502923976
1645856556,250,,Aggregated,43.400000,0.000000,56,110,290,510,1400,3000,14000,23000,28000,29000,29000,2128,1,56,866.3448616358069,3.728888000068764,29391.927478999947,132321.74107142858
1645856557,260,,Aggregated,46.500000,0.100000,57,130,340,610,1700,3700,15000,23000,28000,29000,29000,2168,1,57,964.7361593500908,3.728888000068764,29391.927478999947,136792.676199262
1645856559,270,,Aggregated,37.200000,0.100000,58,150,430,720,2000,3700,15000,23000,28000,29000,29000,2213,1,58,1026.1242834970615,3.728888000068764,29391.927478999947,141758.09850881156
1645856560,280,,Aggregated,34.700000,0.100000,65,250,550,880,2300,3900,15000,23000,28000,29000,29000,2369,4,65,1082.021833931193,3.728888000068764,29391.927478999947,134189.97002954833
1645856561,290,,Aggregated,33.700000,0.100000,68,300,690,1000,2400,4100,15000,22000,28000,29000,29000,2428,6,68,1117.1449786165551,3.728888000068764,29391.927478999947,137357.84802306426
1645856562,300,,Aggregated,42.200000,0.400000,79,400,860,1200,2400,4100,16000,22000,28000,29000,29000,2515,10,79,1158.1180923129198,3.728888000068764,29391.927478999947,137527.1546719682
1645856563,310,,Aggregated,45.600000,0.400000,97,530,900,1200,2400,5700,15000,22000,28000,29000,29000,2683,11,97,1208.3890004017871,3.728888000068764,29391.927478999947,129206.33730898249
1645856564,320,,Aggregated,50.100000,0.800000,140,580,850,1200,2400,5600,15000,22000,28000,29000,29000,2886,13,140.0,1207.0628275301444,3.728888000068764,29391.927478999947,121943.18572418572
1645856566,330,,Aggregated,70.300000,1.200000,150,610,870,1200,2400,5600,15000,22000,29000,38000,38000,2917,13,150.0,1223.4387710332517,3.728888000068764,38471.76864800008,126903.57593417895
1645856567,340,,Aggregated,78.800000,1.200000,160,680,1000,1500,2500,5600,15000,22000,29000,38000,38000,2988,15,160.0,1273.016550137883,3.728888000068764,38471.76864800008,128328.09069611781
1645856568,350,,Aggregated,78.900000,1.200000,210,710,1200,1700,2800,5900,15000,22000,28000,38000,38000,3075,18,210.0,1337.5315836695916,3.728888000068764,38471.76864800008,127879.97463414635
1645856569,360,,Aggregated,84.200000,1.400000,340,790,1400,1700,2700,5900,15000,22000,28000,38000,38000,3256,21,340.0,1388.3344358780696,3.728888000068764,38471.76864800008,122324.88083538084
1645856571,370,,Aggregated,88.100000,1.700000,410,810,1400,1700,2700,5900,15000,22000,28000,38000,38000,3356,22,410.0,1390.1852873834891,3.728888000068764,38471.76864800008,122305.25238379023
1645856573,380,,Aggregated,88.700000,1.700000,420,840,1500,1700,2700,6000,15000,22000,28000,38000,38000,3415,23,420.0,1413.2224497882837,3.728888000068764,38471.76864800008,128822.0093704246
1645856574,390,,Aggregated,92.900000,1.500000,430,870,1500,1800,2900,6000,15000,22000,28000,38000,38000,3445,25,430.0,1456.1920450333787,3.728888000068764,38471.76864800008,130146.57648766327
1645856576,400,,Aggregated,69.300000,1.100000,450,920,1600,1900,3400,6200,17000,23000,28000,38000,38000,3492,29,450.0,1544.6425179120815,3.728888000068764,38471.76864800008,132628.9819587629
1645856578,410,,Aggregated,54.600000,1.200000,450,930,1600,1900,3400,6200,17000,23000,29000,50000,50000,3509,29,450.0,1585.1106169686486,3.728888000068764,49705.384163000075,139769.14306070106
1645856581,420,,Aggregated,53.100000,1.400000,470,980,1700,1900,3800,6600,19000,23000,29000,50000,50000,3533,29,470.0,1635.9626751562382,3.728888000068764,49705.384163000075,152684.41720917067
