Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-124,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-124,1
GET,/api/shipping/calc/5664583,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/calc/5664583,1
POST,/api/payment/pay/anonymous-444,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.80.238/api/payment/pay/anonymous-444,1
GET,/api/cart/cart/anonymous-778,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/cart/anonymous-778,1
GET,/api/shipping/cities/in,500 Server Error:  for url: http://20.117.80.238/api/shipping/cities/in,1
POST,/api/payment/pay/anonymous-100,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-100,1
GET,/api/cart/cart/anonymous-1207,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-78,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-78,1
POST,/api/payment/pay/anonymous-81,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-81,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
POST,/api/payment/pay/anonymous-591,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.80.238/api/payment/pay/anonymous-591,2
GET,/api/cart/update/anonymous-672/STAN-1/2,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/update/anonymous-672/STAN-1/2,1
POST,/api/payment/pay/anonymous-343,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-343,1
GET,/api/cart/cart/anonymous-636,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/cart/anonymous-636,1
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/cities/au,6
POST,/api/shipping/confirm/anonymous-443,404 Client Error:  for url: http://20.117.80.238/api/shipping/confirm/anonymous-443,1
POST,/api/payment/pay/anonymous-125,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-125,1
GET,/api/cart/add/anonymous-1082/Watson/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-44,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-44,1
POST,/api/payment/pay/anonymous-427,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.80.238/api/payment/pay/anonymous-427,1
POST,/api/payment/pay/anonymous-7,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-7,1
GET,/api/shipping/calc/5091016,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-752,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1127/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-61,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-61,1
GET,/api/cart/cart/anonymous-746,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/cart/anonymous-746,1
GET,/api/cart/add/anonymous-829/UHJ/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-383,404 Client Error:  for url: http://20.117.80.238/api/shipping/confirm/anonymous-383,1
POST,/api/shipping/confirm/anonymous-589,404 Client Error:  for url: http://20.117.80.238/api/shipping/confirm/anonymous-589,1
GET,/api/cart/update/anonymous-1343/SHCE/2,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/update/anonymous-1343/SHCE/2,1
GET,/api/cart/update/anonymous-675/UHJ/2,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/update/anonymous-675/UHJ/2,1
POST,/api/shipping/confirm/anonymous-626,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/confirm/anonymous-626,1
GET,/api/shipping/calc/5660076,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/calc/5660076,1
POST,/api/payment/pay/anonymous-806,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-806,1
POST,/api/payment/pay/anonymous-1145,404 Client Error: NOT FOUND for url: http://20.117.80.238/api/payment/pay/anonymous-1145,1
POST,/api/payment/pay/anonymous-33,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-33,1
GET,/api/shipping/calc/3208501,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-595/SHCE/2,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/update/anonymous-595/SHCE/2,1
POST,/api/shipping/confirm/anonymous-591,404 Client Error:  for url: http://20.117.80.238/api/shipping/confirm/anonymous-591,2
POST,/api/payment/pay/anonymous-725,404 Client Error: NOT FOUND for url: http://20.117.80.238/api/payment/pay/anonymous-725,1
GET,/api/shipping/calc/3927122,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/calc/3927122,1
POST,/api/payment/pay/anonymous-76,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-76,1
POST,/api/payment/pay/anonymous-330,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.80.238/api/payment/pay/anonymous-330,1
POST,/api/shipping/confirm/anonymous-140,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/confirm/anonymous-140,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,15
POST,/api/payment/pay/anonymous-327,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.80.238/api/payment/pay/anonymous-327,1
GET,/api/cart/add/anonymous-640/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-93,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-93,1
GET,/api/shipping/calc/3396900,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/calc/3396900,1
GET,/api/cart/add/anonymous-574/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-884,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-25,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-25,1
GET,/api/shipping/calc/3358879,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/calc/3358879,1
GET,/api/cart/cart/anonymous-749,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-427/HPTD/2,404 Client Error: Not Found for url: http://20.117.80.238/api/cart/update/anonymous-427/HPTD/2,1
POST,/api/payment/pay/anonymous-597,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.80.238/api/payment/pay/anonymous-597,1
POST,/api/payment/pay/anonymous-74,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-74,1
GET,/api/cart/cart/anonymous-509,Remote end closed connection without response,1
GET,/api/shipping/calc/5653533,504 Server Error: Gateway Time-out for url: http://20.117.80.238/api/shipping/calc/5653533,1
POST,/api/payment/pay/anonymous-105,429 Client Error: TOO MANY REQUESTS for url: http://20.117.80.238/api/payment/pay/anonymous-105,1
