Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2843,58,31000.0,106130.70730976366,2.6064159999918957,1536871.8170059999,2533.243053112909,0.7855035332522743,0.01602504570124232,31000,50000,69000,82000,334000,440000,1289000,1376000,1517000,1537000,1537000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,26.05191900005366,26.05191900005366,26.05191900005366,26.05191900005366,121.0,0.00027629389140072964,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/cart/add/anonymous-1/RMC/1,1,0,482.0223910000436,482.0223910000436,482.0223910000436,482.0223910000436,108.0,0.00027629389140072964,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,49.77399200004129,49.77399200004129,49.77399200004129,49.77399200004129,190.0,0.00027629389140072964,0.0,50,50,50,50,50,50,50,50,50,50,50
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,12.53730500002348,12.53730500002348,12.53730500002348,12.53730500002348,226.0,0.00027629389140072964,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,296.3350039999568,296.3350039999568,296.3350039999568,296.3350039999568,200.0,0.00027629389140072964,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/api/cart/add/anonymous-10/RED/1,1,0,10.46398699998008,10.46398699998008,10.46398699998008,10.46398699998008,132.0,0.00027629389140072964,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,9.771082000042952,9.771082000042952,9.771082000042952,9.771082000042952,225.0,0.00027629389140072964,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,58.58235499999864,58.58235499999864,58.58235499999864,58.58235499999864,111.0,0.00027629389140072964,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-100/EPE/1,1,0,2142.3678770000265,2142.3678770000265,2142.3678770000265,2142.3678770000265,220.0,0.00027629389140072964,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,1457.3636250000277,1457.3636250000277,1457.3636250000277,1457.3636250000277,121.0,0.00027629389140072964,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
