Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-187,403 Client Error: FORBIDDEN for url: http://20.117.82.132/api/payment/pay/anonymous-187,2
GET,/api/cart/update/anonymous-316/HPTD/2,404 Client Error: Not Found for url: http://20.117.82.132/api/cart/update/anonymous-316/HPTD/2,1
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-558,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.132/api/payment/pay/anonymous-558,1
GET,/api/cart/update/anonymous-604/RMC/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-435,403 Client Error: FORBIDDEN for url: http://20.117.82.132/api/payment/pay/anonymous-435,1
POST,/api/payment/pay/anonymous-798,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.82.132/api/payment/pay/anonymous-798,1
GET,/api/cart/update/anonymous-509/STAN-1/2,404 Client Error: Not Found for url: http://20.117.82.132/api/cart/update/anonymous-509/STAN-1/2,1
POST,/api/payment/pay/anonymous-239,403 Client Error: FORBIDDEN for url: http://20.117.82.132/api/payment/pay/anonymous-239,1
GET,/api/shipping/calc/3302075,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-7,429 Client Error: TOO MANY REQUESTS for url: http://20.117.82.132/api/payment/pay/anonymous-7,1
POST,/api/payment/pay/anonymous-149,403 Client Error: FORBIDDEN for url: http://20.117.82.132/api/payment/pay/anonymous-149,2
POST,/api/shipping/confirm/anonymous-672,404 Client Error:  for url: http://20.117.82.132/api/shipping/confirm/anonymous-672,1
POST,/api/payment/pay/anonymous-162,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-160,403 Client Error: FORBIDDEN for url: http://20.117.82.132/api/payment/pay/anonymous-160,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,7
GET,/api/cart/update/anonymous-522/RED/2,404 Client Error: Not Found for url: http://20.117.82.132/api/cart/update/anonymous-522/RED/2,1
POST,/api/shipping/confirm/anonymous-351,404 Client Error:  for url: http://20.117.82.132/api/shipping/confirm/anonymous-351,1
GET,/api/cart/cart/anonymous-327,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-260,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-277/RED/2,404 Client Error: Not Found for url: http://20.117.82.132/api/cart/update/anonymous-277/RED/2,1
