Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2284,59,39000.0,97555.215996313,4.63083900001493,1809285.9396510003,2519.1987740805603,0.6266435046169266,0.016187375994920608,39000,55000,68000,81000,114000,271000,1527000,1678000,1769000,1809000,1809000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,1574.1488119999758,1574.1488119999758,1574.1488119999758,1574.1488119999758,200.0,0.00027436230499865437,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,27.74573599992891,27.74573599992891,27.74573599992891,27.74573599992891,121.0,0.00027436230499865437,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,25.70631899993714,25.70631899993714,25.70631899993714,25.70631899993714,226.0,0.00027436230499865437,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/cart/add/anonymous-1/Watson/1,1,0,1443.559184000037,1443.559184000037,1443.559184000037,1443.559184000037,106.0,0.00027436230499865437,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-10/RED/1,2,0,10.268687000007048,11.90205049999804,10.268687000007048,13.535413999989032,133.0,0.0005487246099973087,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-10/STAN-1/1,2,0,153.54511800001092,185.00056500005257,153.54511800001092,216.45601200009423,111.5,0.0005487246099973087,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/cart/add/anonymous-100/EMM/1,1,0,2007.0231760000752,2007.0231760000752,2007.0231760000752,2007.0231760000752,137.0,0.00027436230499865437,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/cart/add/anonymous-100/HPTD/1,2,0,4116.011886000024,5134.851647999994,4116.011886000024,6153.691409999965,218.0,0.0005487246099973087,0.0,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,2355.803129000037,2355.803129000037,2355.803129000037,2355.803129000037,124.0,0.00027436230499865437,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/cart/add/anonymous-1004/EPE/1,1,0,21998.763442999916,21998.763442999916,21998.763442999916,21998.763442999916,129.0,0.00027436230499865437,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1004/SHCE/1,1,0,19770.140190999882,19770.140190999882,19770.140190999882,19770.140190999882,222.0,0.00027436230499865437,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,49898.39935999998,49898.39935999998,49898.39935999998,49898.39935999998,193.0,0.00027436230499865437,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,24678.84938499992,24678.84938499992,24678.84938499992,24678.84938499992,106.0,0.00027436230499865437,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1006/EMM/1,1,0,40087.67430499983,40087.67430499983,40087.67430499983,40087.67430499983,215.0,0.00027436230499865437,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/cart/add/anonymous-1006/RMC/1,1,0,21999.959855999805,21999.959855999805,21999.959855999805,21999.959855999805,108.0,0.00027436230499865437,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1008/RMC/1,1,0,23910.1965079999,23910.1965079999,23910.1965079999,23910.1965079999,108.0,0.00027436230499865437,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
