Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645856517,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1645856518,10,,Aggregated,0.000000,0.000000,17,31,35,51,93,160,170,170,170,170,170,58,0,17,35.8507795000025,4.887585999995281,171.30414000007477,490.5689655172414
1645856519,20,,Aggregated,0.000000,0.000000,21,31,39,49,120,160,180,670,830,830,830,147,0,21,48.70050946938275,4.887585999995281,827.2022800000514,28989.836734693876
1645856520,30,,Aggregated,0.000000,0.000000,21,30,39,48,110,160,670,830,890,890,890,181,0,21,52.249076447510205,4.4826880000528035,893.7806060000639,23615.43093922652
1645856521,40,,Aggregated,44.500000,0.000000,22,34,49,83,180,830,1600,1900,2300,2300,2300,219,0,22,120.92853484017941,4.4826880000528035,2259.4079589999865,87312.79452054795
1645856522,50,,Aggregated,60.333333,0.000000,29,44,70,120,360,720,1700,2300,2500,2500,2500,292,0,29,144.32121254451835,4.4826880000528035,2506.1310009999715,98334.32534246576
1645856524,60,,Aggregated,50.750000,0.000000,30,50,83,120,370,830,1900,2300,4900,4900,4900,300,0,30,159.13267002666362,4.4826880000528035,4884.39494499994,185597.49333333335
1645856525,70,,Aggregated,44.200000,0.000000,30,53,92,150,450,1500,2300,2500,6300,6300,6300,308,0,30,217.2821468733727,4.4826880000528035,6346.813157999918,268337.8896103896
1645856527,80,,Aggregated,42.857143,0.000000,60,92,170,270,1200,2100,3000,3700,6300,6300,6300,456,0,59,332.13632002850466,4.4826880000528035,6346.813157999918,209805.2697368421
1645856529,90,,Aggregated,37.555556,0.000000,70,140,280,390,940,2100,3000,4200,6300,6300,6300,506,0,70,388.5126467845808,4.4826880000528035,6346.813157999918,264506.5158102767
1645856530,100,,Aggregated,43.900000,0.000000,97,190,410,620,1700,2300,3000,4600,8000,8000,8000,651,0,97,484.9894545744972,4.4826880000528035,7973.614095000016,220868.67588325654
1645856531,110,,Aggregated,41.700000,0.000000,110,250,370,580,1500,2100,3000,4600,8000,8000,8000,755,0,110.0,465.21419931522894,4.4826880000528035,7973.614095000016,204529.6847682119
1645856532,120,,Aggregated,33.700000,0.000000,130,260,460,580,1400,2000,3000,4600,8000,8000,8000,861,0,130.0,464.79889888849954,4.4826880000528035,7973.614095000016,194207.89779326363
1645856534,130,,Aggregated,48.000000,0.000000,140,310,530,740,1500,2000,3000,4900,8000,8000,8000,899,0,140.0,500.383031062289,4.4826880000528035,7973.614095000016,207807.76640711902
