Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-1206,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/fi,9
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/in,8
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1218/RED/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4169069,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/4169069,1
GET,/api/cart/cart/anonymous-1401,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1144/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,3
GET,/api/cart/add/anonymous-1433/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1401/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4176873,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/4176873,1
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,9
GET,/api/catalogue/product/EMM,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1394/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3769708,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/3769708,1
GET,/api/cart/add/anonymous-1491/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/,Remote end closed connection without response,29
GET,/api/cart/add/anonymous-1162/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/user/uniqueid,[Errno 104] Connection reset by peer,5
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/cart/add/anonymous-1415/RED/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4560691,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/4560691,1
GET,/api/cart/add/anonymous-1457/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1008/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1508/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-854/EPE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1121,Remote end closed connection without response,1
GET,/api/shipping/calc/4394759,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/4394759,1
PUT,/api/ratings/api/rate/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/pt,14
GET,/api/cart/add/anonymous-1458/RMC/1,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/RMC/3,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1304/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5076202,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/5076202,1
GET,/api/user/uniqueid,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-1461/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/br,11
GET,/api/cart/add/anonymous-1022/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1532/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1255/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1032/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/jp,12
GET,/api/cart/cart/anonymous-881,[Errno 104] Connection reset by peer,1
GET,/api/shipping/calc/3796347,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/3796347,1
GET,/api/cart/add/anonymous-1337/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1423/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1466/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/de,12
GET,/api/cart/cart/anonymous-1114,Remote end closed connection without response,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/cz,16
GET,/api/cart/add/anonymous-1436/HPTD/1,Remote end closed connection without response,1
POST,/api/user/login,[Errno 104] Connection reset by peer,3
GET,/api/cart/cart/anonymous-1067,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/UHJ,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-513,Remote end closed connection without response,1
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/gb,17
PUT,/api/ratings/api/rate/Watson/3,Remote end closed connection without response,1
GET,/api/shipping/calc/3753687,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/3753687,1
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/dk,9
GET,/api/cart/add/anonymous-536/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1469,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1100/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/bg,10
POST,/api/shipping/confirm/anonymous-3,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/confirm/anonymous-3,1
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/fr,14
GET,/api/cart/update/anonymous-999/RMC/2,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RED,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1448/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-887/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4584269,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/4584269,1
GET,/api/cart/add/anonymous-1038/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1463/RMC/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1293/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3189444,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/3189444,1
GET,/api/cart/add/anonymous-1550/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-887/RMC/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1170/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1181,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1213/RED/2,Remote end closed connection without response,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/nl,14
GET,/api/cart/cart/anonymous-1414,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1389/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4570134,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/4570134,1
GET,/api/cart/update/anonymous-1164/RED/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/SHCE/4,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/RMC,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-506/EPE/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/UHJ/3,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/RED,Remote end closed connection without response,1
GET,/api/catalogue/product/UHJ,Remote end closed connection without response,3
GET,/api/cart/update/anonymous-1276/RMC/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1287,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/us,13
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/hu,11
GET,/api/catalogue/products,[Errno 104] Connection reset by peer,2
GET,/api/cart/add/anonymous-1458/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/no,9
PUT,/api/ratings/api/rate/RMC/5,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1172,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/au,9
GET,/api/cart/cart/anonymous-1270,[Errno 104] Connection reset by peer,1
POST,/api/user/login,Remote end closed connection without response,32
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/es,7
GET,/api/cart/update/anonymous-1142/RMC/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1250/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3186127,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/3186127,1
GET,/api/ratings/api/fetch/RMC,Remote end closed connection without response,1
GET,/api/catalogue/product/RMC,[Errno 104] Connection reset by peer,2
GET,/api/ratings/api/fetch/EPE,[Errno 104] Connection reset by peer,2
GET,/api/cart/cart/anonymous-852,Remote end closed connection without response,1
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/ch,7
GET,/api/cart/cart/anonymous-1234,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1046,Remote end closed connection without response,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/ru,15
GET,/api/cart/update/anonymous-961/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5662456,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/calc/5662456,1
GET,/api/cart/add/anonymous-976/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1446,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1431,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/STAN-1,Remote end closed connection without response,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/cities/it,5
GET,/api/cart/update/anonymous-917/EMM/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-2,504 Server Error: Gateway Time-out for url: http://20.108.52.56/api/shipping/confirm/anonymous-2,1
GET,/api/cart/cart/anonymous-1129,[Errno 104] Connection reset by peer,1
