Method,Name,Error,Occurrences
GET,/api/cart/update/anonymous-1229/EPE/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-664/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/shipping/calc/4168057,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/calc/4168057,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/cities/de,3
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/cities/se,7
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/cities/tr,10
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1162/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-751/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/cities/dk,11
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/cities/jp,14
GET,/api/cart/add/anonymous-836/RMC/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-753/EPE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-712/SHCE/2,Remote end closed connection without response,1
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,18
GET,/api/cart/add/anonymous-735/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-816/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5373250,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/calc/5373250,1
PUT,/api/ratings/api/rate/EMM/5,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-709/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.117.95.73/api/shipping/cities/ca,4
GET,/api/cart/update/anonymous-1152/EPE/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1311/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-836/RED/2,Remote end closed connection without response,1
