Method,Name,Error,Occurrences
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/cities/es,8
GET,/api/cart/update/anonymous-1163/UHJ/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1427/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-971/RED/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-753/EPE/2,Remote end closed connection without response,1
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,26
GET,/api/cart/update/anonymous-1141/EPE/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1254/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1037,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EMM/5,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1124/HPTD/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1199/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1424/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-819/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1224/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1189/HPTD/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1133/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1520/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1367,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-984/EPE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,3
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,67
GET,/api/catalogue/product/SHCE,[Errno 104] Connection reset by peer,3
GET,/api/catalogue/product/EMM,[Errno 104] Connection reset by peer,2
GET,/api/cart/cart/anonymous-663,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,[Errno 104] Connection reset by peer,8
GET,/api/cart/add/anonymous-1502/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1286/SHCE/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1132/EMM/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1058/Watson/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1077/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1281/EPE/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/STAN-1/4,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/cities/tr,5
GET,/,Remote end closed connection without response,18
GET,/api/cart/update/anonymous-1200/SHCE/2,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/cities/gb,6
GET,/api/cart/add/anonymous-1617/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/user/uniqueid,[Errno 104] Connection reset by peer,16
GET,/api/cart/cart/anonymous-989,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1329/RED/1,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/RED/5,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-726/EPE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1154/UHJ/2,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,2
GET,/api/cart/update/anonymous-1175/SHCE/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-977/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-709/RED/2,Remote end closed connection without response,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/cities/de,8
GET,/api/shipping/calc/5354578,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/calc/5354578,1
GET,/api/cart/update/anonymous-1265/STAN-1/2,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/Watson/1,Remote end closed connection without response,2
GET,/api/cart/update/anonymous-1191/STAN-1/2,[Errno 104] Connection reset by peer,1
POST,/api/shipping/confirm/anonymous-10,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/confirm/anonymous-10,1
GET,/api/cart/update/anonymous-714/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-861,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1343/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/cities/us,13
GET,/api/cart/add/anonymous-961/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/cities/fi,4
GET,/api/cart/update/anonymous-1213/HPTD/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-891,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1151/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1312/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1054,Remote end closed connection without response,1
GET,/api/shipping/calc/5088136,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/calc/5088136,1
GET,/api/cart/update/anonymous-975/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1434/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5370416,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/calc/5370416,1
GET,/api/shipping/calc/3952257,504 Server Error: Gateway Time-out for url: http://20.117.81.21/api/shipping/calc/3952257,1
GET,/api/cart/add/anonymous-1069/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1295/EMM/2,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,55
