Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643307106,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643307107,10,,Aggregated,0.000000,0.000000,45,65,78,80,97,160,160,160,160,160,160,56,0,41,56.26540651786627,9.483037000109107,162.3000370000227,435.9107142857143
1643307108,20,,Aggregated,0.000000,0.000000,52,67,80,84,160,160,1200,1200,1200,1200,1200,90,0,45,104.29617135555924,9.483037000109107,1228.3560179998858,476.75555555555553
1643307109,30,,Aggregated,0.000000,0.000000,45,65,80,94,150,160,1100,1200,1200,1200,1200,144,0,45,87.81605761805464,9.483037000109107,1228.3560179998858,468.74305555555554
1643307110,40,,Aggregated,45.000000,0.000000,49,73,96,110,160,230,1100,1200,1200,1200,1200,199,0,49,99.06864618593303,8.98543499988591,1228.3560179998858,479.62311557788945
1643307111,50,,Aggregated,48.000000,0.000000,52,70,96,110,160,230,920,1100,1200,1200,1200,252,0,51,96.73181169048063,8.98543499988591,1228.3560179998858,483.00396825396825
1643307112,60,,Aggregated,48.000000,0.000000,47,66,86,100,150,190,820,1100,1200,1200,1200,309,0,47,88.02648887378777,8.98543499988591,1228.3560179998858,473.62459546925567
1643307113,70,,Aggregated,49.400000,0.000000,45,65,84,97,140,170,690,1100,1200,1200,1200,367,0,45,81.87406703542696,7.3505840000507305,1228.3560179998858,478.6158038147139
1643307114,80,,Aggregated,51.000000,0.000000,51,73,93,110,150,180,600,1000,1200,1200,1200,448,0,51,83.93062807366341,7.3505840000507305,1228.3560179998858,482.66517857142856
1643307115,90,,Aggregated,51.142857,0.000000,54,75,98,110,160,200,470,920,1200,1200,1200,539,0,54,86.97852756215259,7.3505840000507305,1228.3560179998858,470.9165120593692
1643307116,100,,Aggregated,55.125000,0.000000,56,79,100,120,160,230,470,820,1200,1200,1200,643,0,56,88.25589663763562,6.180768999911379,1228.3560179998858,496.50388802488334
1643307117,110,,Aggregated,58.222222,0.000000,59,88,110,130,190,300,460,690,1200,1200,1200,750,0,58,95.43957643999937,6.180768999911379,1228.3560179998858,472.616
1643307118,120,,Aggregated,63.000000,0.000000,61,91,120,130,190,280,440,600,1200,1200,1200,826,0,61,96.8873751997588,6.180768999911379,1228.3560179998858,468.86682808716705
