Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1017/Watson/1,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/cities/jp,3
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,9
GET,/api/cart/cart/anonymous-867,Remote end closed connection without response,1
GET,/api/shipping/calc/5355857,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/calc/5355857,1
GET,/api/shipping/calc/5082790,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/calc/5082790,1
GET,/api/cart/add/anonymous-1512/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-909/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1372/RMC/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1206/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1450,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,3
PUT,/api/ratings/api/rate/HPTD/5,Remote end closed connection without response,1
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,4
GET,/api/catalogue/product/SHCE,[Errno 104] Connection reset by peer,3
GET,/api/cart/add/anonymous-1291/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/EMM,[Errno 104] Connection reset by peer,2
GET,/api/ratings/api/fetch/UHJ,[Errno 104] Connection reset by peer,5
GET,/api/cart/update/anonymous-1309/EMM/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1207/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1186,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-708/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/,Remote end closed connection without response,34
GET,/api/cart/add/anonymous-1230/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1572/RMC/1,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/SHCE/3,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RMC/3,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/shipping/calc/3401059,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/calc/3401059,1
GET,/api/cart/add/anonymous-852/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-669/EPE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-859,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1380/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1400/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1563/Watson/1,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/Watson/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1520/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-558,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-880/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-903/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1382/EMM/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1140/HPTD/2,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/cities/bg,6
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/cities/dk,7
GET,/api/cart/update/anonymous-1369/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1081/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1467/RED/1,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/EPE/1,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/cz,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,18
GET,/api/cart/update/anonymous-989/RED/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1595/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1395/RMC/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1263/RED/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1361/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,4
GET,/api/shipping/calc/3203551,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/calc/3203551,1
PUT,/api/ratings/api/rate/UHJ/2,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/cities/de,3
GET,/api/cart/add/anonymous-1518/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1598/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1174/Watson/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1541/RED/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1419/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/bg,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-660/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1579/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1387/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1566/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.117.165.229/api/shipping/cities/nl,10
GET,/api/cart/add/anonymous-844/HPTD/1,Remote end closed connection without response,1
