Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1808,40,23000.0,75497.19921347947,3.258920999996917,983019.8441399998,2528.787610619469,0.9883119762629673,0.021865309209357683,23000,58000,93000,133000,216000,263000,320000,935000,983000,983000,983000
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,53.00506700001506,53.00506700001506,53.00506700001506,53.00506700001506,124.0,0.000546632730233942,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,38.927769999986594,38.927769999986594,38.927769999986594,38.927769999986594,203.0,0.000546632730233942,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-10/RMC/1,1,0,61.06621899999709,61.06621899999709,61.06621899999709,61.06621899999709,108.0,0.000546632730233942,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,25.745876999963002,25.745876999963002,25.745876999963002,25.745876999963002,216.0,0.000546632730233942,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/cart/add/anonymous-100/HPTD/1,2,0,18.160319000003255,25.03521349999005,18.160319000003255,31.910107999976844,121.0,0.001093265460467884,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/cart/add/anonymous-1000/RMC/1,2,0,36000.0,41818.57855550004,35584.761742000184,48052.395368999896,108.5,0.001093265460467884,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,/api/cart/add/anonymous-1001/EMM/1,1,0,51743.01846000003,51743.01846000003,51743.01846000003,51743.01846000003,201.0,0.000546632730233942,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,50214.413848999924,50214.413848999924,50214.413848999924,50214.413848999924,111.0,0.000546632730233942,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1002/RED/1,2,0,68401.7853429998,85378.91411099986,68401.7853429998,102356.04287899991,133.0,0.001093265460467884,0.0,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000
GET,/api/cart/add/anonymous-1003/RMC/1,1,0,27297.4121740001,27297.4121740001,27297.4121740001,27297.4121740001,216.0,0.000546632730233942,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1003/UHJ/1,1,0,68459.85763000022,68459.85763000022,68459.85763000022,68459.85763000022,138.0,0.000546632730233942,0.0,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000
GET,/api/cart/add/anonymous-1004/RED/1,1,0,27271.179167000126,27271.179167000126,27271.179167000126,27271.179167000126,210.0,0.000546632730233942,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1004/RMC/1,1,0,68914.1954669999,68914.1954669999,68914.1954669999,68914.1954669999,108.0,0.000546632730233942,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,68981.82565599996,68981.82565599996,68981.82565599996,68981.82565599996,106.0,0.000546632730233942,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1006/SHCE/1,1,0,53636.137504000086,53636.137504000086,53636.137504000086,53636.137504000086,124.0,0.000546632730233942,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1006/STAN-1/1,1,0,24373.29227400005,24373.29227400005,24373.29227400005,24373.29227400005,203.0,0.000546632730233942,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1007/STAN-1/1,2,0,31000.0,42078.18517300006,30586.10363699995,53570.26670900018,111.5,0.001093265460467884,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1008/SHCE/1,1,0,49436.344303000165,49436.344303000165,49436.344303000165,49436.344303000165,203.0,0.000546632730233942,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1008/STAN-1/1,1,0,68345.5060629999,68345.5060629999,68345.5060629999,68345.5060629999,111.0,0.000546632730233942,0.0,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000
GET,/api/cart/add/anonymous-1009/Watson/1,2,0,51000.0,308962.66194599995,50729.81724199985,567195.50665,105.0,0.001093265460467884,0.0,567000,567000,567000,567000,567000,567000,567000,567000,567000,567000,567000
GET,/api/cart/add/anonymous-101/RMC/1,1,0,53.37194800000589,53.37194800000589,53.37194800000589,53.37194800000589,184.0,0.000546632730233942,0.0,53,53,53,53,53,53,53,53,53,53,53
