Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1565,2,19000.0,128591.16086488475,3.501702999983536,919867.5503080003,2582.6952076677317,0.8590367306820706,0.0010978105184435408,19000,58000,165000,385000,455000,523000,563000,792000,920000,920000,920000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,58.29345600000124,58.29345600000124,58.29345600000124,58.29345600000124,121.0,0.0005489052592217704,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,31.931130999964807,31.931130999964807,31.931130999964807,31.931130999964807,200.0,0.0005489052592217704,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/cart/add/anonymous-10/UHJ/1,2,0,66.13566400000082,71.0560684999848,66.13566400000082,75.97647299996879,139.5,0.0010978105184435408,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,70.20166899997093,70.20166899997093,70.20166899997093,70.20166899997093,121.0,0.0005489052592217704,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/api/cart/add/anonymous-100/RED/1,1,0,60.251859000004515,60.251859000004515,60.251859000004515,60.251859000004515,219.0,0.0005489052592217704,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/cart/add/anonymous-1000/EMM/1,1,0,145186.27412299998,145186.27412299998,145186.27412299998,145186.27412299998,137.0,0.0005489052592217704,0.0,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000
GET,/api/cart/add/anonymous-1001/SHCE/1,2,0,57000.0,288053.1688580001,56727.28787200003,519379.0498440001,124.5,0.0010978105184435408,0.0,519000,519000,519000,519000,519000,519000,519000,519000,519000,519000,519000
GET,/api/cart/add/anonymous-1002/STAN-1/1,1,0,145079.57147000002,145079.57147000002,145079.57147000002,145079.57147000002,111.0,0.0005489052592217704,0.0,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000
GET,/api/cart/add/anonymous-1003/Watson/1,1,0,145166.52840799998,145166.52840799998,145166.52840799998,145166.52840799998,106.0,0.0005489052592217704,0.0,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000
GET,/api/cart/add/anonymous-1004/Watson/1,1,0,76009.7805790001,76009.7805790001,76009.7805790001,76009.7805790001,106.0,0.0005489052592217704,0.0,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,54785.32188100007,54785.32188100007,54785.32188100007,54785.32188100007,106.0,0.0005489052592217704,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-1006/RMC/1,1,0,76018.15483199994,76018.15483199994,76018.15483199994,76018.15483199994,108.0,0.0005489052592217704,0.0,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000
GET,/api/cart/add/anonymous-1007/SHCE/1,1,0,32949.27210200012,32949.27210200012,32949.27210200012,32949.27210200012,124.0,0.0005489052592217704,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
