Method,Name,Error,Occurrences
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/es,9
GET,/api/shipping/calc/5873363,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5873363,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
GET,/api/cart/add/anonymous-1198/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3189936,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3189936,1
GET,/api/shipping/calc/4038282,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4038282,1
GET,/api/cart/add/anonymous-1484/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/tr,7
GET,/api/shipping/calc/3843466,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3843466,1
POST,/api/shipping/confirm/anonymous-649,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/confirm/anonymous-649,1
GET,/api/shipping/calc/3437131,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3437131,1
GET,/api/shipping/calc/5090815,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5090815,1
GET,/api/shipping/calc/3399370,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3399370,1
GET,/api/shipping/calc/4038843,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4038843,1
GET,/api/shipping/calc/3956920,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3956920,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,1
GET,/api/shipping/calc/4171384,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4171384,1
GET,/api/shipping/calc/4052938,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1249/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/gb,6
GET,/api/cart/add/anonymous-1355/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3850670,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3850670,1
GET,/,Remote end closed connection without response,16
GET,/api/shipping/calc/5347791,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5347791,1
GET,/api/cart/add/anonymous-1618/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3822903,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3822903,1
GET,/api/shipping/calc/5083260,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5083260,1
GET,/api/cart/cart/anonymous-1454,Remote end closed connection without response,1
GET,/api/shipping/calc/5086517,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5086517,1
GET,/api/cart/add/anonymous-1009/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-830,Remote end closed connection without response,1
GET,/api/shipping/calc/4043698,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4043698,1
GET,/api/shipping/calc/4174342,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4174342,1
GET,/api/shipping/calc/3336137,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3336137,1
GET,/api/cart/add/anonymous-978/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5356991,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5356991,1
GET,/api/shipping/calc/5883993,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5883993,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/nl,5
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/dk,9
PUT,/api/ratings/api/rate/RED/5,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,14
GET,/api/shipping/calc/3202066,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3202066,1
GET,/api/cart/add/anonymous-1347/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/bg,12
PUT,/api/ratings/api/rate/Watson/4,Remote end closed connection without response,1
GET,/api/shipping/calc/4379568,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4379568,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-502,Remote end closed connection without response,1
GET,/api/shipping/calc/5095695,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5095695,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/codes,593
GET,/api/shipping/calc/4023474,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4023474,1
GET,/api/shipping/cities/au,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1130,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-961,Remote end closed connection without response,1
GET,/api/shipping/calc/3396924,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3396924,1
GET,/api/catalogue/product/EPE,Remote end closed connection without response,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/br,9
GET,/api/shipping/calc/3203208,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3203208,1
GET,/api/shipping/calc/3991926,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3991926,1
GET,/api/shipping/calc/4382940,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4382940,1
GET,/api/cart/add/anonymous-1252/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/cities/it,Remote end closed connection without response,1
GET,/api/shipping/calc/5356999,Remote end closed connection without response,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/us,14
POST,/api/shipping/confirm/anonymous-20,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/confirm/anonymous-20,1
GET,/api/shipping/calc/3400084,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3400084,1
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/ch,8
GET,/api/cart/update/anonymous-910/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/hu,8
GET,/api/cart/add/anonymous-1520/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3764086,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3764086,1
GET,/api/shipping/calc/4045011,Remote end closed connection without response,1
GET,/api/shipping/calc/5859146,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5859146,1
GET,/api/shipping/calc/4003532,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/4003532,1
GET,/api/shipping/cities/br,Remote end closed connection without response,1
GET,/api/shipping/calc/5350357,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5350357,1
GET,/api/shipping/cities/ro,Remote end closed connection without response,1
GET,/api/shipping/calc/5822612,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/5822612,1
GET,/api/shipping/calc/3848708,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3848708,1
GET,/api/catalogue/categories,Remote end closed connection without response,12
POST,/api/shipping/confirm/anonymous-668,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/confirm/anonymous-668,1
POST,/api/shipping/confirm/anonymous-732,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/confirm/anonymous-732,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/ru,13
GET,/api/shipping/calc/3795494,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3795494,1
GET,/api/shipping/calc/3187874,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3187874,1
GET,/api/cart/cart/anonymous-1510,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RED,Remote end closed connection without response,2
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/cities/in,12
GET,/api/catalogue/product/UHJ,Remote end closed connection without response,3
GET,/api/cart/add/anonymous-1172/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-870/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3829192,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3829192,1
GET,/api/shipping/calc/3955396,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3955396,1
GET,/api/cart/add/anonymous-1349/RED/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3850144,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3850144,1
GET,/api/shipping/calc/3209185,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/calc/3209185,1
POST,/api/shipping/confirm/anonymous-19,504 Server Error: Gateway Time-out for url: http://20.117.70.196/api/shipping/confirm/anonymous-19,1
