Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1723,16,21000.0,79074.77529669534,3.6812060000102065,918606.4353949998,2561.9860708067326,0.941584640372311,0.00874367628900579,21000,43000,95000,144000,228000,375000,693000,743000,919000,919000,919000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,14.956841000071108,14.956841000071108,14.956841000071108,14.956841000071108,207.0,0.0005464797680628619,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-1/RMC/1,1,0,45.10222300007172,45.10222300007172,45.10222300007172,45.10222300007172,108.0,0.0005464797680628619,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-10/UHJ/1,2,0,36,40.42720600006078,35.99739400010549,44.85701800001607,139.5,0.0010929595361257238,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,82.18157200008136,82.18157200008136,82.18157200008136,82.18157200008136,121.0,0.0005464797680628619,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/api/cart/add/anonymous-100/Watson/1,1,0,76.61856000004263,76.61856000004263,76.61856000004263,76.61856000004263,193.0,0.0005464797680628619,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/api/cart/add/anonymous-1000/EMM/1,1,0,430221.1636980001,430221.1636980001,430221.1636980001,430221.1636980001,137.0,0.0005464797680628619,0.0,430000,430000,430000,430000,430000,430000,430000,430000,430000,430000,430000
GET,/api/cart/add/anonymous-1001/Watson/1,1,0,201352.8887089999,201352.8887089999,201352.8887089999,201352.8887089999,106.0,0.0005464797680628619,0.0,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000
GET,/api/cart/add/anonymous-1002/EPE/1,1,0,53913.317572000095,53913.317572000095,53913.317572000095,53913.317572000095,220.0,0.0005464797680628619,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1002/UHJ/1,1,0,101142.11218600007,101142.11218600007,101142.11218600007,101142.11218600007,138.0,0.0005464797680628619,0.0,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
GET,/api/cart/add/anonymous-1003/HPTD/1,2,0,27000.0,63748.76668950003,26809.893357999954,100687.6400210001,121.0,0.0010929595361257238,0.0,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
GET,/api/cart/add/anonymous-1004/UHJ/1,1,0,34703.96050900013,34703.96050900013,34703.96050900013,34703.96050900013,138.0,0.0005464797680628619,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
