Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1718,1,17000.0,78225.22951587662,3.5632320000331674,974805.442038,2584.4947613504073,0.9410414144899449,0.0005477540247322148,17000,64000,122000,158000,232000,288000,492000,666000,970000,975000,975000
GET,/api/cart/add/anonymous-1/RMC/1,1,0,23.947105999980067,23.947105999980067,23.947105999980067,23.947105999980067,216.0,0.0005477540247322148,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,51.25454000000218,51.25454000000218,51.25454000000218,51.25454000000218,138.0,0.0005477540247322148,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/api/cart/add/anonymous-10/EMM/1,1,0,41.1130539999931,41.1130539999931,41.1130539999931,41.1130539999931,201.0,0.0005477540247322148,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,31.78037299994685,31.78037299994685,31.78037299994685,31.78037299994685,111.0,0.0005477540247322148,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,176.8983389999903,176.8983389999903,176.8983389999903,176.8983389999903,121.0,0.0005477540247322148,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,70.51051400003416,70.51051400003416,70.51051400003416,70.51051400003416,200.0,0.0005477540247322148,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,62296.016517,62296.016517,62296.016517,62296.016517,217.0,0.0005477540247322148,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1000/HPTD/1,1,0,2542.1731389999422,2542.1731389999422,2542.1731389999422,2542.1731389999422,121.0,0.0005477540247322148,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/cart/add/anonymous-1001/EMM/1,1,0,83824.64278099997,83824.64278099997,83824.64278099997,83824.64278099997,137.0,0.0005477540247322148,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1001/EPE/1,1,0,12789.970874000119,12789.970874000119,12789.970874000119,12789.970874000119,205.0,0.0005477540247322148,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/cart/add/anonymous-1002/RMC/1,1,0,13759.968842000035,13759.968842000035,13759.968842000035,13759.968842000035,184.0,0.0005477540247322148,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/cart/add/anonymous-1002/Watson/1,1,0,63979.035833999886,63979.035833999886,63979.035833999886,63979.035833999886,106.0,0.0005477540247322148,0.0,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
GET,/api/cart/add/anonymous-1004/EPE/1,1,0,222534.6175279999,222534.6175279999,222534.6175279999,222534.6175279999,129.0,0.0005477540247322148,0.0,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000
GET,/api/cart/add/anonymous-1004/HPTD/1,1,0,28203.09247099999,28203.09247099999,28203.09247099999,28203.09247099999,217.0,0.0005477540247322148,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1005/EMM/1,1,0,28203.095070999778,28203.095070999778,28203.095070999778,28203.095070999778,205.0,0.0005477540247322148,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1005/EPE/1,1,0,222524.79476999998,222524.79476999998,222524.79476999998,222524.79476999998,129.0,0.0005477540247322148,0.0,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000
GET,/api/cart/add/anonymous-1006/RMC/1,1,0,29228.249209000067,29228.249209000067,29228.249209000067,29228.249209000067,190.0,0.0005477540247322148,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1006/STAN-1/1,1,0,3017.7337889999762,3017.7337889999762,3017.7337889999762,3017.7337889999762,111.0,0.0005477540247322148,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/cart/add/anonymous-1008/SHCE/1,1,0,61877.88745000012,61877.88745000012,61877.88745000012,61877.88745000012,124.0,0.0005477540247322148,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1008/STAN-1/1,1,0,39257.64649500024,39257.64649500024,39257.64649500024,39257.64649500024,203.0,0.0005477540247322148,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,/api/cart/add/anonymous-1009/UHJ/1,1,0,3267.369877000192,3267.369877000192,3267.369877000192,3267.369877000192,138.0,0.0005477540247322148,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/cart/add/anonymous-1009/Watson/1,1,0,150455.68506699987,150455.68506699987,150455.68506699987,150455.68506699987,209.0,0.0005477540247322148,0.0,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,86.30315100003827,86.30315100003827,86.30315100003827,86.30315100003827,137.0,0.0005477540247322148,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/api/cart/add/anonymous-101/SHCE/1,1,0,47.03371000005063,47.03371000005063,47.03371000005063,47.03371000005063,229.0,0.0005477540247322148,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-1010/EMM/1,1,0,19577.356927999972,19577.356927999972,19577.356927999972,19577.356927999972,137.0,0.0005477540247322148,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1010/Watson/1,1,0,103097.94287999989,103097.94287999989,103097.94287999989,103097.94287999989,206.0,0.0005477540247322148,0.0,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
GET,/api/cart/add/anonymous-1011/EPE/1,1,0,62664.74888999983,62664.74888999983,62664.74888999983,62664.74888999983,129.0,0.0005477540247322148,0.0,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000
GET,/api/cart/add/anonymous-1011/SHCE/1,1,0,29489.498400000004,29489.498400000004,29489.498400000004,29489.498400000004,222.0,0.0005477540247322148,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1012/RMC/1,1,0,50661.43412499991,50661.43412499991,50661.43412499991,50661.43412499991,108.0,0.0005477540247322148,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-1012/UHJ/1,1,0,28986.121615000004,28986.121615000004,28986.121615000004,28986.121615000004,216.0,0.0005477540247322148,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1013/RED/1,1,0,82173.30948299992,82173.30948299992,82173.30948299992,82173.30948299992,132.0,0.0005477540247322148,0.0,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000
GET,/api/cart/add/anonymous-1013/SHCE/1,1,0,2199.82898499984,2199.82898499984,2199.82898499984,2199.82898499984,225.0,0.0005477540247322148,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/cart/add/anonymous-1014/HPTD/1,1,0,103681.49385600009,103681.49385600009,103681.49385600009,103681.49385600009,193.0,0.0005477540247322148,0.0,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000
GET,/api/cart/add/anonymous-1014/Watson/1,1,0,19569.92458600007,19569.92458600007,19569.92458600007,19569.92458600007,106.0,0.0005477540247322148,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1015/RMC/1,1,0,103661.67143100005,103661.67143100005,103661.67143100005,103661.67143100005,216.0,0.0005477540247322148,0.0,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000
GET,/api/cart/add/anonymous-1015/UHJ/1,1,0,19586.85148099994,19586.85148099994,19586.85148099994,19586.85148099994,138.0,0.0005477540247322148,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1016/EMM/1,1,0,222467.88884499983,222467.88884499983,222467.88884499983,222467.88884499983,201.0,0.0005477540247322148,0.0,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000
GET,/api/cart/add/anonymous-1016/STAN-1/1,1,0,1749.1632390001541,1749.1632390001541,1749.1632390001541,1749.1632390001541,111.0,0.0005477540247322148,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/api/cart/add/anonymous-1017/HPTD/1,1,0,102396.66079100016,102396.66079100016,102396.66079100016,102396.66079100016,121.0,0.0005477540247322148,0.0,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000
GET,/api/cart/add/anonymous-1017/UHJ/1,1,0,31013.79090599994,31013.79090599994,31013.79090599994,31013.79090599994,226.0,0.0005477540247322148,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1018/EPE/1,1,0,41272.819798,41272.819798,41272.819798,41272.819798,129.0,0.0005477540247322148,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/api/cart/add/anonymous-1018/UHJ/1,1,0,1316.7797030000656,1316.7797030000656,1316.7797030000656,1316.7797030000656,220.0,0.0005477540247322148,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-1019/EPE/1,1,0,136285.85733000023,136285.85733000023,136285.85733000023,136285.85733000023,179.0,0.0005477540247322148,0.0,136000,136000,136000,136000,136000,136000,136000,136000,136000,136000,136000
GET,/api/cart/add/anonymous-1019/STAN-1/1,1,0,29603.719126999975,29603.719126999975,29603.719126999975,29603.719126999975,111.0,0.0005477540247322148,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-102/UHJ/1,2,0,60,73.67509150000728,59.7028200000409,87.64736299997367,139.5,0.0010955080494644295,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/cart/add/anonymous-1020/RMC/1,1,0,29510.602887000005,29510.602887000005,29510.602887000005,29510.602887000005,108.0,0.0005477540247322148,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1020/STAN-1/1,1,0,138562.28778199988,138562.28778199988,138562.28778199988,138562.28778199988,190.0,0.0005477540247322148,0.0,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000
GET,/api/cart/add/anonymous-1021/EPE/1,1,0,29492.015768999863,29492.015768999863,29492.015768999863,29492.015768999863,129.0,0.0005477540247322148,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1021/STAN-1/1,1,0,30511.1752050002,30511.1752050002,30511.1752050002,30511.1752050002,179.0,0.0005477540247322148,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1022/STAN-1/1,1,0,1336.3515430000916,1336.3515430000916,1336.3515430000916,1336.3515430000916,182.0,0.0005477540247322148,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-1022/Watson/1,1,0,82266.64427900004,82266.64427900004,82266.64427900004,82266.64427900004,106.0,0.0005477540247322148,0.0,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000
GET,/api/cart/add/anonymous-1023/EMM/1,1,0,64596.961117999854,64596.961117999854,64596.961117999854,64596.961117999854,137.0,0.0005477540247322148,0.0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
GET,/api/cart/add/anonymous-1023/RED/1,1,0,12720.975696000096,12720.975696000096,12720.975696000096,12720.975696000096,221.0,0.0005477540247322148,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/cart/add/anonymous-1024/STAN-1/1,1,0,83843.35825199992,83843.35825199992,83843.35825199992,83843.35825199992,111.0,0.0005477540247322148,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1025/RED/1,1,0,21796.27272099992,21796.27272099992,21796.27272099992,21796.27272099992,132.0,0.0005477540247322148,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1025/UHJ/1,1,0,2899.9841950001155,2899.9841950001155,2899.9841950001155,2899.9841950001155,209.0,0.0005477540247322148,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/cart/add/anonymous-1026/RMC/1,1,1,83550.95891899987,83550.95891899987,83550.95891899987,83550.95891899987,0.0,0.0005477540247322148,0.0005477540247322148,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1026/Watson/1,1,0,1091.9132540000192,1091.9132540000192,1091.9132540000192,1091.9132540000192,106.0,0.0005477540247322148,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/cart/add/anonymous-1027/HPTD/1,2,0,2100.0,11935.757815499983,2080.330324999977,21791.18530599999,121.0,0.0010955080494644295,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1028/UHJ/1,1,0,2190.715556999976,2190.715556999976,2190.715556999976,2190.715556999976,138.0,0.0005477540247322148,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/cart/add/anonymous-1028/Watson/1,1,0,19984.078902999954,19984.078902999954,19984.078902999954,19984.078902999954,209.0,0.0005477540247322148,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1029/RMC/1,1,0,885.1655089999895,885.1655089999895,885.1655089999895,885.1655089999895,108.0,0.0005477540247322148,0.0,890,890,890,890,890,890,890,890,890,890,890
