Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1748,43,24000.0,99230.20923066248,3.262393999989399,1014059.3503329998,2522.3855835240274,0.964116464795314,0.02371682379073141,24000,60000,125000,179000,265000,617000,732000,817000,1014000,1014000,1014000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,35.60692599990034,35.60692599990034,35.60692599990034,35.60692599990034,205.0,0.0005515540416449165,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/api/cart/add/anonymous-1/EPE/1,1,0,44.62730700004158,44.62730700004158,44.62730700004158,44.62730700004158,129.0,0.0005515540416449165,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-10/EPE/1,1,0,79.2387349999899,79.2387349999899,79.2387349999899,79.2387349999899,222.0,0.0005515540416449165,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,79.96573299999454,79.96573299999454,79.96573299999454,79.96573299999454,124.0,0.0005515540416449165,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/api/cart/add/anonymous-100/RMC/1,1,0,59.354880000000776,59.354880000000776,59.354880000000776,59.354880000000776,108.0,0.0005515540416449165,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-100/Watson/1,1,0,36.300525999990896,36.300525999990896,36.300525999990896,36.300525999990896,184.0,0.0005515540416449165,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,69300.254108,69300.254108,69300.254108,69300.254108,129.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1000/HPTD/1,1,0,61723.038436000024,61723.038436000024,61723.038436000024,61723.038436000024,217.0,0.0005515540416449165,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1001/EMM/1,1,0,36894.34297299999,36894.34297299999,36894.34297299999,36894.34297299999,221.0,0.0005515540416449165,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-1001/RED/1,1,0,69376.26352499978,69376.26352499978,69376.26352499978,69376.26352499978,132.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1002/SHCE/1,2,0,63000.0,66113.11235550011,62811.06785300017,69415.15685800005,124.5,0.001103108083289833,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1003/HPTD/1,1,0,69351.99846,69351.99846,69351.99846,69351.99846,121.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1004/UHJ/1,1,0,69344.6415809999,69344.6415809999,69344.6415809999,69344.6415809999,138.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1005/UHJ/1,1,0,69296.73682499993,69296.73682499993,69296.73682499993,69296.73682499993,138.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,61733.13020099999,61733.13020099999,61733.13020099999,61733.13020099999,209.0,0.0005515540416449165,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1006/EPE/1,2,1,35074.99173999986,52281.47484449994,35074.99173999986,69487.95794900002,64.5,0.001103108083289833,0.0005515540416449165,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1007/RED/1,1,0,134644.52051399986,134644.52051399986,134644.52051399986,134644.52051399986,132.0,0.0005515540416449165,0.0,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
GET,/api/cart/add/anonymous-1007/SHCE/1,1,0,99197.48549400015,99197.48549400015,99197.48549400015,99197.48549400015,225.0,0.0005515540416449165,0.0,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
GET,/api/cart/add/anonymous-1008/SHCE/1,1,0,64685.06532900028,64685.06532900028,64685.06532900028,64685.06532900028,203.0,0.0005515540416449165,0.0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
GET,/api/cart/add/anonymous-1008/STAN-1/1,1,0,69413.13251399992,69413.13251399992,69413.13251399992,69413.13251399992,111.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1009/UHJ/1,2,0,37000.0,85778.97044550002,36885.80750400001,134672.13338700004,139.5,0.001103108083289833,0.0,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,51.053295999963666,51.053295999963666,51.053295999963666,51.053295999963666,137.0,0.0005515540416449165,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/api/cart/add/anonymous-101/RMC/1,1,0,58.48308199995245,58.48308199995245,58.48308199995245,58.48308199995245,215.0,0.0005515540416449165,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/cart/add/anonymous-1010/RMC/1,1,0,69252.11904100001,69252.11904100001,69252.11904100001,69252.11904100001,108.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1010/STAN-1/1,1,0,61724.85012900006,61724.85012900006,61724.85012900006,61724.85012900006,190.0,0.0005515540416449165,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1011/HPTD/1,1,0,69318.69540800017,69318.69540800017,69318.69540800017,69318.69540800017,121.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1011/UHJ/1,1,0,61724.64702999991,61724.64702999991,61724.64702999991,61724.64702999991,226.0,0.0005515540416449165,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1012/UHJ/1,2,0,62000.0,65532.326268500015,61692.21096499996,69372.44157200007,139.5,0.001103108083289833,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1013/HPTD/1,1,0,69328.0669820001,69328.0669820001,69328.0669820001,69328.0669820001,121.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1014/STAN-1/1,1,0,134663.37832900012,134663.37832900012,134663.37832900012,134663.37832900012,111.0,0.0005515540416449165,0.0,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
GET,/api/cart/add/anonymous-1015/EPE/1,1,0,64698.180087000306,64698.180087000306,64698.180087000306,64698.180087000306,179.0,0.0005515540416449165,0.0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
GET,/api/cart/add/anonymous-1015/STAN-1/1,1,0,69363.122987,69363.122987,69363.122987,69363.122987,111.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1016/Watson/1,1,0,69401.62767799984,69401.62767799984,69401.62767799984,69401.62767799984,106.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1017/HPTD/1,1,0,61739.83587600014,61739.83587600014,61739.83587600014,61739.83587600014,213.0,0.0005515540416449165,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1017/SHCE/1,1,0,69002.9631729999,69002.9631729999,69002.9631729999,69002.9631729999,124.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1018/UHJ/1,1,0,95815.77133500014,95815.77133500014,95815.77133500014,95815.77133500014,138.0,0.0005515540416449165,0.0,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000
GET,/api/cart/add/anonymous-1019/RED/1,1,0,68887.63028400013,68887.63028400013,68887.63028400013,68887.63028400013,132.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-102/EPE/1,1,0,59.41117899999426,59.41117899999426,59.41117899999426,59.41117899999426,129.0,0.0005515540416449165,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-102/Watson/1,1,0,42.81571300009546,42.81571300009546,42.81571300009546,42.81571300009546,200.0,0.0005515540416449165,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/api/cart/add/anonymous-1020/STAN-1/1,1,0,68881.66501699993,68881.66501699993,68881.66501699993,68881.66501699993,111.0,0.0005515540416449165,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1020/UHJ/1,1,0,61658.88638599995,61658.88638599995,61658.88638599995,61658.88638599995,191.0,0.0005515540416449165,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1021/STAN-1/1,1,0,132964.2984479999,132964.2984479999,132964.2984479999,132964.2984479999,111.0,0.0005515540416449165,0.0,133000,133000,133000,133000,133000,133000,133000,133000,133000,133000,133000
GET,/api/cart/add/anonymous-1022/SHCE/1,1,0,109888.87379499988,109888.87379499988,109888.87379499988,109888.87379499988,124.0,0.0005515540416449165,0.0,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000
