Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1858,48,21000.0,92315.43961905337,3.202385999998114,819952.3466589999,2519.1926803013994,1.0262080727859642,0.026511295744739656,21000,54000,89000,142000,288000,568000,733000,764000,820000,820000,820000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,10.04675199999383,10.04675199999383,10.04675199999383,10.04675199999383,200.0,0.0005523186613487428,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,35.61983000008695,35.61983000008695,35.61983000008695,35.61983000008695,111.0,0.0005523186613487428,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/api/cart/add/anonymous-10/RMC/1,2,0,30.041159999996125,34.77023749996988,30.041159999996125,39.499314999943635,108.5,0.0011046373226974856,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-100/EPE/1,2,0,29,32.98335250008222,28.760371000089435,37.206334000075,129.5,0.0011046373226974856,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/api/cart/add/anonymous-1000/RED/1,1,0,64560.21900199994,64560.21900199994,64560.21900199994,64560.21900199994,202.0,0.0005523186613487428,0.0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
GET,/api/cart/add/anonymous-1000/Watson/1,1,0,49703.67172600004,49703.67172600004,49703.67172600004,49703.67172600004,106.0,0.0005523186613487428,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1001/EMM/1,1,0,26599.61094899995,26599.61094899995,26599.61094899995,26599.61094899995,201.0,0.0005523186613487428,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,49831.756485999904,49831.756485999904,49831.756485999904,49831.756485999904,111.0,0.0005523186613487428,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1002/EPE/1,1,0,48627.02415500007,48627.02415500007,48627.02415500007,48627.02415500007,129.0,0.0005523186613487428,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
