Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1683,10,22000.0,83689.85252257097,3.338110000015604,787458.6346120001,2570.634581105169,0.9383340101350629,0.005575365479115049,22000,58000,88000,144000,247000,370000,598000,676000,772000,787000,787000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,31.81129699999019,31.81129699999019,31.81129699999019,31.81129699999019,179.0,0.000557536547911505,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,27.059682999947654,27.059682999947654,27.059682999947654,27.059682999947654,111.0,0.000557536547911505,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/cart/add/anonymous-10/EPE/1,1,0,37.456813000005695,37.456813000005695,37.456813000005695,37.456813000005695,129.0,0.000557536547911505,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/api/cart/add/anonymous-10/Watson/1,1,0,39.160717000015666,39.160717000015666,39.160717000015666,39.160717000015666,200.0,0.000557536547911505,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-100/EMM/1,1,0,175.5855579999661,175.5855579999661,175.5855579999661,175.5855579999661,137.0,0.000557536547911505,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-100/RMC/1,1,0,119.9559099999874,119.9559099999874,119.9559099999874,119.9559099999874,215.0,0.000557536547911505,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-1000/STAN-1/1,1,0,93799.56313000002,93799.56313000002,93799.56313000002,93799.56313000002,182.0,0.000557536547911505,0.0,94000,94000,94000,94000,94000,94000,94000,94000,94000,94000,94000
GET,/api/cart/add/anonymous-1000/Watson/1,1,0,551318.8924890001,551318.8924890001,551318.8924890001,551318.8924890001,106.0,0.000557536547911505,0.0,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,21559.77347099997,21559.77347099997,21559.77347099997,21559.77347099997,111.0,0.000557536547911505,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1002/EMM/1,1,0,721766.3741359999,721766.3741359999,721766.3741359999,721766.3741359999,137.0,0.000557536547911505,0.0,722000,722000,722000,722000,722000,722000,722000,722000,722000,722000,722000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,22033.08262099995,22033.08262099995,22033.08262099995,22033.08262099995,124.0,0.000557536547911505,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1003/UHJ/1,1,0,59917.00432099992,59917.00432099992,59917.00432099992,59917.00432099992,230.0,0.000557536547911505,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1004/Watson/1,1,0,60133.065731999974,60133.065731999974,60133.065731999974,60133.065731999974,106.0,0.000557536547911505,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1005/UHJ/1,1,0,86000.71686800015,86000.71686800015,86000.71686800015,86000.71686800015,138.0,0.000557536547911505,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1006/EMM/1,1,0,22637.37043500009,22637.37043500009,22637.37043500009,22637.37043500009,137.0,0.000557536547911505,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1006/STAN-1/1,1,0,94056.17946200004,94056.17946200004,94056.17946200004,94056.17946200004,201.0,0.000557536547911505,0.0,94000,94000,94000,94000,94000,94000,94000,94000,94000,94000,94000
GET,/api/cart/add/anonymous-1007/RED/1,1,0,22094.569358999936,22094.569358999936,22094.569358999936,22094.569358999936,132.0,0.000557536547911505,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1008/EPE/1,2,0,22051.30938100001,23969.467913000015,22051.30938100001,25887.626445000024,129.5,0.00111507309582301,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1009/RED/1,1,0,722085.234677,722085.234677,722085.234677,722085.234677,132.0,0.000557536547911505,0.0,722000,722000,722000,722000,722000,722000,722000,722000,722000,722000,722000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,103.25446799998872,103.25446799998872,103.25446799998872,103.25446799998872,201.0,0.000557536547911505,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,329.40816000001405,329.40816000001405,329.40816000001405,329.40816000001405,111.0,0.000557536547911505,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/api/cart/add/anonymous-1010/STAN-1/1,1,0,21944.315150999955,21944.315150999955,21944.315150999955,21944.315150999955,111.0,0.000557536547911505,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1011/UHJ/1,1,0,41881.82789300004,41881.82789300004,41881.82789300004,41881.82789300004,138.0,0.000557536547911505,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/api/cart/add/anonymous-1012/EPE/1,1,1,87636.20223199995,87636.20223199995,87636.20223199995,87636.20223199995,0.0,0.000557536547911505,0.000557536547911505,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1012/HPTD/1,1,0,22605.655684000114,22605.655684000114,22605.655684000114,22605.655684000114,121.0,0.000557536547911505,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1013/EPE/1,1,0,21268.275854999956,21268.275854999956,21268.275854999956,21268.275854999956,129.0,0.000557536547911505,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/cart/add/anonymous-1014/STAN-1/1,1,0,754647.5515349999,754647.5515349999,754647.5515349999,754647.5515349999,111.0,0.000557536547911505,0.0,755000,755000,755000,755000,755000,755000,755000,755000,755000,755000,755000
GET,/api/cart/add/anonymous-1015/UHJ/1,1,0,21591.463853000052,21591.463853000052,21591.463853000052,21591.463853000052,138.0,0.000557536547911505,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1016/STAN-1/1,1,0,753752.277529,753752.277529,753752.277529,753752.277529,111.0,0.000557536547911505,0.0,754000,754000,754000,754000,754000,754000,754000,754000,754000,754000,754000
