Method,Name,Error,Occurrences
GET,/api/shipping/calc/3299738,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/calc/3299738,1
GET,/api/shipping/calc/3397341,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1076/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-964/HPTD/2,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
GET,/api/cart/update/anonymous-701/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-715/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1355/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-905,Remote end closed connection without response,1
GET,/api/shipping/calc/5857357,Remote end closed connection without response,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/cities/cz,1
GET,/api/shipping/calc/3399909,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/calc/3399909,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-913/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-799,Remote end closed connection without response,1
GET,/api/shipping/calc/3850948,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-749,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-877/EPE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-782,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,5
POST,/api/payment/pay/anonymous-653,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-710,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-762,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-573,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,9
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/cities/au,3
GET,/api/shipping/calc/3952262,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-565,Remote end closed connection without response,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/cities/br,1
POST,/api/payment/pay/anonymous-965,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-676,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3817044,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/calc/3817044,1
PUT,/api/ratings/api/rate/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4560462,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,18
GET,/api/shipping/calc/5385588,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/4,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-1103/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-904/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-798,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/cities/tr,2
GET,/api/shipping/calc/4037612,Remote end closed connection without response,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.108.156.95/api/shipping/cities/ru,3
