Method,Name,Error,Occurrences
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/hu,10
GET,/api/catalogue/product/Watson,Remote end closed connection without response,5
GET,/api/shipping/calc/3847577,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/3847577,1
GET,/api/cart/add/anonymous-845/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-556/SHCE/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-44,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/confirm/anonymous-44,1
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/ro,11
GET,/api/cart/cart/anonymous-638,Remote end closed connection without response,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/us,8
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/dk,3
GET,/api/shipping/calc/3364909,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/3364909,1
GET,/api/shipping/calc/4578791,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/4578791,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,4
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/ca,7
GET,/api/shipping/calc/5079661,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/5079661,1
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/fr,7
GET,/api/cart/add/anonymous-951/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4169759,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/4169759,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-947/RED/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5959813,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/5959813,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/it,13
GET,/api/cart/cart/anonymous-736,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,10
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/no,8
GET,/api/cart/cart/anonymous-1360,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-892,Remote end closed connection without response,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/at,10
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/shipping/calc/3915888,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/3915888,1
GET,/api/cart/add/anonymous-1476/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-664/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-869,Remote end closed connection without response,1
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/fi,8
GET,/api/cart/add/anonymous-762/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3820057,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/3820057,1
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/cities/ch,10
POST,/api/shipping/confirm/anonymous-38,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/confirm/anonymous-38,1
GET,/api/cart/add/anonymous-1053/EMM/1,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,31
GET,/api/cart/add/anonymous-1119/SHCE/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/UHJ/4,Remote end closed connection without response,2
GET,/api/cart/update/anonymous-1345/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5085117,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/5085117,1
GET,/api/shipping/calc/5081065,504 Server Error: Gateway Time-out for url: http://20.108.156.53/api/shipping/calc/5081065,1
