Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1736,10,28000.0,98645.72332168485,3.0122030000256927,1041109.4991179998,2571.1036866359445,0.9410381576695487,0.00542072671468634,28000,65000,110000,177000,286000,462000,662000,864000,1041000,1041000,1041000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,25.084724999999253,25.084724999999253,25.084724999999253,25.084724999999253,215.0,0.0005420726714686341,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/cart/add/anonymous-1/RMC/1,1,0,25.242724999998245,25.242724999998245,25.242724999998245,25.242724999998245,108.0,0.0005420726714686341,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,31.447030999970593,31.447030999970593,31.447030999970593,31.447030999970593,121.0,0.0005420726714686341,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/cart/add/anonymous-10/Watson/1,1,0,36.94993599998497,36.94993599998497,36.94993599998497,36.94993599998497,193.0,0.0005420726714686341,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/api/cart/add/anonymous-100/RED/1,1,0,20.65322099997502,20.65322099997502,20.65322099997502,20.65322099997502,132.0,0.0005420726714686341,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-100/RMC/1,1,0,22.21632199996293,22.21632199996293,22.21632199996293,22.21632199996293,210.0,0.0005420726714686341,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/cart/add/anonymous-1000/EPE/1,2,0,53335.288471000014,59593.16887450007,53335.288471000014,65851.04927800012,129.5,0.0010841453429372681,0.0,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000
GET,/api/cart/add/anonymous-1001/HPTD/1,1,0,22396.348512000033,22396.348512000033,22396.348512000033,22396.348512000033,121.0,0.0005420726714686341,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1002/EMM/1,1,0,25848.860309999964,25848.860309999964,25848.860309999964,25848.860309999964,201.0,0.0005420726714686341,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1002/STAN-1/1,1,0,65779.44052599992,65779.44052599992,65779.44052599992,65779.44052599992,111.0,0.0005420726714686341,0.0,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000
