Method,Name,Error,Occurrences
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/cities/at,3
GET,/api/shipping/calc/3438639,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/calc/3438639,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/cities/tr,1
GET,/api/cart/add/anonymous-501/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-883,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1092/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1246/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-971/EMM/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-963/Watson/2,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,3
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/cities/us,3
GET,/api/cart/add/anonymous-1415/RMC/1,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,27
PUT,/api/ratings/api/rate/SHCE/3,Remote end closed connection without response,2
GET,/api/cart/update/anonymous-1088/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1083/RED/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-917,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,6
GET,/api/cart/add/anonymous-1364/STAN-1/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1247/Watson/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-11,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/confirm/anonymous-11,1
PUT,/api/ratings/api/rate/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/cities/dk,1
GET,/api/cart/add/anonymous-1343/SHCE/1,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,9
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/cities/no,2
GET,/api/cart/add/anonymous-1344/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1672/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-921/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-795/RED/2,Remote end closed connection without response,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.108.155.49/api/shipping/cities/es,3
GET,/api/cart/add/anonymous-1542/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-984/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-954/EMM/1,Remote end closed connection without response,1
