Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1898,27,28000.0,87219.6914617224,2.9811809999955585,1305492.9098909998,2549.2128556375133,1.041653987122038,0.014818049342621195,28000,65000,90000,136000,219000,310000,895000,1009000,1245000,1305000,1305000
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,13.929142999984379,13.929142999984379,13.929142999984379,13.929142999984379,198.0,0.0005488166423193035,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-1/Watson/1,1,0,28.936620000024504,28.936620000024504,28.936620000024504,28.936620000024504,106.0,0.0005488166423193035,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-10/UHJ/1,2,0,20.395940000014434,25.63185400001089,20.395940000014434,30.867768000007345,139.5,0.001097633284638607,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/cart/add/anonymous-100/RED/1,1,0,74.51159700008247,74.51159700008247,74.51159700008247,74.51159700008247,196.0,0.0005488166423193035,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,122.63356000005388,122.63356000005388,122.63356000005388,122.63356000005388,111.0,0.0005488166423193035,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,27784.563872000035,27784.563872000035,27784.563872000035,27784.563872000035,217.0,0.0005488166423193035,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1000/HPTD/1,1,0,52948.93990299988,52948.93990299988,52948.93990299988,52948.93990299988,121.0,0.0005488166423193035,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1001/SHCE/1,1,0,53034.23277299998,53034.23277299998,53034.23277299998,53034.23277299998,124.0,0.0005488166423193035,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1001/Watson/1,1,0,563.3199220001188,563.3199220001188,563.3199220001188,563.3199220001188,198.0,0.0005488166423193035,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/api/cart/add/anonymous-1002/RED/1,1,0,119805.96765400014,119805.96765400014,119805.96765400014,119805.96765400014,132.0,0.0005488166423193035,0.0,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,119717.69589199993,119717.69589199993,119717.69589199993,119717.69589199993,124.0,0.0005488166423193035,0.0,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
GET,/api/cart/add/anonymous-1004/SHCE/1,2,0,490.26793000007274,26760.940193500006,490.26793000007274,53031.61245699994,124.5,0.001097633284638607,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1005/EMM/1,1,0,53021.85298799987,53021.85298799987,53021.85298799987,53021.85298799987,137.0,0.0005488166423193035,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1005/RED/1,1,0,69245.24887200005,69245.24887200005,69245.24887200005,69245.24887200005,221.0,0.0005488166423193035,0.0,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
GET,/api/cart/add/anonymous-1006/HPTD/1,1,0,52912.56418399985,52912.56418399985,52912.56418399985,52912.56418399985,121.0,0.0005488166423193035,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1006/Watson/1,1,0,27404.934152000125,27404.934152000125,27404.934152000125,27404.934152000125,193.0,0.0005488166423193035,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1007/RMC/1,1,0,53060.14283399986,53060.14283399986,53060.14283399986,53060.14283399986,108.0,0.0005488166423193035,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1007/STAN-1/1,1,0,31665.927181999905,31665.927181999905,31665.927181999905,31665.927181999905,190.0,0.0005488166423193035,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/api/cart/add/anonymous-1008/EMM/1,1,0,27872.215134000042,27872.215134000042,27872.215134000042,27872.215134000042,223.0,0.0005488166423193035,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1008/HPTD/1,1,0,449718.86169100006,449718.86169100006,449718.86169100006,449718.86169100006,121.0,0.0005488166423193035,0.0,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000
GET,/api/cart/add/anonymous-1009/EMM/1,1,0,31205.82724699989,31205.82724699989,31205.82724699989,31205.82724699989,229.0,0.0005488166423193035,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1009/SHCE/1,1,0,53052.24357400016,53052.24357400016,53052.24357400016,53052.24357400016,124.0,0.0005488166423193035,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-101/SHCE/1,2,0,50.32981099998324,53.87866549995124,50.32981099998324,57.42751999991924,124.5,0.001097633284638607,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/cart/add/anonymous-1010/EPE/1,1,0,68265.05604099997,68265.05604099997,68265.05604099997,68265.05604099997,217.0,0.0005488166423193035,0.0,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000
GET,/api/cart/add/anonymous-1010/HPTD/1,1,0,73011.6300799998,73011.6300799998,73011.6300799998,73011.6300799998,121.0,0.0005488166423193035,0.0,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000
GET,/api/cart/add/anonymous-1011/RMC/1,1,0,68220.32935800008,68220.32935800008,68220.32935800008,68220.32935800008,184.0,0.0005488166423193035,0.0,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000
GET,/api/cart/add/anonymous-1011/Watson/1,1,0,73005.82631299994,73005.82631299994,73005.82631299994,73005.82631299994,106.0,0.0005488166423193035,0.0,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000
GET,/api/cart/add/anonymous-1012/SHCE/1,1,0,73158.15664100001,73158.15664100001,73158.15664100001,73158.15664100001,124.0,0.0005488166423193035,0.0,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000
GET,/api/cart/add/anonymous-1013/Watson/1,1,0,73651.01839900012,73651.01839900012,73651.01839900012,73651.01839900012,106.0,0.0005488166423193035,0.0,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
GET,/api/cart/add/anonymous-1014/EPE/1,1,0,73811.63904600021,73811.63904600021,73811.63904600021,73811.63904600021,207.0,0.0005488166423193035,0.0,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
