Method,Name,Error,Occurrences
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
GET,/api/shipping/calc/3773827,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-919,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-670/RMC/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4021559,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-684/RED/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5849667,Remote end closed connection without response,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/codes,353
POST,/api/payment/pay/anonymous-807,Remote end closed connection without response,1
GET,/api/shipping/calc/3343982,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/calc/3343982,1
GET,/api/cart/add/anonymous-994/EPE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-922/Watson/1,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,26
GET,/api/cart/add/anonymous-941/RED/1,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
POST,/api/shipping/confirm/anonymous-576,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-18,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/confirm/anonymous-18,1
POST,/api/payment/pay/anonymous-625,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1146,Remote end closed connection without response,1
GET,/api/shipping/calc/4165437,Remote end closed connection without response,1
GET,/api/shipping/calc/3950202,Remote end closed connection without response,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/it,3
PUT,/api/ratings/api/rate/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3808122,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/tr,2
GET,/api/cart/cart/anonymous-1094,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-711,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-745/UHJ/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/5,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,26
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/ch,1
GET,/api/cart/add/anonymous-1200/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1204/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3923754,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-665,Remote end closed connection without response,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/de,1
POST,/api/shipping/confirm/anonymous-1182,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-886,Remote end closed connection without response,1
GET,/api/shipping/calc/4049564,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/calc/4049564,1
GET,/api/shipping/cities/bg,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-779/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-973/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1144,Remote end closed connection without response,1
POST,/api/user/login,[Errno 32] Broken pipe,1
POST,/api/shipping/confirm/anonymous-656,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-716/EPE/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-688,Remote end closed connection without response,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/jp,1
GET,/api/shipping/cities/au,Remote end closed connection without response,3
GET,/api/cart/cart/anonymous-718,Remote end closed connection without response,1
GET,/api/shipping/calc/3759244,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/calc/3759244,1
POST,/api/shipping/confirm/anonymous-568,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-764/RMC/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-771,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,Remote end closed connection without response,3
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,3
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/ru,3
GET,/api/cart/add/anonymous-1212/EMM/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-523,Remote end closed connection without response,1
GET,/api/catalogue/product/EPE,Remote end closed connection without response,2
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/br,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/nl,3
GET,/api/cart/cart/anonymous-1296,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-725,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-521,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-938/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1341/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1283/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4383156,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-689/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3927613,Remote end closed connection without response,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/hu,2
GET,/api/cart/update/anonymous-738/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/pt,2
GET,/api/cart/add/anonymous-1294/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5833978,Remote end closed connection without response,1
GET,/api/catalogue/categories,Remote end closed connection without response,15
GET,/api/cart/cart/anonymous-636,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1196,Remote end closed connection without response,1
GET,/api/catalogue/product/RMC,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-995/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-757/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3754875,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/calc/3754875,1
GET,/api/ratings/api/fetch/RED,Remote end closed connection without response,3
GET,/api/catalogue/product/UHJ,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-1339/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/cities/in,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1197/EPE/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-21,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/confirm/anonymous-21,1
POST,/api/shipping/confirm/anonymous-663,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-618,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-555,Remote end closed connection without response,1
GET,/api/shipping/calc/3202400,Remote end closed connection without response,1
GET,/api/shipping/calc/5350919,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/calc/5350919,1
GET,/api/cart/cart/anonymous-784,Remote end closed connection without response,1
GET,/api/catalogue/products,Remote end closed connection without response,9
GET,/api/shipping/calc/3308709,Remote end closed connection without response,1
GET,/api/catalogue/product/HPTD,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-1035/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1313/RED/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4394328,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-736/Watson/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-674,Remote end closed connection without response,1
POST,/api/user/login,Remote end closed connection without response,25
POST,/api/shipping/confirm/anonymous-1168,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-707,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RMC,Remote end closed connection without response,5
GET,/api/shipping/calc/3197622,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1279/Watson/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/EPE,Remote end closed connection without response,4
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/cz,1
GET,/api/ratings/api/fetch/EMM,Remote end closed connection without response,2
GET,/api/shipping/cities/fr,Remote end closed connection without response,2
GET,/api/catalogue/product/STAN-1,Remote end closed connection without response,5
GET,/api/cart/add/anonymous-1203/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5482035,Remote end closed connection without response,1
GET,/api/shipping/calc/5356715,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-780,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-898,Remote end closed connection without response,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/ca,3
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/dk,3
GET,/api/cart/cart/anonymous-766,Remote end closed connection without response,1
GET,/api/shipping/cities/gb,Remote end closed connection without response,2
GET,/api/shipping/calc/3757927,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/calc/3757927,1
GET,/api/cart/cart/anonymous-769,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-931/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/fr,1
GET,/api/catalogue/product/EMM,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-930/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5370171,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/bg,2
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/cities/us,2
POST,/api/shipping/confirm/anonymous-691,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-783/STAN-1/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/STAN-1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-593,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/SHCE,Remote end closed connection without response,5
GET,/api/shipping/calc/3205604,504 Server Error: Gateway Time-out for url: http://20.108.156.78/api/shipping/calc/3205604,1
GET,/api/cart/add/anonymous-1046/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1199/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/codes,Remote end closed connection without response,10
POST,/api/shipping/confirm/anonymous-536,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-673,Remote end closed connection without response,1
