Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643316262,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643316263,10,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,6,0,110.0,119.58668466665283,102.83682799990856,131.43766899975162,92.0
1643316264,20,,Aggregated,0.000000,0.000000,19,36,61,110,130,190,340,340,340,340,340,38,0,19,52.15721794740459,3.773679000005359,342.38299700018615,394.4736842105263
1643316265,30,,Aggregated,0.000000,0.000000,19,30,42,49,110,130,340,710,710,710,710,86,0,19,45.44836841862064,3.6952790001123503,713.5049359999357,12733.627906976744
1643316266,40,,Aggregated,19.000000,0.000000,22,30,39,49,100,180,330,340,710,710,710,151,0,22,46.08480968212558,3.6952790001123503,713.5049359999357,7476.721854304636
1643316267,50,,Aggregated,19.000000,0.000000,22,31,39,49,110,300,330,340,2500,2500,2500,202,0,22,62.33948864850714,3.6952790001123503,2519.006116000128,29348.29702970297
1643316268,60,,Aggregated,36.500000,0.000000,24,33,43,58,130,320,1100,1500,2500,2500,2500,264,0,24,88.87861579545347,3.6952790001123503,2519.006116000128,26762.666666666668
1643316269,70,,Aggregated,36.500000,0.000000,23,31,40,55,140,310,1100,1500,3300,3300,3300,332,0,23,88.18363694879609,3.6952790001123503,3327.2182529999554,27901.274096385543
1643316270,80,,Aggregated,43.666667,0.000000,22,31,38,50,130,310,1500,2100,5200,5200,5200,417,0,22,106.71148654915558,3.6952790001123503,5155.373129000054,27607.172661870503
1643316271,90,,Aggregated,47.428571,0.000000,26,35,43,51,110,280,1200,2100,5200,5200,5200,527,0,26,94.46450450284328,3.6952790001123503,5155.373129000054,21943.44212523719
1643316272,100,,Aggregated,52.000000,0.000000,27,37,50,62,180,1400,3000,3500,5900,5900,5900,647,0,27,194.19326247912446,3.2544820001021435,5858.451072999742,30443.783616692428
1643316273,110,,Aggregated,58.111111,0.000000,30,40,54,67,140,1200,2400,3300,5900,5900,5900,811,0,30,173.03898558076008,3.2544820001021435,5858.451072999742,24372.241676942045
1643316274,120,,Aggregated,61.500000,0.000000,29,39,51,62,130,710,2300,3300,5900,5900,5900,906,0,29,160.47534914127695,3.2544820001021435,5858.451072999742,21863.16114790287
1643316275,130,,Aggregated,75.400000,0.000000,27,39,50,61,130,640,2400,3300,6900,6900,6900,997,0,27,158.55832464593388,3.1217830000969116,6873.407527999916,22481.24974924774
1643316276,140,,Aggregated,84.500000,0.000000,29,40,51,62,110,320,2300,3300,5900,6900,6900,1135,0,29,145.09599041673349,3.1217830000969116,6873.407527999916,19798.37356828194
1643316277,150,,Aggregated,86.100000,0.000000,29,40,51,62,120,340,2400,3500,12000,13000,13000,1146,0,29,169.8817751143041,3.1217830000969116,12673.138455999833,34647.830715532284
1643316278,160,,Aggregated,93.500000,0.000000,30,41,55,69,150,1100,2900,4300,12000,13000,13000,1173,0,30,215.72242339215032,3.1217830000969116,12673.138455999833,46783.42966751918
1643316279,170,,Aggregated,94.200000,0.000000,33,49,67,86,290,1100,3300,6300,12000,13000,13000,1315,0,33,250.90633741748306,3.1217830000969116,12673.138455999833,48008.692015209126
1643316280,180,,Aggregated,88.600000,0.000000,34,50,69,89,290,1100,3200,6300,12000,13000,13000,1466,0,34,241.51880812004774,3.1217830000969116,12673.138455999833,44413.84924965894
1643316282,190,,Aggregated,91.500000,0.000000,33,50,67,87,290,1100,3300,7100,12000,13000,13000,1542,0,33,255.09931063423392,3.1217830000969116,12673.138455999833,49853.262645914394
1643316283,200,,Aggregated,99.100000,0.000000,32,49,66,85,280,1100,3200,6900,12000,13000,13000,1658,0,32,241.86839894691798,3.1217830000969116,12673.138455999833,46397.66344993969
1643316284,210,,Aggregated,92.700000,0.000000,31,47,62,78,250,780,2900,6400,12000,13000,13000,1801,0,31,232.42127554968843,3.1217830000969116,12673.138455999833,43949.40199888951
1643316285,220,,Aggregated,89.200000,0.000000,30,46,60,76,250,740,2500,6400,13000,13000,13000,1908,0,30,227.9835304523002,3.1217830000969116,12777.759674000208,42913.95492662474
1643316286,230,,Aggregated,91.300000,0.000000,30,43,58,72,180,540,2500,6300,12000,13000,13000,2042,0,30,214.95473852986464,3.1217830000969116,12777.759674000208,40122.60284035259
1643316287,240,,Aggregated,95.400000,0.000000,30,44,58,73,210,480,2500,7100,14000,14000,14000,2158,0,30,232.32657547033483,3.1217830000969116,14163.515215000189,39654.66357738647
1643316288,250,,Aggregated,93.800000,0.000000,30,43,57,70,160,470,2900,7400,14000,15000,15000,2334,0,30,249.33040988602448,3.1217830000969116,14887.471401999846,36697.893316195376
1643316289,260,,Aggregated,99.500000,0.000000,30,42,55,69,140,420,2500,7300,14000,15000,15000,2429,0,30,240.72030379167717,3.1217830000969116,14887.471401999846,35281.79744750926
1643316290,270,,Aggregated,112.700000,0.000000,30,42,55,67,130,350,2400,7200,14000,15000,15000,2593,0,30,227.9761075757741,2.7830590001940436,14887.471401999846,33075.46239876591
1643316291,280,,Aggregated,116.100000,0.000000,30,41,54,66,130,340,2300,6900,14000,15000,15000,2729,0,30,218.65305634590828,2.7830590001940436,14887.471401999846,31450.975448882375
1643316292,290,,Aggregated,123.000000,0.000000,30,41,52,65,120,330,2200,6400,14000,15000,15000,2844,0,30,211.03887412270885,2.7830590001940436,14887.471401999846,30196.83192686357
1643316293,300,,Aggregated,115.700000,0.000000,30,40,51,63,120,330,2100,6300,14000,15000,15000,2985,0,30,202.82543239094875,2.7830590001940436,14887.471401999846,28791.804690117253
