Method,Name,Error,Occurrences
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/fi,7
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
GET,/api/cart/update/anonymous-943/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1175/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/pt,3
POST,/api/payment/pay/anonymous-85,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-85,1
GET,/api/cart/add/anonymous-950/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-96,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-96,1
POST,/api/payment/pay/anonymous-77,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-77,1
POST,/api/payment/pay/anonymous-392,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-392,1
POST,/api/payment/pay/anonymous-40,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-40,1
POST,/api/payment/pay/anonymous-475,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-475,1
GET,/api/shipping/cities/fi,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-470,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-470,1
POST,/api/payment/pay/anonymous-88,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-88,1
POST,/api/payment/pay/anonymous-97,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-97,1
POST,/api/payment/pay/anonymous-50,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-50,1
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/no,4
GET,/api/cart/add/anonymous-924/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/in,11
POST,/api/payment/pay/anonymous-341,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-341,1
GET,/api/shipping/calc/3357737,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/calc/3357737,1
POST,/api/payment/pay/anonymous-84,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-84,1
POST,/api/payment/pay/anonymous-31,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-31,1
POST,/api/payment/pay/anonymous-62,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-62,1
GET,/api/cart/cart/anonymous-736,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/bg,4
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/dk,7
GET,/api/cart/cart/anonymous-658,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-67,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-67,1
POST,/api/payment/pay/anonymous-51,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-51,1
POST,/api/payment/pay/anonymous-60,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-60,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-89,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-89,1
POST,/api/payment/pay/anonymous-358,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-358,1
GET,/api/cart/add/anonymous-959/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-272,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-272,1
POST,/api/payment/pay/anonymous-103,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-103,1
POST,/api/payment/pay/anonymous-128,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.158.208/api/payment/pay/anonymous-128,1
POST,/api/payment/pay/anonymous-35,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-35,1
POST,/api/payment/pay/anonymous-418,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-418,1
POST,/api/payment/pay/anonymous-212,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-212,1
GET,/api/cart/cart/anonymous-735,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-329,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-329,1
POST,/api/payment/pay/anonymous-491,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-491,1
PUT,/api/ratings/api/rate/RED/5,Remote end closed connection without response,1
GET,/api/shipping/calc/5377014,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-209,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-209,1
POST,/api/payment/pay/anonymous-99,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-99,1
GET,/api/shipping/cities/us,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-87,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-87,1
POST,/api/payment/pay/anonymous-224,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-224,1
GET,/api/user/uniqueid,Remote end closed connection without response,18
POST,/api/shipping/confirm/anonymous-128,404 Client Error:  for url: http://20.117.158.208/api/shipping/confirm/anonymous-128,1
POST,/api/payment/pay/anonymous-376,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-376,1
PUT,/api/ratings/api/rate/UHJ/4,Remote end closed connection without response,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/hu,5
POST,/api/payment/pay/anonymous-91,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-91,1
GET,/api/shipping/cities/fi,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-413,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-413,1
POST,/api/payment/pay/anonymous-397,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-397,1
POST,/api/payment/pay/anonymous-53,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-53,1
GET,/api/cart/update/anonymous-868/EPE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1028,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,1
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/fr,6
POST,/api/payment/pay/anonymous-459,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-459,1
GET,/api/shipping/cities/cz,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",1
POST,/api/payment/pay/anonymous-98,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-98,1
POST,/api/payment/pay/anonymous-482,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-482,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/ca,8
POST,/api/payment/pay/anonymous-253,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-253,1
POST,/api/payment/pay/anonymous-221,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-221,1
GET,/api/shipping/cities/bg,Remote end closed connection without response,1
GET,/api/shipping/codes,500 Server Error:  for url: http://20.117.158.208/api/shipping/codes,3
POST,/api/payment/pay/anonymous-368,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-368,1
GET,/api/shipping/calc/3201853,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-638/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-243,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-243,1
POST,/api/payment/pay/anonymous-42,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-42,1
POST,/api/payment/pay/anonymous-158,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-158,1
GET,/api/shipping/calc/3400861,Remote end closed connection without response,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/it,2
POST,/api/payment/pay/anonymous-47,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-47,1
POST,/api/payment/pay/anonymous-78,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-78,1
POST,/api/payment/pay/anonymous-54,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-54,1
POST,/api/payment/pay/anonymous-290,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-290,1
GET,/api/shipping/cities/ro,500 Server Error:  for url: http://20.117.158.208/api/shipping/cities/ro,1
GET,/api/cart/update/anonymous-942/RED/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-477,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-477,1
GET,/api/shipping/cities/se,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,Remote end closed connection without response,5
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-437,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-437,1
GET,/api/shipping/cities/ru,500 Server Error:  for url: http://20.117.158.208/api/shipping/cities/ru,1
GET,/api/cart/add/anonymous-731/RED/1,Remote end closed connection without response,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/ru,8
GET,/api/catalogue/product/EPE,Remote end closed connection without response,4
POST,/api/payment/pay/anonymous-351,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-351,1
GET,/api/cart/add/anonymous-525/RED/1,Remote end closed connection without response,1
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.117.158.208/api/shipping/cities/se,7
GET,/api/cart/add/anonymous-714/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-94,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-94,1
POST,/api/payment/pay/anonymous-65,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-65,1
POST,/api/payment/pay/anonymous-434,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-434,1
POST,/api/payment/pay/anonymous-61,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-61,1
POST,/api/payment/pay/anonymous-140,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.208/api/payment/pay/anonymous-140,1
