Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1345,1,25000.0,157367.74285380292,2.7033409999148716,1543778.044309,2584.077323420074,0.7429201545424937,0.0005523569922249023,25000,61000,138000,263000,605000,807000,1335000,1437000,1544000,1544000,1544000
GET,/api/cart/add/anonymous-1/RMC/1,1,0,12.018838000130927,12.018838000130927,12.018838000130927,12.018838000130927,190.0,0.0005523569922249023,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,21.165965999898617,21.165965999898617,21.165965999898617,21.165965999898617,111.0,0.0005523569922249023,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,280.9317749999991,280.9317749999991,280.9317749999991,280.9317749999991,121.0,0.0005523569922249023,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/cart/add/anonymous-10/Watson/1,1,0,11.218135000035545,11.218135000035545,11.218135000035545,11.218135000035545,193.0,0.0005523569922249023,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,1519.382177000125,1519.382177000125,1519.382177000125,1519.382177000125,213.0,0.0005523569922249023,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,199.89811599998575,199.89811599998575,199.89811599998575,199.89811599998575,124.0,0.0005523569922249023,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,24080.923089999942,24080.923089999942,24080.923089999942,24080.923089999942,129.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1002/RED/1,1,0,81147.35697900005,81147.35697900005,81147.35697900005,81147.35697900005,202.0,0.0005523569922249023,0.0,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000
GET,/api/cart/add/anonymous-1002/Watson/1,1,0,24430.07093999995,24430.07093999995,24430.07093999995,24430.07093999995,106.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1003/UHJ/1,1,0,24457.078982999974,24457.078982999974,24457.078982999974,24457.078982999974,138.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1004/HPTD/1,1,0,24081.96679599996,24081.96679599996,24081.96679599996,24081.96679599996,121.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1004/Watson/1,1,0,83633.92877999968,83633.92877999968,83633.92877999968,83633.92877999968,193.0,0.0005523569922249023,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-101/RED/1,1,0,427.9060160001791,427.9060160001791,427.9060160001791,427.9060160001791,196.0,0.0005523569922249023,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,246.7104599998038,246.7104599998038,246.7104599998038,246.7104599998038,111.0,0.0005523569922249023,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-102/EPE/1,1,0,525.5904170001031,525.5904170001031,525.5904170001031,525.5904170001031,200.0,0.0005523569922249023,0.0,530,530,530,530,530,530,530,530,530,530,530
GET,/api/cart/add/anonymous-102/Watson/1,1,0,211.1764509998011,211.1764509998011,211.1764509998011,211.1764509998011,106.0,0.0005523569922249023,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/cart/add/anonymous-1028/RED/1,1,0,26573.95587300016,26573.95587300016,26573.95587300016,26573.95587300016,210.0,0.0005523569922249023,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1028/RMC/1,1,0,1534.5735260002584,1534.5735260002584,1534.5735260002584,1534.5735260002584,108.0,0.0005523569922249023,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/cart/add/anonymous-1029/EPE/1,1,0,24138.650494000103,24138.650494000103,24138.650494000103,24138.650494000103,129.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1029/UHJ/1,1,0,107691.39230599967,107691.39230599967,107691.39230599967,107691.39230599967,220.0,0.0005523569922249023,0.0,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000
GET,/api/cart/add/anonymous-103/RED/1,1,0,232.0210150001003,232.0210150001003,232.0210150001003,232.0210150001003,132.0,0.0005523569922249023,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/cart/add/anonymous-103/UHJ/1,1,0,442.9318630000125,442.9318630000125,442.9318630000125,442.9318630000125,209.0,0.0005523569922249023,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/api/cart/add/anonymous-1032/EPE/1,1,0,49154.054508000176,49154.054508000176,49154.054508000176,49154.054508000176,129.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1034/SHCE/1,1,0,48140.78633200006,48140.78633200006,48140.78633200006,48140.78633200006,124.0,0.0005523569922249023,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,/api/cart/add/anonymous-1038/EMM/1,1,0,23556.078697999965,23556.078697999965,23556.078697999965,23556.078697999965,137.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-104/RMC/1,1,0,179.3165520000457,179.3165520000457,179.3165520000457,179.3165520000457,108.0,0.0005523569922249023,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-104/Watson/1,1,0,712.2997919998397,712.2997919998397,712.2997919998397,712.2997919998397,184.0,0.0005523569922249023,0.0,710,710,710,710,710,710,710,710,710,710,710
GET,/api/cart/add/anonymous-105/HPTD/1,1,0,1233.735594999871,1233.735594999871,1233.735594999871,1233.735594999871,226.0,0.0005523569922249023,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/cart/add/anonymous-105/UHJ/1,1,0,247.67326300002424,247.67326300002424,247.67326300002424,247.67326300002424,138.0,0.0005523569922249023,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-1051/HPTD/1,1,0,52859.95421899998,52859.95421899998,52859.95421899998,52859.95421899998,193.0,0.0005523569922249023,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1051/Watson/1,1,0,24707.611212999836,24707.611212999836,24707.611212999836,24707.611212999836,106.0,0.0005523569922249023,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1052/RED/1,1,0,81994.85141400009,81994.85141400009,81994.85141400009,81994.85141400009,196.0,0.0005523569922249023,0.0,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000
GET,/api/cart/add/anonymous-1052/STAN-1/1,1,0,24469.710849999956,24469.710849999956,24469.710849999956,24469.710849999956,111.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1054/EMM/1,1,0,23466.571525999825,23466.571525999825,23466.571525999825,23466.571525999825,137.0,0.0005523569922249023,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1054/HPTD/1,1,0,108126.09845999986,108126.09845999986,108126.09845999986,108126.09845999986,223.0,0.0005523569922249023,0.0,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000
GET,/api/cart/add/anonymous-106/HPTD/1,1,0,2543.269320000036,2543.269320000036,2543.269320000036,2543.269320000036,199.0,0.0005523569922249023,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/cart/add/anonymous-106/RMC/1,1,0,459.8201159999462,459.8201159999462,459.8201159999462,459.8201159999462,108.0,0.0005523569922249023,0.0,460,460,460,460,460,460,460,460,460,460,460
GET,/api/cart/add/anonymous-1063/SHCE/1,1,0,24482.91441900028,24482.91441900028,24482.91441900028,24482.91441900028,124.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1063/STAN-1/1,1,0,81987.01557300001,81987.01557300001,81987.01557300001,81987.01557300001,203.0,0.0005523569922249023,0.0,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000
GET,/api/cart/add/anonymous-1066/STAN-1/1,1,0,24470.549954000035,24470.549954000035,24470.549954000035,24470.549954000035,111.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1067/EMM/1,1,0,24482.646617999762,24482.646617999762,24482.646617999762,24482.646617999762,137.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1067/UHJ/1,1,0,81989.52158600013,81989.52158600013,81989.52158600013,81989.52158600013,214.0,0.0005523569922249023,0.0,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000
GET,/api/cart/add/anonymous-107/UHJ/1,1,0,261.79170700015675,261.79170700015675,261.79170700015675,261.79170700015675,138.0,0.0005523569922249023,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/api/cart/add/anonymous-107/Watson/1,1,0,540.1227610000205,540.1227610000205,540.1227610000205,540.1227610000205,209.0,0.0005523569922249023,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/api/cart/add/anonymous-1070/EPE/1,1,0,54624.983885999885,54624.983885999885,54624.983885999885,54624.983885999885,200.0,0.0005523569922249023,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-1070/Watson/1,1,0,24218.500923000192,24218.500923000192,24218.500923000192,24218.500923000192,106.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1071/Watson/1,1,0,24458.267489000264,24458.267489000264,24458.267489000264,24458.267489000264,106.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1073/EMM/1,1,0,24276.49152899994,24276.49152899994,24276.49152899994,24276.49152899994,137.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1073/RMC/1,1,0,54638.88915899997,54638.88915899997,54638.88915899997,54638.88915899997,215.0,0.0005523569922249023,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-1076/HPTD/1,1,0,54615.90033899984,54615.90033899984,54615.90033899984,54615.90033899984,199.0,0.0005523569922249023,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-1076/RMC/1,1,0,24289.267196999845,24289.267196999845,24289.267196999845,24289.267196999845,108.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-108/EMM/1,1,0,423.7342029998672,423.7342029998672,423.7342029998672,423.7342029998672,221.0,0.0005523569922249023,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/api/cart/add/anonymous-108/RED/1,1,0,171.90232899997682,171.90232899997682,171.90232899997682,171.90232899997682,132.0,0.0005523569922249023,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/add/anonymous-1085/EPE/1,1,0,24090.572840999812,24090.572840999812,24090.572840999812,24090.572840999812,129.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1085/HPTD/1,1,0,83628.66995199965,83628.66995199965,83628.66995199965,83628.66995199965,217.0,0.0005523569922249023,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1086/EPE/1,1,0,24101.18129700004,24101.18129700004,24101.18129700004,24101.18129700004,129.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1086/HPTD/1,1,0,82518.60185899977,82518.60185899977,82518.60185899977,82518.60185899977,217.0,0.0005523569922249023,0.0,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000
GET,/api/cart/add/anonymous-109/EPE/1,1,0,2140.254880999919,2140.254880999919,2140.254880999919,2140.254880999919,179.0,0.0005523569922249023,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/cart/add/anonymous-109/STAN-1/1,1,0,404.0598440001304,404.0598440001304,404.0598440001304,404.0598440001304,111.0,0.0005523569922249023,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/api/cart/add/anonymous-11/HPTD/1,1,0,13.85804400001689,13.85804400001689,13.85804400001689,13.85804400001689,121.0,0.0005523569922249023,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-11/STAN-1/1,1,0,9.828129999959856,9.828129999959856,9.828129999959856,9.828129999959856,200.0,0.0005523569922249023,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-110/EMM/1,1,0,2552.37844699991,2552.37844699991,2552.37844699991,2552.37844699991,215.0,0.0005523569922249023,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/cart/add/anonymous-110/RMC/1,1,0,470.08584700006395,470.08584700006395,470.08584700006395,470.08584700006395,108.0,0.0005523569922249023,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/api/cart/add/anonymous-1109/RMC/1,1,0,48706.27918499986,48706.27918499986,48706.27918499986,48706.27918499986,108.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-111/EPE/1,1,0,210.5323480000152,210.5323480000152,210.5323480000152,210.5323480000152,129.0,0.0005523569922249023,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/cart/add/anonymous-111/STAN-1/1,1,0,500.65884100013136,500.65884100013136,500.65884100013136,500.65884100013136,179.0,0.0005523569922249023,0.0,500,500,500,500,500,500,500,500,500,500,500
GET,/api/cart/add/anonymous-1112/EPE/1,1,0,1857.3820169999635,1857.3820169999635,1857.3820169999635,1857.3820169999635,129.0,0.0005523569922249023,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/cart/add/anonymous-1113/Watson/1,1,0,48788.092708000026,48788.092708000026,48788.092708000026,48788.092708000026,106.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1114/STAN-1/1,1,0,1854.7407030000613,1854.7407030000613,1854.7407030000613,1854.7407030000613,111.0,0.0005523569922249023,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/cart/add/anonymous-1116/RMC/1,1,0,24090.45543800039,24090.45543800039,24090.45543800039,24090.45543800039,108.0,0.0005523569922249023,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1116/UHJ/1,1,0,107697.70543999993,107697.70543999993,107697.70543999993,107697.70543999993,216.0,0.0005523569922249023,0.0,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000
GET,/api/cart/add/anonymous-1117/RED/1,1,0,22618.89105399996,22618.89105399996,22618.89105399996,22618.89105399996,132.0,0.0005523569922249023,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1118/RMC/1,1,0,27834.482348000165,27834.482348000165,27834.482348000165,27834.482348000165,108.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1119/EPE/1,1,0,27785.482389999743,27785.482389999743,27785.482389999743,27785.482389999743,129.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-112/SHCE/1,1,0,252.4227769999925,252.4227769999925,252.4227769999925,252.4227769999925,124.0,0.0005523569922249023,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-112/Watson/1,1,0,2734.8628069998995,2734.8628069998995,2734.8628069998995,2734.8628069998995,198.0,0.0005523569922249023,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/cart/add/anonymous-1120/EPE/1,1,0,1834.0427929997531,1834.0427929997531,1834.0427929997531,1834.0427929997531,129.0,0.0005523569922249023,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/cart/add/anonymous-1120/RMC/1,1,0,108832.36397200017,108832.36397200017,108832.36397200017,108832.36397200017,207.0,0.0005523569922249023,0.0,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000
GET,/api/cart/add/anonymous-1124/STAN-1/1,1,0,27849.10092500013,27849.10092500013,27849.10092500013,27849.10092500013,111.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1126/HPTD/1,1,0,23482.682206999925,23482.682206999925,23482.682206999925,23482.682206999925,121.0,0.0005523569922249023,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1128/UHJ/1,1,0,27761.446418000105,27761.446418000105,27761.446418000105,27761.446418000105,138.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1129/EMM/1,1,0,48708.763497999826,48708.763497999826,48708.763497999826,48708.763497999826,137.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-113/EMM/1,1,0,480.44178000009197,480.44178000009197,480.44178000009197,480.44178000009197,137.0,0.0005523569922249023,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/cart/add/anonymous-113/EPE/1,1,0,2544.5832240000072,2544.5832240000072,2544.5832240000072,2544.5832240000072,205.0,0.0005523569922249023,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/cart/add/anonymous-1130/EPE/1,1,0,48716.48043799996,48716.48043799996,48716.48043799996,48716.48043799996,129.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1131/SHCE/1,1,0,48709.781002,48709.781002,48709.781002,48709.781002,124.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1132/UHJ/1,1,0,27849.206426000364,27849.206426000364,27849.206426000364,27849.206426000364,138.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1133/STAN-1/1,1,0,27839.99267800027,27839.99267800027,27839.99267800027,27839.99267800027,111.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1135/RED/1,1,0,27719.092141000147,27719.092141000147,27719.092141000147,27719.092141000147,132.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1136/STAN-1/1,1,0,27841.19528400015,27841.19528400015,27841.19528400015,27841.19528400015,111.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1139/Watson/1,1,0,52645.19319299961,52645.19319299961,52645.19319299961,52645.19319299961,106.0,0.0005523569922249023,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-114/SHCE/1,1,0,1553.0426800000896,1553.0426800000896,1553.0426800000896,1553.0426800000896,124.0,0.0005523569922249023,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/cart/add/anonymous-114/STAN-1/1,1,0,1380.356041999903,1380.356041999903,1380.356041999903,1380.356041999903,203.0,0.0005523569922249023,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-1140/SHCE/1,1,0,48847.72242300005,48847.72242300005,48847.72242300005,48847.72242300005,124.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1141/UHJ/1,1,0,48838.86887600011,48838.86887600011,48838.86887600011,48838.86887600011,138.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1142/EPE/1,1,0,48884.37141600025,48884.37141600025,48884.37141600025,48884.37141600025,129.0,0.0005523569922249023,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1144/EPE/1,1,0,27858.773175999886,27858.773175999886,27858.773175999886,27858.773175999886,129.0,0.0005523569922249023,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-115/RMC/1,1,0,1541.1568439999428,1541.1568439999428,1541.1568439999428,1541.1568439999428,108.0,0.0005523569922249023,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/cart/add/anonymous-115/UHJ/1,1,0,1382.1945480001432,1382.1945480001432,1382.1945480001432,1382.1945480001432,216.0,0.0005523569922249023,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-1151/HPTD/1,1,0,54630.29741499986,54630.29741499986,54630.29741499986,54630.29741499986,121.0,0.0005523569922249023,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-1156/UHJ/1,1,0,27028.347792000204,27028.347792000204,27028.347792000204,27028.347792000204,138.0,0.0005523569922249023,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1157/EPE/1,1,0,51186.019535000014,51186.019535000014,51186.019535000014,51186.019535000014,129.0,0.0005523569922249023,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-116/STAN-1/1,1,0,1544.2006529999617,1544.2006529999617,1544.2006529999617,1544.2006529999617,111.0,0.0005523569922249023,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/cart/add/anonymous-116/Watson/1,1,0,551.7874949998713,551.7874949998713,551.7874949998713,551.7874949998713,182.0,0.0005523569922249023,0.0,550,550,550,550,550,550,550,550,550,550,550
