Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,2
GET,/api/shipping/calc/3800031,504 Server Error: Gateway Time-out for url: http://20.117.159.137/api/shipping/calc/3800031,1
POST,/api/payment/pay/anonymous-39,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-39,1
POST,/api/payment/pay/anonymous-52,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-52,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.159.137/api/shipping/cities/tr,2
POST,/api/payment/pay/anonymous-53,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-53,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,4
POST,/api/payment/pay/anonymous-66,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-66,1
GET,/api/cart/add/anonymous-919/EPE/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,2
GET,/,Remote end closed connection without response,5
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.117.159.137/api/shipping/cities/no,2
POST,/api/payment/pay/anonymous-54,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-54,1
POST,/api/payment/pay/anonymous-58,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-58,1
POST,/api/payment/pay/anonymous-38,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-38,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.117.159.137/api/shipping/codes,739
POST,/api/payment/pay/anonymous-77,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-77,1
POST,/api/payment/pay/anonymous-55,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-55,1
GET,/api/shipping/calc/4393689,504 Server Error: Gateway Time-out for url: http://20.117.159.137/api/shipping/calc/4393689,1
POST,/api/payment/pay/anonymous-64,429 Client Error: TOO MANY REQUESTS for url: http://20.117.159.137/api/payment/pay/anonymous-64,1
GET,/api/shipping/cities/cz,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,69
GET,/api/shipping/cities/in,500 Server Error:  for url: http://20.117.159.137/api/shipping/cities/in,1
