Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-843,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-844,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1106,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1060/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4042415,Remote end closed connection without response,1
GET,/api/shipping/calc/3349058,Remote end closed connection without response,1
GET,/api/shipping/calc/4386742,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,4
GET,/api/cart/update/anonymous-949/STAN-1/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-585,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-947/RED/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-953,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/STAN-1/4,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,40
PUT,/api/ratings/api/rate/RMC/3,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1057/STAN-1/2,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,4
GET,/api/shipping/cities/tr,Remote end closed connection without response,1
GET,/api/shipping/calc/3832904,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-15,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.82/api/payment/pay/anonymous-15,1
GET,/api/cart/add/anonymous-849/EMM/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-990/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3396437,504 Server Error: Gateway Time-out for url: http://20.117.158.82/api/shipping/calc/3396437,1
POST,/api/shipping/confirm/anonymous-629,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,31
POST,/api/shipping/confirm/anonymous-887,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/UHJ/4,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-851,Remote end closed connection without response,1
