Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-43,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-43,1
GET,/api/cart/cart/anonymous-1616,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/cz,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/us,3
POST,/api/payment/pay/anonymous-54,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-54,1
POST,/api/payment/pay/anonymous-76,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-76,1
GET,/api/shipping/calc/4036670,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/calc/4036670,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,1
GET,/api/shipping/calc/3924494,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/calc/3924494,1
POST,/api/payment/pay/anonymous-58,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-58,1
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/ro,1
GET,/,Remote end closed connection without response,27
GET,/api/user/uniqueid,[Errno 104] Connection reset by peer,18
POST,/api/payment/pay/anonymous-67,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-67,1
POST,/api/payment/pay/anonymous-75,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-75,1
POST,/api/payment/pay/anonymous-37,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-37,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-57,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-57,1
POST,/api/payment/pay/anonymous-63,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-63,1
POST,/api/payment/pay/anonymous-79,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-79,1
GET,/api/cart/cart/anonymous-1109,Remote end closed connection without response,1
GET,/api/shipping/calc/5391534,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/calc/5391534,1
GET,/api/shipping/calc/5660242,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/calc/5660242,1
GET,/api/cart/add/anonymous-992/Watson/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1317,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,12
POST,/api/payment/pay/anonymous-52,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-52,1
GET,/api/shipping/calc/3770582,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/calc/3770582,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/ca,1
POST,/api/payment/pay/anonymous-40,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-40,1
POST,/api/payment/pay/anonymous-66,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-66,1
POST,/api/payment/pay/anonymous-65,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-65,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/br,2
GET,/api/cart/cart/anonymous-1258,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-47,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-47,1
POST,/api/payment/pay/anonymous-44,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-44,1
POST,/api/user/login,[Errno 104] Connection reset by peer,4
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/in,1
GET,/api/ratings/api/fetch/UHJ,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1268,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/tr,1
GET,/api/cart/cart/anonymous-1189,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-71,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-71,1
POST,/api/payment/pay/anonymous-86,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-86,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/bg,3
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/nl,1
POST,/api/payment/pay/anonymous-33,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-33,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/pt,1
POST,/api/payment/pay/anonymous-50,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-50,1
POST,/api/payment/pay/anonymous-55,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-55,1
POST,/api/payment/pay/anonymous-68,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-68,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/de,1
GET,/api/cart/cart/anonymous-1315,Remote end closed connection without response,1
GET,/api/catalogue/categories,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-48,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-48,1
GET,/api/catalogue/product/RMC,Remote end closed connection without response,6
POST,/api/payment/pay/anonymous-59,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-59,1
GET,/api/shipping/calc/3208386,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/calc/3208386,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/it,1
GET,/api/catalogue/product/UHJ,Remote end closed connection without response,3
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/codes,899
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/au,2
POST,/api/payment/pay/anonymous-36,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-36,1
GET,/api/cart/add/anonymous-1165/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-72,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-72,1
POST,/api/payment/pay/anonymous-29,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-29,1
POST,/api/payment/pay/anonymous-73,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-73,1
GET,/api/catalogue/products,Remote end closed connection without response,19
GET,/api/cart/cart/anonymous-1571,Remote end closed connection without response,1
GET,/api/catalogue/product/HPTD,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-51,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-51,1
POST,/api/user/login,Remote end closed connection without response,28
GET,/api/shipping/cities/de,"('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))",1
POST,/api/payment/pay/anonymous-28,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-28,1
POST,/api/payment/pay/anonymous-56,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-56,1
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/fi,1
POST,/api/payment/pay/anonymous-74,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-74,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.117.158.83/api/shipping/cities/at,2
GET,/api/ratings/api/fetch/RMC,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-78,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-78,1
POST,/api/payment/pay/anonymous-80,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-80,1
POST,/api/payment/pay/anonymous-41,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-41,1
GET,/api/ratings/api/fetch/EMM,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-70,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-70,1
POST,/api/payment/pay/anonymous-39,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.83/api/payment/pay/anonymous-39,1
