Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1798,47,23000.0,110934.61177309786,2.572286000031454,1048430.1939879999,2518.401557285873,0.9957671615376047,0.02602950867200635,23000,58000,137000,208000,337000,482000,814000,844000,1048000,1048000,1048000
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,8.599744999969516,8.599744999969516,8.599744999969516,8.599744999969516,124.0,0.0005538193334469437,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,13.03721699991911,13.03721699991911,13.03721699991911,13.03721699991911,230.0,0.0005538193334469437,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,28.099722999968435,28.099722999968435,28.099722999968435,28.099722999968435,198.0,0.0005538193334469437,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-10/Watson/1,1,0,18.448083999942355,18.448083999942355,18.448083999942355,18.448083999942355,106.0,0.0005538193334469437,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/cart/add/anonymous-100/EMM/1,1,0,86.45040299995799,86.45040299995799,86.45040299995799,86.45040299995799,229.0,0.0005538193334469437,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,88.57109000007313,88.57109000007313,88.57109000007313,88.57109000007313,124.0,0.0005538193334469437,0.0,89,89,89,89,89,89,89,89,89,89,89
GET,/api/cart/add/anonymous-1000/EMM/1,1,0,49443.767751999985,49443.767751999985,49443.767751999985,49443.767751999985,137.0,0.0005538193334469437,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1001/HPTD/1,1,0,31652.23645800006,31652.23645800006,31652.23645800006,31652.23645800006,121.0,0.0005538193334469437,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/api/cart/add/anonymous-1001/Watson/1,1,0,772193.4436170001,772193.4436170001,772193.4436170001,772193.4436170001,193.0,0.0005538193334469437,0.0,772000,772000,772000,772000,772000,772000,772000,772000,772000,772000,772000
GET,/api/cart/add/anonymous-1002/HPTD/1,1,0,94560.13707900001,94560.13707900001,94560.13707900001,94560.13707900001,199.0,0.0005538193334469437,0.0,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000
GET,/api/cart/add/anonymous-1002/RMC/1,1,0,49367.706476999956,49367.706476999956,49367.706476999956,49367.706476999956,108.0,0.0005538193334469437,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1003/EMM/1,1,0,772758.7441149999,772758.7441149999,772758.7441149999,772758.7441149999,221.0,0.0005538193334469437,0.0,773000,773000,773000,773000,773000,773000,773000,773000,773000,773000,773000
