Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-58,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-58,1
POST,/api/shipping/confirm/anonymous-516,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-156,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-156,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,5
POST,/api/payment/pay/anonymous-121,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-121,1
GET,/api/cart/add/anonymous-1175/Watson/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-288,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-288,1
GET,/api/cart/add/anonymous-644/Watson/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-522,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-523,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-940/UHJ/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-127,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-127,1
GET,/api/cart/add/anonymous-929/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1067/RED/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-236,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-134,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-134,1
POST,/api/payment/pay/anonymous-561,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-155,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-155,1
GET,/api/cart/add/anonymous-1216/EPE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-525,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,8
GET,/api/shipping/calc/5083671,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-180,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-180,1
GET,/api/cart/add/anonymous-1020/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-152,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-152,1
GET,/api/cart/add/anonymous-937/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1042/RED/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-39,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-39,1
GET,/api/cart/add/anonymous-444/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-412/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1176/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-162,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-162,1
GET,/,Remote end closed connection without response,22
GET,/api/cart/add/anonymous-1058/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-132,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-132,1
GET,/api/cart/add/anonymous-531/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-33,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-33,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,7
POST,/api/payment/pay/anonymous-91,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-91,1
POST,/api/payment/pay/anonymous-182,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-182,1
POST,/api/payment/pay/anonymous-34,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-34,1
GET,/api/shipping/cities/tr,Remote end closed connection without response,3
GET,/api/shipping/calc/6009446,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-273,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-273,1
GET,/api/cart/add/anonymous-961/EMM/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-464,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-246,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-160,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-160,1
POST,/api/payment/pay/anonymous-70,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-70,1
POST,/api/payment/pay/anonymous-75,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-75,1
POST,/api/payment/pay/anonymous-98,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.16/api/payment/pay/anonymous-98,1
