Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643320467,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643320468,10,,Aggregated,0.000000,0.000000,12,27,49,81,170,190,350,350,350,350,350,35,0,12,47.094994371424754,3.7497919999509577,351.2854929999776,12983.8
1643320469,20,,Aggregated,0.000000,0.000000,28,29,31,39,130,490,520,950,990,990,990,125,0,28,69.52407744800168,3.7497919999509577,991.5973309999799,94141.04
1643320470,30,,Aggregated,30.000000,0.000000,26,30,38,49,180,500,870,990,1000,1000,1000,179,0,26,76.70707986592369,3.7497919999509577,1021.7317749999779,133670.29608938546
1643320471,40,,Aggregated,47.000000,0.000000,22,28,31,39,130,370,640,950,1000,1000,1000,232,0,21,66.5827689870711,3.7497919999509577,1021.7317749999779,152704.9094827586
1643320473,50,,Aggregated,45.333333,0.000000,20,28,30,37,110,350,690,990,2300,2300,2300,286,0,20,67.73247144405757,3.7497919999509577,2278.3766349999723,163477.58041958042
1643320474,60,,Aggregated,56.250000,0.000000,21,29,32,39,93,350,870,1000,3400,3400,3400,329,0,21,77.58607715501589,3.7497919999509577,3359.8266079999917,197629.89665653495
1643320475,70,,Aggregated,47.666667,0.000000,23,30,37,43,130,500,990,1400,5000,5000,5000,431,0,23,105.18407766357322,3.7497919999509577,5013.009937999982,195180.44315545243
1643320476,80,,Aggregated,47.000000,0.000000,20,28,32,39,90,350,980,1400,6200,6200,6200,534,0,20,99.02181670973772,3.7497919999509577,6157.444708000014,157621.28464419476
1643320477,90,,Aggregated,52.375000,0.000000,23,30,39,49,140,370,990,1400,6800,6800,6800,646,0,22,109.43779466253889,3.7497919999509577,6816.4065849999815,143839.50309597523
1643320479,100,,Aggregated,51.666667,0.000000,24,31,40,55,170,470,1000,3400,7700,7700,7700,659,0,24,129.1703143232171,3.7497919999509577,7703.9303639999725,195044.40060698029
1643320480,110,,Aggregated,62.600000,0.000000,31,50,62,80,240,580,2000,3400,9300,9300,9300,868,0,30,177.55723839976952,3.7497919999509577,9283.935068999996,155468.9758064516
1643320481,120,,Aggregated,56.500000,0.000000,30,50,66,81,230,540,2000,3400,9800,9800,9800,984,0,30,175.29599618495936,3.2183930000542205,9801.94819999997,137188.48983739837
1643320482,130,,Aggregated,53.600000,0.000000,29,48,61,78,240,790,2000,3400,9800,10000,10000,1099,0,29,179.5581764977252,3.2183930000542205,10389.905881000004,123510.58962693358
1643320484,140,,Aggregated,65.600000,0.000000,28,42,59,73,230,690,2000,3400,10000,11000,11000,1186,0,28,180.50628845868462,3.2183930000542205,10861.774630999946,114483.41146711636
1643320485,150,,Aggregated,81.300000,0.000000,27,40,57,69,200,640,2000,3400,11000,11000,11000,1259,0,27,179.44108154567095,3.1634929999881933,11055.21051300002,107870.50833995234
1643320486,160,,Aggregated,81.300000,0.000000,27,39,54,65,150,500,1900,2800,11000,11000,11000,1406,0,27,171.70910912517755,2.979293000009875,11055.21051300002,96640.2425320057
1643320487,170,,Aggregated,83.600000,0.000000,24,37,50,60,140,500,1900,3400,11000,12000,12000,1492,0,24,170.50997960656792,2.979293000009875,11897.908708999978,91097.53820375336
1643320488,180,,Aggregated,94.100000,0.000000,22,32,48,58,130,490,1600,2800,12000,13000,13000,1631,0,22,165.59405058920828,2.979293000009875,12720.15432699999,83368.83323114653
1643320489,190,,Aggregated,90.400000,0.000000,20,30,41,55,110,370,1500,2500,13000,14000,14000,1813,0,20,157.94959346331947,2.979293000009875,13786.447123000016,75046.5024820739
1643320490,200,,Aggregated,96.800000,0.000000,20,30,40,50,97,310,1500,2500,14000,15000,15000,1944,0,20,156.22188519701524,2.979293000009875,14871.154674000025,70023.12037037036
1643320491,210,,Aggregated,111.600000,0.000000,20,29,39,49,90,270,1300,2500,14000,16000,16000,2091,0,20,154.34956843232806,2.979293000009875,15645.224804000009,65130.3787661406
1643320492,220,,Aggregated,126.700000,0.000000,20,29,38,47,88,250,1200,2500,15000,17000,17000,2196,0,20,155.00435887203918,2.723494000008486,16570.00950700001,62038.42714025501
1643320493,230,,Aggregated,118.100000,0.000000,20,29,37,44,86,240,1100,2500,16000,17000,17000,2298,0,20,156.49916993516007,2.723494000008486,17008.952798999984,59304.630113141866
1643320494,240,,Aggregated,118.600000,0.000000,19,28,36,42,81,240,1100,2500,17000,17000,17000,2387,0,19,157.9963904704641,2.723494000008486,17008.952798999984,57110.06786761626
1643320495,250,,Aggregated,118.400000,0.000000,19,28,33,41,79,240,1100,2500,17000,18000,18000,2508,0,19,165.17937596889863,2.723494000008486,17947.201396000026,54374.89354066986
1643320496,260,,Aggregated,117.600000,0.000000,19,28,32,40,77,230,1100,2500,17000,19000,19000,2643,0,19,164.88325256602272,2.723494000008486,18636.485410000034,51620.674990541054
1643320497,270,,Aggregated,119.200000,0.000000,19,28,31,39,71,200,1100,2500,17000,19000,19000,2821,0,19,167.84719904537315,2.723494000008486,18636.485410000034,48391.37433534208
1643320499,280,,Aggregated,114.700000,0.000000,19,27,31,39,69,180,1000,2500,17000,19000,19000,2987,0,19,165.0413050703038,2.723494000008486,18636.485410000034,45726.74255105457
1643320500,290,,Aggregated,119.700000,0.000000,18,26,30,38,68,160,1000,2500,17000,19000,19000,3117,2,18,169.93611169746464,2.723494000008486,18636.485410000034,43838.97176772538
1643320501,300,,Aggregated,119.700000,0.000000,18,26,30,38,66,150,1000,2400,17000,19000,19000,3212,2,18,165.37707455977522,2.723494000008486,18636.485410000034,42554.24595267746
1643320502,310,,Aggregated,115.400000,0.200000,18,26,30,37,61,140,980,2400,17000,19000,19000,3379,2,18,158.37213689937815,2.723494000008486,18636.485410000034,40474.282332050905
