Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1377,19,45000.0,103695.42485129993,6.457340999986627,1233736.78765,2550.318082788671,0.7615978592140374,0.01050861243650451,45000,81000,119000,197000,298000,363000,639000,790000,1234000,1234000,1234000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,21.825939999985167,21.825939999985167,21.825939999985167,21.825939999985167,222.0,0.0005530848650791847,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,23.955952999983765,23.955952999983765,23.955952999983765,23.955952999983765,124.0,0.0005530848650791847,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/cart/add/anonymous-10/EMM/1,1,0,19.202422000034858,19.202422000034858,19.202422000034858,19.202422000034858,223.0,0.0005530848650791847,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,448.53114699998287,448.53114699998287,448.53114699998287,448.53114699998287,121.0,0.0005530848650791847,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,462.7296980000324,462.7296980000324,462.7296980000324,462.7296980000324,203.0,0.0005530848650791847,0.0,460,460,460,460,460,460,460,460,460,460,460
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,165.43910199999345,165.43910199999345,165.43910199999345,165.43910199999345,111.0,0.0005530848650791847,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/add/anonymous-1001/EPE/1,1,0,107588.554402,107588.554402,107588.554402,107588.554402,222.0,0.0005530848650791847,0.0,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000
GET,/api/cart/add/anonymous-1001/SHCE/1,1,0,74360.87383099993,74360.87383099993,74360.87383099993,74360.87383099993,124.0,0.0005530848650791847,0.0,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
GET,/api/cart/add/anonymous-101/RED/1,1,0,601.4563240000257,601.4563240000257,601.4563240000257,601.4563240000257,202.0,0.0005530848650791847,0.0,600,600,600,600,600,600,600,600,600,600,600
