Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643325273,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643325274,10,,Aggregated,0.000000,0.000000,18,22,27,37,140,150,500,590,590,590,590,68,0,18,45.75725924999992,6.8522439999583185,589.1761690000408,47438.617647058825
1643325275,20,,Aggregated,0.000000,0.000000,18,22,46,83,150,570,690,870,870,870,870,94,0,18,82.54891524467999,3.54382299997269,874.3103940000196,148745.47872340426
1643325277,30,,Aggregated,39.500000,0.000000,18,22,33,51,150,570,870,1300,1900,1900,1900,122,0,18,94.89949983606365,3.54382299997269,1942.9874119999795,335727.59016393445
1643325278,40,,Aggregated,39.000000,0.000000,18,27,48,62,450,670,1900,2000,2500,2500,2500,186,0,18,126.81676086558929,3.54382299997269,2504.0302279999764,292783.8548387097
1643325279,50,,Aggregated,30.250000,0.000000,20,29,48,62,190,500,1300,1900,3200,3200,3200,323,0,20,106.86631904953398,3.54382299997269,3213.0902179999907,200390.90092879257
1643325280,60,,Aggregated,31.600000,0.000000,28,46,71,130,250,530,1200,1900,4400,4400,4400,419,0,28,123.27302059904481,3.54382299997269,4434.343733999981,195605.0214797136
1643325281,70,,Aggregated,42.333333,0.000000,31,53,96,150,310,590,1200,1900,4400,4400,4400,543,0,31,136.4266410534065,3.54382299997269,4434.343733999981,174512.1565377532
1643325282,80,,Aggregated,56.571429,0.000000,38,70,140,170,370,590,1000,1900,4400,4400,4400,641,0,38,153.97084741185674,3.54382299997269,4434.343733999981,169382.46021840873
1643325284,90,,Aggregated,53.875000,0.000000,46,78,140,190,320,580,990,1900,5200,5200,5200,785,0,46,153.86944324840752,3.54382299997269,5205.988286000036,159883.65859872612
1643325286,100,,Aggregated,66.200000,0.000000,50,96,160,230,430,610,1200,2000,6400,6400,6400,878,0,50,180.03957447608147,3.54382299997269,6425.352086999965,187557.60706150343
1643325287,110,,Aggregated,75.900000,0.000000,56,120,190,250,530,830,1900,3200,8200,8200,8200,952,0,56,235.86123082878103,3.54382299997269,8181.5351930000015,187735.6113445378
1643325289,120,,Aggregated,76.100000,0.000000,56,130,200,270,590,1100,2000,3600,9300,9300,9300,969,0,56,263.0764873240448,3.54382299997269,9278.915576999963,214427.76057791538
1643325290,130,,Aggregated,80.000000,0.000000,58,120,190,260,600,1100,1900,3500,9300,9600,9600,1165,0,58,260.7217022480681,3.54382299997269,9584.987995999996,185032.5244635193
1643325291,140,,Aggregated,71.500000,0.000000,65,140,220,280,620,1100,1900,3500,9600,11000,11000,1234,0,65,279.1592453800644,3.54382299997269,10748.897340999974,189148.2868719611
1643325292,150,,Aggregated,76.200000,0.000000,66,140,230,300,650,1100,2000,3600,11000,11000,11000,1244,0,66,293.8271486897102,3.54382299997269,11486.476449999998,208242.54581993568
1643325294,160,,Aggregated,77.200000,0.000000,78,170,260,320,750,1400,2000,3600,13000,13000,13000,1365,0,78,334.9957599663003,3.54382299997269,12594.328677000021,200358.67545787545
1643325295,170,,Aggregated,59.000000,0.000000,79,180,270,350,760,1500,2400,4000,13000,13000,13000,1377,0,79,344.44614200944073,3.54382299997269,12594.328677000021,217104.3602033406
1643325297,180,,Aggregated,59.000000,0.000000,86,190,280,390,900,1800,2500,4400,15000,15000,15000,1418,0,85,393.6614742785613,3.54382299997269,14789.038962999995,229867.95698166432
1643325298,190,,Aggregated,54.000000,0.000000,130,210,290,430,1400,1900,3300,4400,16000,16000,16000,1695,0,130.0,447.9078176005899,3.54382299997269,16394.856422999965,192385.1646017699
1643325299,200,,Aggregated,53.400000,0.000000,160,260,350,450,1100,1800,3200,4200,16000,18000,18000,1862,0,160.0,451.3149740789475,3.54382299997269,17615.203210999993,181299.62137486573
1643325300,210,,Aggregated,64.200000,0.000000,160,270,390,530,1200,1900,3200,4200,18000,18000,18000,1918,0,160.0,480.4307768044838,3.54382299997269,18312.976694999976,183859.72784150156
1643325301,220,,Aggregated,82.300000,0.000000,170,280,460,620,1200,1900,3200,4400,18000,19000,19000,1991,0,170.0,508.8549456664991,3.54382299997269,19190.51847899999,185238.01958814665
1643325303,230,,Aggregated,71.900000,0.000000,180,330,530,720,1200,1900,3300,4400,18000,20000,20000,2078,0,180.0,534.8792041092398,3.54382299997269,19981.084132000036,188499.04860442734
1643325305,240,,Aggregated,75.000000,0.000000,200,380,650,880,1500,1900,3400,5200,21000,22000,22000,2173,0,200.0,615.4795568274271,3.54382299997269,21753.55915299997,189069.66820064426
1643325306,250,,Aggregated,75.000000,0.000000,220,450,790,1000,1500,1900,3600,7800,23000,23000,23000,2261,1,220.0,678.545196134895,3.54382299997269,23163.083776000007,188131.00796107916
1643325307,260,,Aggregated,79.700000,0.000000,250,510,810,1000,1500,2000,4300,7800,23000,24000,24000,2400,2,250.0,706.5977746404159,3.54382299997269,23517.913711000005,179282.40458333332
1643325308,270,,Aggregated,82.700000,0.000000,260,530,850,1000,1600,2100,4300,7800,23000,25000,25000,2441,3,260.0,735.2527204031124,3.54382299997269,24957.804150000014,186649.1839410078
1643325311,280,,Aggregated,81.900000,0.200000,260,560,870,1000,1600,2300,4400,8200,25000,25000,25000,2471,5,260.0,776.842955435855,3.54382299997269,25178.028122,202234.0182112505
