Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-178,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-178,1
POST,/api/payment/pay/anonymous-156,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-156,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,2
GET,/api/cart/cart/anonymous-582,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-883,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-132,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-132,1
POST,/api/payment/pay/anonymous-107,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-107,1
POST,/api/payment/pay/anonymous-177,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-177,1
POST,/api/payment/pay/anonymous-87,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-87,1
GET,/api/cart/add/anonymous-648/EPE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-256,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-85,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-85,1
POST,/api/payment/pay/anonymous-40,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-40,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-38,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-38,1
POST,/api/payment/pay/anonymous-33,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-33,1
POST,/api/payment/pay/anonymous-188,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-188,1
POST,/api/payment/pay/anonymous-122,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-122,1
POST,/api/payment/pay/anonymous-56,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-56,1
POST,/api/payment/pay/anonymous-62,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-62,1
POST,/api/payment/pay/anonymous-103,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-103,1
GET,/api/cart/cart/anonymous-884,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-686,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-169,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-169,1
GET,/api/cart/update/anonymous-610/EPE/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/STAN-1/4,Remote end closed connection without response,1
GET,/api/shipping/calc/3959624,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,17
POST,/api/payment/pay/anonymous-753,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/SHCE/3,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-79,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-79,1
POST,/api/payment/pay/anonymous-133,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-133,1
POST,/api/payment/pay/anonymous-89,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-89,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/cart/add/anonymous-1131/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/cities/ru,Remote end closed connection without response,1
GET,/api/shipping/calc/5823809,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-75,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-75,1
POST,/api/payment/pay/anonymous-158,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-158,1
POST,/api/payment/pay/anonymous-115,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-115,1
GET,/api/cart/update/anonymous-729/SHCE/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EMM/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-109,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-109,1
POST,/api/payment/pay/anonymous-609,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-81,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-81,1
GET,/api/cart/add/anonymous-573/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-142,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-142,1
POST,/api/payment/pay/anonymous-45,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-45,1
GET,/api/user/uniqueid,Remote end closed connection without response,20
POST,/api/payment/pay/anonymous-150,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-150,1
POST,/api/payment/pay/anonymous-164,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-164,1
POST,/api/payment/pay/anonymous-117,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-117,1
POST,/api/payment/pay/anonymous-126,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-126,1
GET,/api/cart/add/anonymous-825/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-61,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-61,1
POST,/api/payment/pay/anonymous-163,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-163,1
POST,/api/payment/pay/anonymous-110,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-110,1
POST,/api/payment/pay/anonymous-179,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-179,1
POST,/api/payment/pay/anonymous-137,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-137,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,4
POST,/api/payment/pay/anonymous-125,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-125,1
POST,/api/payment/pay/anonymous-173,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-173,1
POST,/api/shipping/confirm/anonymous-374,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-950/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-100,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.151/api/payment/pay/anonymous-100,1
