Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-77,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-77,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-550/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-585/RMC/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-814/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4045728,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-104,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-104,1
POST,/api/payment/pay/anonymous-35,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-35,1
POST,/api/payment/pay/anonymous-78,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-78,1
GET,/api/cart/add/anonymous-879/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-168,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-168,1
POST,/api/payment/pay/anonymous-84,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-84,1
POST,/api/payment/pay/anonymous-346,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1100/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-121,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-121,1
GET,/api/cart/update/anonymous-429/Watson/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-752,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1141/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-178,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-178,1
GET,/api/cart/add/anonymous-522/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-153,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-153,1
GET,/api/cart/add/anonymous-1137/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-149,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-149,1
POST,/api/payment/pay/anonymous-113,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-113,1
POST,/api/payment/pay/anonymous-125,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-125,1
POST,/api/payment/pay/anonymous-110,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-110,1
POST,/api/shipping/confirm/anonymous-292,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-809/EPE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,6
GET,/api/cart/update/anonymous-448/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1160/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-46,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-46,1
POST,/api/payment/pay/anonymous-95,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-95,1
POST,/api/payment/pay/anonymous-183,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-183,1
POST,/api/payment/pay/anonymous-144,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-144,1
POST,/api/payment/pay/anonymous-43,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-43,1
POST,/api/shipping/confirm/anonymous-1014,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-109,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-109,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-103,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-103,1
POST,/api/payment/pay/anonymous-131,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-131,1
POST,/api/payment/pay/anonymous-171,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-171,1
GET,/,Remote end closed connection without response,17
PUT,/api/ratings/api/rate/SHCE/3,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-538/EMM/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RMC/3,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-57,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-57,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,5
GET,/api/cart/add/anonymous-1158/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-88,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-88,1
POST,/api/payment/pay/anonymous-64,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-64,1
POST,/api/payment/pay/anonymous-191,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-191,1
POST,/api/payment/pay/anonymous-117,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-117,1
POST,/api/payment/pay/anonymous-132,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-132,1
GET,/api/cart/update/anonymous-553/EPE/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-71,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-71,1
GET,/api/shipping/calc/4382546,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-135,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-135,1
GET,/api/cart/add/anonymous-1135/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-82,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-82,1
POST,/api/payment/pay/anonymous-193,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-193,1
POST,/api/payment/pay/anonymous-189,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-189,1
PUT,/api/ratings/api/rate/EMM/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-48,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-48,1
POST,/api/payment/pay/anonymous-129,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-129,1
POST,/api/payment/pay/anonymous-92,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-92,1
GET,/api/cart/update/anonymous-468/UHJ/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-70,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-70,1
GET,/api/shipping/cities/us,Remote end closed connection without response,2
GET,/api/user/uniqueid,Remote end closed connection without response,23
GET,/api/cart/add/anonymous-1156/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-67,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.136/api/payment/pay/anonymous-67,1
PUT,/api/ratings/api/rate/UHJ/4,Remote end closed connection without response,1
